0: [[15, 39, 29, 58, 10, 12], [20, 4, 3, 53, 33, 1], [13, 14, 6, 21], [35, 7, 34, 2], [24, 42, 8, 46], [5, 9, 40, 18], [19], [11, 27, 43, 47], [23, 22, 28], [51], [25, 17, 32], [16, 37, 26], [41, 31, 30], [38, 44, 56], [36, 45, 50], [52, 60, 59], [54, 48, 55], [49, 57]]
1: [[15, 39, 29, 58, 10, 12], [20, 4, 3, 53, 33, 1], [13, 14, 6, 21], [35, 7, 34, 2], [24, 42, 8, 46], [5, 9, 40, 18], [19], [11, 27, 43, 47], [23, 22, 28], [51], [25, 17, 32], [16, 37, 26], [41, 31, 30], [38, 44, 56], [36, 45, 50], [52, 60, 59], [54, 48, 55], [49, 57]]
2: [[15, 39, 29], [10, 60, 12], [20, 4, 3], [53, 33, 1], [13, 21, 6], [14, 35], [2, 7, 34], [24, 42, 8], [46, 5, 18, 9], [40, 19, 11], [27, 43, 47], [23, 22, 28, 51], [25, 17, 32], [16, 37, 26], [41, 31, 30], [38, 44, 56], [36, 45, 50], [52, 58, 59], [54, 48], [55, 49, 57]]
3: [[15, 39, 29], [10, 60, 12], [20, 4, 3], [53, 33, 1], [13, 21, 6], [14, 35, 2], [7, 34], [24, 42, 8], [46, 5, 18], [9, 40, 19, 11], [27, 43, 47], [23, 22, 28], [51, 25, 17, 32], [16, 37, 26], [41, 31, 30], [38, 44, 56], [36, 45, 50], [52, 58, 59], [54, 48, 55], [49, 57]]
4: [[15, 39], [29, 58], [10, 12], [20, 4, 3], [53, 33, 1], [13, 21, 6], [14, 35], [2, 7, 8], [24, 42, 34], [46, 5, 18], [9, 40, 19], [11, 27, 43], [47, 23, 22], [28, 51, 25], [17, 32], [16, 37, 26], [41, 31, 30], [38, 44, 56], [36, 45, 50], [52, 60, 59], [54, 48, 55], [49, 57]]
5: [[15, 39, 6, 29], [60, 10, 12], [20, 4, 3], [53, 33, 1], [13, 21], [14, 35], [7, 2], [34, 24, 42], [8, 46, 5, 18], [9, 40], [19, 11, 27], [43, 47, 23], [22, 28, 51], [25, 17, 32], [16, 37, 30], [41, 31, 26], [38, 44, 56], [36, 45, 50], [52, 58, 59], [54, 48, 55], [49, 57]]
6: [[15, 39, 29, 58, 10, 12], [20, 4, 53, 33, 1, 3], [13, 21, 6, 14], [35, 2, 7, 34], [24, 42, 8], [46, 5, 18], [9, 40], [19, 11, 27], [43, 47], [23, 22, 28], [51, 25, 17], [32, 16, 37, 26], [41, 31, 30], [38, 44, 56], [36, 45], [50, 52, 60, 59, 54, 48, 55, 49, 57]]
7: [[15, 39, 29], [10, 60, 12], [20, 4, 3], [53, 33, 1], [13, 21, 6], [14, 35, 2], [7, 8, 24], [42, 34, 46], [5, 18], [9, 40], [19, 11, 27], [43, 47, 23], [22, 28, 51], [25, 17, 32], [16, 37, 26], [41, 31, 30], [38, 44, 56], [36, 45], [50, 52, 58], [59, 54, 48], [55, 49, 57]]
8: [[15, 39], [29, 10], [58, 12, 20], [4, 3, 53], [33, 1, 13, 21], [6, 14, 35], [2, 7, 34], [24, 42, 8], [46, 5, 18], [9, 40, 19], [11, 27, 43], [47, 23, 22], [28, 51, 25], [17, 32], [16, 37, 26], [41, 31, 30], [38, 44, 56], [36, 45, 50], [52, 60, 59], [54, 48, 55], [49, 57]]
9: [[15, 39, 29], [58], [10, 12, 20], [4], [3, 53, 33], [1, 13, 14], [6, 21, 35], [7, 34, 2], [24, 42], [8, 46, 5, 18], [9, 40, 19], [11, 27], [43, 47], [23, 22, 28], [51], [25, 17, 32], [16, 37, 26], [41, 31, 30], [38, 44, 56], [36, 45, 50], [52, 60, 59], [54, 48, 55], [49, 57]]
10: [[15, 39], [29, 58], [10, 12], [20, 4, 3], [53, 33, 1], [13, 21, 6], [14, 35, 2], [7, 8], [24, 42, 34], [46, 5], [18, 9], [40, 19, 11], [27, 43, 47, 23], [22, 28, 51], [25, 17, 32], [16, 37, 26], [41, 31, 30], [38, 44, 56], [36, 45, 50], [52, 60, 59], [54, 48, 55], [49, 57]]
