0: [[9, 17, 18, 16, 1, 15, 13, 2, 6], [4, 11, 20, 3, 8, 12], [7, 19, 22, 23, 10, 14], [5, 25], [28, 29, 24], [26, 21, 27]]
1: [[9, 17, 18, 16, 1, 15, 13, 2, 6], [4, 11, 20, 3, 8, 12], [7, 19, 22, 23, 10, 14], [5, 25], [28, 29, 24], [26, 21, 27]]
2: [[9, 17, 18, 16, 1, 15, 13, 2, 6], [4, 11, 20, 3, 8], [7, 19, 23, 22, 10, 12, 14], [5, 25], [28, 29, 24], [26, 21, 27]]
3: [[9, 17, 18, 16, 1, 15, 13, 2], [6, 4, 11, 20, 3, 12], [7, 19, 22, 23, 8, 10, 14], [5, 25], [28, 29, 24], [26, 21, 27]]
4: [[9, 17, 18, 16, 1, 15, 13, 2], [6, 4, 11, 20, 3, 12], [7, 19, 22, 23, 8, 10, 14], [5, 25], [28, 29, 24], [26, 21, 27]]
5: [[9, 17, 18, 16, 1, 15, 13, 2], [6, 4, 11, 20, 3, 12], [7, 19, 22, 23, 8, 10, 14], [5, 25], [28, 29, 24], [26, 21, 27]]
6: [[9, 17, 18, 16, 1, 15, 13, 2, 6], [4, 11, 20, 3, 7, 8, 12], [19, 23, 22, 10, 14], [5, 25], [28, 29, 24], [26, 21, 27]]
7: [[9, 17, 18, 16, 1, 15, 13], [2, 6, 4, 11, 20, 3, 8, 12], [7, 19, 23, 22, 10, 14], [5, 25], [28, 29, 24], [26, 21, 27]]
8: [[9, 17, 18, 16, 1, 15, 13, 2, 6], [4, 11, 20, 3, 7, 8, 12], [19, 23, 22, 10, 14], [5, 25], [28, 29, 24], [26, 21, 27]]
9: [[9, 17, 18, 16, 1, 15, 13, 2], [6, 4, 11, 20, 3, 7, 8, 12], [19, 22, 23, 10, 14], [5, 25], [28, 29, 24], [26, 21, 27]]
10: [[9, 17, 18, 16, 1, 15], [13, 2, 6, 4, 11, 20, 3, 8, 12], [7, 19, 22, 23, 10, 14], [5, 25], [28, 29, 24], [26, 21, 27]]
11: [[9, 17, 18, 16, 1, 15], [13, 2, 6, 4, 11, 20, 3, 8, 12], [7, 19, 22, 23, 10, 14], [5, 25], [28, 29, 24], [26, 21, 27]]
12: [[9, 17, 18, 16, 1, 15], [13, 2, 6, 4, 11, 20, 3, 8, 12], [7, 19, 22, 23, 10, 14], [5, 25], [28, 29, 24], [26, 21, 27]]
13: [[9, 17, 18, 16, 1], [15, 13, 2, 6, 4, 11, 20, 3, 8, 12], [7, 19, 22, 23, 10, 14], [5, 25], [28, 29, 24], [26, 21, 27]]
14: [[9, 17, 18, 16, 1, 15, 13, 2], [6, 4, 11, 20, 3, 7, 19, 8, 12], [23, 22, 10, 14], [5, 25], [28, 29, 24], [26, 21, 27]]
15: [[9, 17, 18, 16, 1, 15, 13], [2, 6, 4, 11, 20, 3, 12], [7, 19, 22, 23, 8, 10, 14], [5, 25], [28, 29, 24], [26, 21, 27]]
16: [[9, 17, 18, 16, 1, 15, 13], [2, 6, 4, 11, 20, 3, 7, 8, 12], [19, 23, 22, 10, 14], [5, 25], [28, 29, 24], [26, 21, 27]]
17: [[9, 17, 18, 16, 1, 15, 13], [2, 6, 4, 11, 20, 3, 7, 8, 12], [22, 19, 23, 10, 14], [5, 25], [28, 29, 24], [26, 21, 27]]
