0: [[4, 8, 1], [9, 6, 11], [7, 12, 13], [2, 5, 10, 3]]
1: [[4, 8, 1], [9, 6, 11], [7, 12, 13], [2, 5, 10, 3]]
2: [[4, 8, 1], [9, 6, 11], [7, 12, 13], [2, 5, 10, 3]]
3: [[4, 8, 1], [9, 6, 11], [7, 12, 13], [2, 5, 10, 3]]
4: [[4, 8, 1], [9, 6, 11], [7, 12, 13], [2, 5, 10, 3]]
5: [[4, 8, 1], [9, 6, 11], [7, 12, 13], [2, 5, 10, 3]]
6: [[4, 8, 1], [9, 6, 11], [7, 12, 13], [2, 5, 10, 3]]
7: [[4, 8, 1], [9, 6, 11], [7, 12, 13], [2, 5, 10, 3]]
8: [[4, 8, 1], [9, 6, 11], [7, 12, 13], [2, 5, 10, 3]]
9: [[4, 8, 1], [9, 6, 11], [7, 12, 13], [2, 5, 10, 3]]
10: [[4, 8, 1], [9, 6, 11], [7, 12, 13], [2, 5, 10, 3]]
11: [[4, 8, 1], [9, 6, 11], [7, 12, 13], [2, 5, 10, 3]]
12: [[4, 8, 1], [9, 6, 11], [7, 12, 13], [2, 5, 10, 3]]
13: [[4, 8, 1], [9, 6, 11], [7, 12, 13], [2, 5, 10, 3]]
14: [[4, 8, 1], [9, 6, 11], [7, 12, 13], [2, 5, 10, 3]]
15: [[4, 8, 1], [9, 6, 11], [7, 12, 13], [2, 5, 10, 3]]
16: [[4, 8, 1], [9, 6, 11], [7, 12, 13], [2, 5, 10, 3]]
17: [[4, 8, 1], [9, 6, 11], [7, 12, 13], [2, 5, 10, 3]]
18: [[4, 8, 1], [9, 6, 11], [7, 12, 13], [2, 5, 10, 3]]
19: [[4, 8, 1], [9, 6, 11], [7, 12, 13], [2, 5, 10, 3]]
20: [[4, 8, 1], [9, 6, 11], [7, 12, 13], [2, 5, 10, 3]]
21: [[4, 8, 1], [9, 6, 11], [7, 12, 13], [2, 5, 10, 3]]
22: [[4, 8, 1], [9, 6, 11], [7, 12, 13], [2, 5, 10, 3]]
23: [[4, 8, 1], [9, 6, 11], [7, 12, 13], [2, 5, 10, 3]]
24: [[4, 8, 1], [9, 6, 11], [7, 12, 13], [2, 5, 10, 3]]
25: [[4, 8, 1], [9, 6, 11], [7, 12, 13], [2, 5, 10, 3]]
