0: [[11, 3, 1], [2, 8, 4], [7, 5, 10], [13, 12, 9], [14, 16, 6, 15], [18, 17, 19, 20]]
1: [[11, 3, 1], [2, 8, 4], [7, 5, 10], [13, 12, 9], [14, 16, 6], [18, 17, 19, 20, 15]]
2: [[11, 3, 1], [2, 8, 4], [7, 5, 10], [13, 12, 9], [14, 16, 6], [18, 17, 19, 20, 15]]
3: [[11, 3, 1], [8, 2], [7, 5, 10], [13, 12, 9], [14, 16, 18, 15, 4, 6], [17, 19, 20]]
4: [[11, 3, 1], [8, 2], [7, 5, 10], [13, 12, 9], [14, 16, 18, 15, 4, 6], [19, 17, 20]]
5: [[11, 3, 1], [2, 8], [7, 5, 10], [13, 12, 9], [14, 16, 4, 6], [18, 15], [17, 19, 20]]
6: [[11, 3, 1], [2, 8], [7, 5, 10], [13, 12, 9], [14, 16, 4, 6], [18, 15], [19, 17, 20]]
7: [[11, 3, 1], [2, 8], [7, 5, 10], [13, 12, 9], [14, 16, 4, 6], [18, 15], [17, 19, 20]]
8: [[11, 3, 1], [2, 8], [7, 5, 10], [13, 12, 9], [14, 16, 4, 6], [18, 15], [17, 19, 20]]
9: [[11, 3, 1], [2, 8], [7, 5, 10], [13, 12, 9], [14, 16, 4, 6], [18, 15], [17, 19, 20]]
10: [[11, 3, 1], [2, 8], [7, 5, 10], [13, 12, 9], [14, 16, 4, 6], [18, 15], [17, 19, 20]]
11: [[11, 3, 1], [2, 8], [7, 5, 10], [13, 12, 9], [14, 16, 4, 6], [18, 15], [17, 19, 20]]
12: [[11, 3, 1], [2, 8], [5, 7, 10], [13, 12, 9], [14, 16, 4, 6], [18, 17, 15], [19, 20]]
13: [[11, 3, 1], [2, 8], [7, 5, 10], [13, 12, 9], [14, 16, 4, 6], [18, 17, 15], [19, 20]]
14: [[11, 3, 1], [2, 8], [7, 5, 10], [13, 12, 9], [14, 16, 4, 6], [18, 17, 15], [19, 20]]
15: [[11, 3, 1], [2, 8], [7, 5, 10], [13, 12, 9], [14, 16, 4, 6], [18, 17, 15], [19, 20]]
16: [[11, 3, 1], [2, 8], [5, 7, 10], [13, 12, 9], [14, 16, 4, 6], [18, 19, 15], [17, 20]]
17: [[11, 3, 1], [2, 8], [7, 5, 10, 4], [13, 12], [14, 16, 9, 6], [18, 17, 19, 20, 15]]
18: [[11, 3, 1], [2, 8, 7], [5, 10], [12, 9], [14, 16, 6], [13, 18, 4, 15], [19, 17, 20]]
19: [[11, 3, 1], [2, 8], [5, 13, 4], [14, 7, 10, 6], [12, 18, 15, 16, 17, 19, 20, 9]]
20: [[11, 3, 1], [2, 8, 4], [7, 5, 10], [13, 12, 14], [16, 9, 6], [18, 15], [17, 19, 20]]
21: [[11, 3, 1], [2, 8, 4], [7, 5, 10, 13, 12], [14, 16, 6, 9], [18, 17, 19, 20, 15]]
22: [[11, 3, 1], [2, 8, 7], [5, 12, 13], [14, 18, 4], [10, 16, 9, 6], [17, 20, 19, 15]]
23: [[11, 3, 1], [2, 8, 4], [7, 5, 10], [13, 12, 14, 16, 9], [15, 18, 17, 19, 20, 6]]
24: [[11, 3, 1], [2, 8, 4], [7, 5, 10], [13, 12, 14, 16, 9], [18, 6, 15], [17, 19, 20]]
25: [[11, 3, 1], [2, 8, 4], [5, 7], [10, 13, 12], [14, 16, 9, 6, 15], [18], [19, 17, 20]]
26: [[11, 3], [1, 2, 8], [5, 7, 4], [13, 12], [14, 16, 9, 6], [10, 18, 15], [17, 19, 20]]
27: [[11, 3], [1, 2, 8], [5, 7, 4], [13, 10, 12, 16, 9], [14, 19, 6, 15], [17, 18, 20]]
28: [[11, 3, 1], [2, 8], [7, 5, 4], [10, 13, 12], [14, 16, 9, 6, 15], [18], [17, 19, 20]]
29: [[11, 3, 1], [2, 8, 4], [7, 5], [13, 10, 9], [12, 16, 18, 14, 15, 17, 19, 20, 6]]
30: [[11, 3, 1], [2, 8, 7], [5, 10, 9], [12, 6, 15], [13, 14, 16, 4], [18], [17, 19, 20]]
31: [[11, 3, 1], [2, 8, 7], [5, 9], [12, 13, 14], [10, 16, 6], [19, 4, 15], [17, 18, 20]]
32: [[11, 3], [1, 2, 8], [7], [10, 12], [14, 16, 4, 6, 15], [5, 17, 13, 9], [19, 18, 20]]
33: [[11, 3, 1], [2, 8], [5, 13, 9], [12, 7], [14, 16, 10, 18, 4, 6, 15], [17, 19, 20]]
34: [[11, 3, 1], [2, 8, 7], [5, 10, 4], [12, 13, 14, 18, 9, 6], [16, 17, 15], [20, 19]]
35: [[11, 3, 1], [2, 8], [7, 5], [10, 13, 9], [16, 18], [12, 14, 6, 15], [17, 19], [20, 4]]
36: [[11, 3, 1], [2, 8, 4], [7, 5], [10, 13, 12], [14, 16, 15, 18, 17, 19, 20, 9, 6]]
37: [[11, 3, 1], [2, 8, 4, 7, 5], [10, 13, 12, 9, 14, 16, 6, 15, 18, 17, 19, 20]]
38: [[11, 3, 1], [2, 8, 4, 5, 7], [10, 13, 12, 9, 14, 16, 6, 15, 18, 17, 19, 20]]
39: [[11, 3, 1], [2, 8], [4, 5, 7, 14, 13, 12, 17, 9, 18, 6, 10, 15, 16, 20, 19]]
40: [[11, 3, 1], [2, 8, 7, 4], [5, 10, 13], [12, 14, 18, 9], [16, 15, 17, 19, 20, 6]]
41: [[11, 3, 1], [2, 8, 7], [5, 12, 13, 6], [10, 9], [18, 14, 4], [16, 19, 17, 15], [20]]
