0: [[39, 10, 3, 69], [15, 41, 5, 14], [59, 8, 6, 4], [1, 24], [2, 23, 13], [7, 25, 9, 27], [12, 22, 16], [11, 17, 21, 20], [30, 26, 19, 18], [28, 29, 31], [50, 34, 33, 45], [32, 40, 35, 36], [54, 37], [42, 38, 46], [43, 49, 60], [44, 47, 56], [52, 48, 61], [51, 55, 53], [58, 62, 57], [63, 67, 76], [64, 66, 70], [73, 65], [68, 75, 71], [78, 72], [74, 77, 86, 81], [79, 82], [80, 83], [85, 84, 87, 88]]
1: [[39, 10, 3, 69], [15, 41, 5, 14], [59, 8, 6, 4], [1, 24], [2, 23, 13], [7, 25, 9, 27], [12, 22, 16], [11, 17, 21, 20], [30, 26, 19, 18], [28, 29, 31], [50, 34, 33, 45], [32, 40, 35, 36], [54, 37], [42, 38, 46], [43, 49, 60], [44, 47, 56], [52, 48, 61], [51, 55, 53], [58, 62, 57], [63, 67, 76], [64, 66], [70, 73, 65], [68, 75, 71], [78, 72, 74, 77, 86, 81, 79, 82, 80, 83, 85, 84, 87, 88]]
2: [[39, 10, 3, 69], [15, 41, 5, 14], [59, 8, 6, 4], [1, 24], [2, 23, 13], [7, 25, 9, 27], [12, 22, 16], [11, 17, 21, 20], [30, 26, 19, 18], [28, 29, 31], [50, 34, 33, 45], [32, 40, 35, 36], [54, 37], [42, 38, 46], [43, 49, 60], [44, 47, 56], [52, 48, 61], [51, 55, 53], [58, 62, 57, 63], [67, 76, 64, 66, 70, 73, 65, 68, 75, 71, 78, 72, 74, 77], [86, 81, 79, 82, 80, 83, 85, 84, 87], [88]]
3: [[39, 10, 3], [69, 15, 41], [5, 14, 59], [8, 6, 4], [1, 24, 2], [23, 13, 7], [25, 9, 27], [12, 22, 16], [11, 17, 21], [20, 30], [26, 19, 18], [28, 29, 31], [50, 34, 33], [45, 32], [40, 35], [36, 54, 37], [42, 38, 46], [43, 49, 60], [44, 47, 56], [52, 48, 61], [51, 55, 53], [58, 62, 57], [63, 67, 76], [64, 66, 70], [73, 65, 68], [75, 71], [78, 72, 74], [77, 86, 81], [79, 82], [80, 83, 85, 84, 87, 88]]
4: [[39, 10, 3], [69, 15, 41], [5, 14, 59], [8, 6, 4], [1, 24, 2], [23, 13, 7], [25, 9, 27], [12, 22, 16], [11, 17, 21], [20, 30], [26, 19], [18, 28, 29], [31, 50], [34, 33, 45], [32, 40, 35], [36, 54, 37], [42, 38, 46], [43, 49, 60], [44, 47, 56], [52, 48, 61], [51, 55, 53], [58, 62, 57], [63, 67], [76, 64, 66], [70, 73], [65, 68, 75, 71], [78, 72], [74, 77], [86, 81, 79, 82], [80, 83, 85, 84, 87, 88]]
5: [[39, 10, 3], [69, 15, 41], [5, 14, 59], [8, 6, 4], [1, 24, 2], [23, 13, 7], [25, 9, 27], [12, 22], [16, 11, 17], [21, 20, 30], [26, 19], [18, 28, 29], [31, 50], [34, 33, 45], [32, 40, 35], [36, 54, 37], [42, 38, 46], [43, 49, 60], [44, 47, 56], [52, 48, 61], [51, 55, 53], [58, 62, 57], [63, 67, 76], [64, 66], [70, 73, 65], [68, 75, 71], [78, 72, 74], [77, 86, 81], [79, 82, 80], [83, 85, 84], [87, 88]]
6: [[39, 10], [3, 69, 15], [41, 5, 14], [59, 8, 6], [4, 1, 24], [2, 23, 13], [7, 25, 9], [27, 12, 22], [16, 11], [17, 21, 20], [30, 26, 19], [18, 28, 29], [31, 50, 34], [33, 45, 32], [40, 35, 36], [54, 37], [42, 38, 46], [43, 49, 60], [44, 47, 56], [52, 48, 61], [51, 55, 53], [58, 62, 57], [63, 67, 76], [64, 66, 70], [73, 65, 68], [75, 71], [78, 72], [74, 77], [86, 81], [79, 82, 80], [83, 85], [84, 87], [88]]
7: [[39, 10, 3], [69, 15, 41], [5, 14, 59], [8, 6, 4], [1, 24, 2], [23, 13], [7, 25, 9], [27, 12, 22], [16, 11, 17], [21, 20], [30, 26, 19], [18, 28, 29], [31, 50, 34], [33, 45, 32], [40, 35, 36], [54, 37], [42, 38, 46], [43, 49, 60], [44, 47, 56], [52, 48, 61], [51, 55, 53], [58, 62, 57], [63, 67, 76], [64, 66, 70], [73, 65, 68], [75, 71, 78], [72, 74], [77, 86, 81], [79, 82, 80], [83, 85], [84, 87, 88]]
8: [[39, 10, 3], [69, 15, 41], [5, 14, 59], [8, 6], [4, 1, 24], [2, 23, 13], [7, 25, 9], [27, 12, 22], [16, 11, 17], [21, 20, 30], [26, 19, 18], [28, 29, 31], [50, 34], [33, 45], [32, 40, 35], [36, 54, 37], [42, 38, 46], [43, 49, 60], [44, 47, 56], [52, 48, 61], [51, 55], [53, 58, 62], [57, 63, 67], [76, 64], [66, 70], [73, 65], [68, 75, 71], [78, 72], [74, 77, 86], [81, 79, 82], [80, 83], [85, 84, 87, 88]]
9: [[39, 10, 3], [69, 15, 41], [5, 14, 59], [8, 6, 4], [1, 24, 2], [23, 13, 7], [25, 9, 27], [12, 22, 16], [11, 17, 21], [20, 30, 26], [19, 18, 28], [29, 31, 50], [34, 33, 45], [32, 40, 35], [36, 54, 37], [42, 38, 46], [43, 49, 60], [44, 47, 56], [52, 48, 61], [51, 55, 53], [58, 62, 57], [63, 67, 76], [64, 66], [70, 73, 65], [68, 75, 71], [78, 72], [74, 77, 86], [81, 79, 82, 80], [83, 85], [84, 87, 88]]
10: [[39, 10, 3], [69, 15, 41], [5, 14, 59], [8, 6, 4], [1, 24, 2], [23, 13, 7], [25, 9, 27], [12, 22, 16], [11, 17, 21], [20, 30, 26], [19, 18, 28], [29, 31, 50], [34, 33, 45], [32, 40, 35], [36, 54, 37], [42, 38, 46], [43, 49, 60], [44, 47, 56], [52, 48, 61], [51, 55, 53], [58, 62], [57, 63, 67], [76, 64, 66], [70, 73, 65], [68, 75, 71], [78, 72, 74], [77, 86], [81, 79, 82], [80, 83, 85], [84, 87, 88]]
