0: [[35, 14, 2], [32, 17, 8], [55, 58, 60], [49, 57], [46, 25, 4], [20, 19, 26, 31], [40, 24, 12, 44, 45, 3], [28, 7, 34, 39], [27, 11, 9], [41, 1, 5], [13, 21, 6], [15, 10, 18], [36, 50], [22, 23, 43], [51], [54, 16, 37, 29, 33, 38, 42, 53, 30, 56, 59, 47, 48, 52]]
1: [[35, 14, 2], [32, 17, 8], [55, 58, 60], [49, 57], [46, 25, 4], [20, 19, 26, 31], [40, 24, 12, 44, 45, 3], [28, 7, 34], [39, 27, 11, 9], [41, 1, 5], [13, 21, 15, 6], [10, 18, 36], [50, 22, 23], [43, 51, 54], [16, 37, 29], [33], [38, 42, 53, 30, 56, 59, 47, 48, 52]]
2: [[35, 14, 2], [32, 17], [8, 55, 58], [60, 49, 57], [46, 25, 4], [20, 19, 26], [31, 40, 24, 12], [44, 45], [3, 28, 7], [34, 39, 27, 11], [9, 41, 1], [5, 13, 21, 6], [15, 10, 36, 50, 18], [22, 23], [43, 51, 54, 16, 37], [29, 33, 38], [42, 53, 30], [56, 59, 47, 48, 52]]
3: [[35, 14, 2], [32, 17, 8], [55, 58, 60], [49, 57], [46, 25, 4], [20, 19, 26, 31], [40, 24, 12, 44, 45, 3], [28, 7, 34, 39], [27, 11], [9, 41, 1], [5, 13, 21], [6, 15, 10], [18, 36, 50], [22, 23, 43, 51], [54, 16, 37], [29, 33, 38, 42, 53, 30, 56, 59, 47, 48, 52]]
4: [[35, 14, 2], [32, 17, 8], [55, 58, 60], [49, 57], [46, 25, 4], [20, 19, 26, 31], [40, 24, 44, 45, 3, 12], [28, 7, 34, 39], [27, 11, 9], [41], [1, 5, 13, 21], [15, 6, 10, 18, 36, 50, 22, 23, 43, 51], [54, 16, 37, 29, 33, 38, 42, 53, 30, 56, 59, 47, 48, 52]]
5: [[35, 14, 2], [32, 17, 8], [55, 58, 60], [49, 57], [46, 25, 4], [20, 19, 26, 31], [40, 24, 12, 44, 45, 3], [28, 7, 34, 39], [27, 11], [9, 41, 1], [5, 13, 21, 6], [15, 10, 18, 36, 50, 22, 23, 43], [51, 54, 16], [37, 29, 33, 38, 42, 53, 30, 56, 59, 47, 48, 52]]
6: [[35, 14, 2], [32, 17, 8], [55, 58, 60], [49, 57], [46, 25, 4], [20, 19, 26], [31, 40], [24, 12, 44], [45, 3], [28, 7, 34], [39, 27, 11], [9, 41, 1], [5, 13, 21, 6], [15, 10, 18], [36, 50, 22], [23, 43, 51, 54, 16, 37, 29, 33, 38, 42, 53], [30, 56, 59, 47, 48, 52]]
7: [[35, 14, 2], [32, 17, 8], [55, 58, 60], [49, 57], [46, 25, 4], [20, 19, 26, 31], [40, 24, 12, 44, 45, 3], [28, 7, 34, 39], [27, 11, 9], [41, 1, 5], [13, 21], [15, 6, 10, 18], [36, 50, 22], [23, 43, 51], [54, 16, 37], [29, 33, 38], [42, 53], [30, 56, 59], [47, 48, 52]]
8: [[35, 14, 2], [32, 17, 8], [55, 58], [60, 49, 57], [46, 25, 4], [20, 19, 26, 31], [40, 24, 12], [44, 45, 3, 28], [7, 34, 39], [27, 11, 9, 41], [1, 5, 13], [21, 15, 6], [10, 18, 36], [50, 22, 23], [43], [51, 54, 16, 37, 29, 33, 38, 42, 53, 30, 56, 59], [47, 48, 52]]
9: [[35, 14, 2], [32, 17, 8], [55, 58, 60], [49, 57], [46, 25, 4], [20, 19], [26, 31, 40], [24, 12, 44], [45, 3, 28], [7, 34, 39], [27, 11, 9], [41, 1, 5], [13, 21, 6], [15, 10, 18], [36, 50, 22], [23, 43, 51, 54], [16, 37, 29], [33, 38, 42], [53, 30, 56, 59], [47, 48, 52]]
10: [[35, 14, 2], [32, 17, 8], [55, 58, 60], [49, 57], [46, 25, 4], [20, 19, 26], [31, 40, 24, 12], [44, 45, 3], [28, 7, 34], [39, 27, 11], [9, 41, 1], [5, 13, 21], [15, 6, 10], [18, 36, 50], [22, 23, 43, 51], [54, 16, 37], [29, 33, 38, 42], [53, 30], [56, 59, 47], [48, 52]]
