0: [[11, 7, 6, 9], [5, 3], [2, 13, 1, 10, 4, 8, 12]]
1: [[11, 7, 6, 9], [5, 3], [2, 13, 1, 10, 4, 8, 12]]
2: [[11, 7, 6, 9], [5, 3], [2, 13, 1, 10, 4, 8, 12]]
3: [[11, 7, 6, 9], [5, 3], [2, 13, 1, 10, 4, 8, 12]]
4: [[11, 7, 6, 9], [5, 3], [2, 13, 1, 10, 4, 8, 12]]
5: [[11, 7], [6, 9], [5, 3, 2, 13, 1, 10, 4, 8, 12]]
6: [[11, 7], [6, 9], [5, 3, 2, 13, 1, 10, 4, 8, 12]]
7: [[11, 7], [6, 9], [5, 3, 2, 13, 1, 10, 4, 8, 12]]
8: [[11, 7], [6, 9], [5, 3, 2, 13, 1, 10, 4, 8, 12]]
9: [[11, 7], [6, 9], [5, 3, 2, 13, 1, 10, 4, 8, 12]]
10: [[11, 7], [6, 9], [5, 3, 2, 13, 1, 10, 4, 8, 12]]
11: [[11, 7], [6, 9], [5, 3, 2, 13, 1, 10, 4, 8, 12]]
12: [[11, 7], [6, 9], [5, 3, 2, 13, 1, 10, 4, 8, 12]]
13: [[11, 7], [6, 9], [5, 3, 2, 13, 1, 10, 4, 8, 12]]
14: [[11, 7], [6, 9], [5, 3, 2, 13, 1, 10, 4, 8, 12]]
15: [[11, 7], [6, 9], [5, 3, 2, 13, 1, 10, 4, 8, 12]]
16: [[11, 7], [6, 9], [5, 3, 2, 13, 1, 10, 4, 8, 12]]
17: [[11, 7], [6, 9], [5, 3, 2, 13, 1, 10, 4, 8, 12]]
18: [[11, 7], [6, 9], [5, 3, 2, 13, 1, 10, 4, 8, 12]]
19: [[11, 7], [6, 9], [5, 3, 2, 13, 1, 10, 4, 8, 12]]
20: [[11, 7], [6, 9], [5, 3, 2, 13, 1, 10, 4, 8, 12]]
21: [[11, 7], [6, 9], [5, 3, 2, 13, 1, 10, 4, 8, 12]]
22: [[11, 7], [6, 9], [5, 3, 2, 13, 1, 10, 4, 8, 12]]
23: [[11, 7, 6], [9, 5], [3, 2, 13, 1, 10, 4, 8, 12]]
24: [[11, 7, 6], [9, 5], [3, 2, 13, 1, 10, 4, 8, 12]]
25: [[11, 7, 6], [9, 5], [3, 2, 13, 1, 10, 4, 8, 12]]
26: [[11, 7, 6], [9, 5], [3, 2, 13, 1, 10, 4, 8, 12]]
27: [[11, 7, 6, 9, 5], [3, 2], [13, 1, 10, 4, 8, 12]]
