0: [[6, 5], [1, 2], [3, 4], [13, 8, 24, 7, 19, 9, 15, 11, 16, 17, 10, 18, 12, 22, 14], [28, 23], [29], [20, 25], [21, 26, 27]]
1: [[6, 5], [1, 2], [3, 4], [13], [8, 24, 7], [19, 9], [15, 11, 16], [17, 10], [18, 12], [22, 14], [28, 23], [29], [20, 25], [21, 26, 27]]
2: [[6, 5], [1, 2], [3, 4], [13], [8, 24, 7], [19, 9], [15, 11, 16], [17, 10], [18, 12], [22, 14], [28, 23], [29], [20, 25], [21, 26, 27]]
3: [[6, 5], [1, 2], [3, 4], [13, 8], [24, 7], [19, 9, 15, 11, 16], [17, 10, 22, 14, 18, 12, 20, 25, 23, 28], [27, 21, 26, 29]]
4: [[6, 5], [1, 2], [3, 4], [13, 8, 24, 7, 19, 9, 15, 11, 16], [17, 10], [20], [12, 22], [14, 28, 23], [29], [18, 25], [21, 26, 27]]
5: [[6, 5], [1, 2], [3, 4], [13, 8, 24, 7, 19, 9, 15, 11, 16], [17, 10], [20], [12, 22], [14, 28, 23], [29], [18, 25], [21, 26, 27]]
6: [[6, 5], [1, 2], [3, 4], [13, 8], [24, 7], [19, 9], [15, 11], [16, 17], [10, 18], [12, 22, 14, 20, 23], [29, 28], [25, 21, 26, 27]]
7: [[6, 5], [1, 2], [3, 4], [13, 8], [24, 7], [19, 9], [15, 11], [16, 17], [10, 22, 12, 14, 18], [28, 20, 23, 29], [25, 21, 26, 27]]
8: [[6, 5], [1, 2], [3, 4], [13, 8, 24], [7], [19, 9], [15, 11, 16], [17, 10], [20, 12], [28, 14], [22, 23], [18], [29, 25], [21, 26, 27]]
9: [[6, 5], [1, 2], [3, 4], [13], [8, 24], [7, 19, 9], [15, 11, 16, 17, 10, 18, 28, 12, 14, 20, 23, 22, 25, 29, 21], [26, 27]]
10: [[6, 5], [1, 2], [3, 4], [13, 8], [24, 7], [19, 9], [15, 11], [16, 17], [10, 18], [12, 14, 22], [28, 23], [29, 20], [25, 21], [26, 27]]
11: [[6, 5], [1, 2], [3, 4, 13], [8, 24], [7, 19, 9, 15], [11, 16], [17, 10, 18, 12], [22, 14, 20, 23, 29, 28], [25, 21, 26, 27]]
12: [[6, 5], [1, 2], [3, 4, 13, 8], [24], [7, 19, 9], [15, 11], [16], [17, 10], [28, 12], [14, 18], [23, 22, 29], [20, 25, 21], [26, 27]]
13: [[6, 5], [1, 2], [3, 4, 13, 8], [24], [7, 19], [9, 15], [11], [16, 17], [18, 28, 23, 10, 12, 14, 22], [29, 20], [25, 21, 26, 27]]
14: [[6, 5], [1, 2], [3, 4, 13, 8], [24], [7, 19], [9, 15], [11], [16, 17], [18, 28, 23, 10, 12, 14, 22], [29, 20], [25, 21, 26, 27]]
15: [[6, 5], [1, 2], [3, 4], [13, 8], [24, 7], [19, 9], [15, 11], [16, 17], [10, 18, 12], [22, 14], [28, 23], [21, 20], [25, 29], [26, 27]]
