0: [[22, 2, 1, 13, 19], [3, 14, 4, 6, 5, 12], [15, 9, 8], [7, 11, 10], [16, 17, 18, 20], [23, 21, 24]]
1: [[22, 19, 1, 2], [12, 3, 14], [13, 4, 6, 15], [9, 8, 5], [7, 11, 10, 16], [17, 18, 20], [23, 21, 24]]
2: [[22], [2, 3, 12], [14, 13, 4, 6, 15], [9, 8, 5], [7, 11], [10, 16, 19, 1], [17, 18, 20], [23, 21, 24]]
3: [[22, 19], [1, 2], [12, 3], [14, 13], [4, 6, 15], [9, 8, 5], [7, 11, 10], [16, 17, 18, 20], [23, 21, 24]]
4: [[22, 19, 1, 2, 12], [3, 14, 13, 4, 6, 15], [9, 8, 5, 7], [11, 10], [16, 17, 18, 20], [23, 21, 24]]
5: [[22, 19], [1, 2], [12, 3], [14, 13], [4, 6, 15], [9, 8, 5], [7, 11, 10, 16], [17, 18, 20], [23, 21, 24]]
6: [[22, 2], [3, 14, 12], [13, 4, 6], [15, 9, 8], [5, 7, 11], [10, 16, 19, 1], [17, 18, 20], [23, 21, 24]]
7: [[22], [2, 3, 12], [14, 13, 4, 19, 1], [6, 15, 9], [8, 5, 7, 11, 10], [16, 17, 18, 20], [23, 21, 24]]
8: [[22, 19, 1], [2, 12, 3], [14, 13, 4], [6, 15, 9], [8, 5], [7, 11, 10], [16, 17, 18, 20], [23, 21, 24]]
9: [[22, 19], [1, 2, 12, 3], [14, 13, 4], [6, 15], [9, 8, 5], [7, 11, 10, 16], [17, 18, 20], [23, 21, 24]]
10: [[22], [2, 3, 12], [14, 13, 4, 19, 1], [6, 15, 9], [8, 5, 7, 11], [10, 16, 17, 18, 20], [23, 21, 24]]
11: [[22, 2], [3, 14, 13, 4, 12], [6, 15], [9, 8], [5, 7, 11], [10, 16, 19, 1], [17, 18, 20], [23, 21, 24]]
12: [[22], [2, 12], [3, 14], [13, 4, 6, 1], [15, 9, 8, 19], [5, 7, 11, 10], [16, 17, 18, 20], [23, 21, 24]]
13: [[22], [2, 3, 12], [14, 13], [4, 6, 15], [9, 8, 19, 1], [5, 7, 11, 10, 16], [17, 18, 20], [23, 21, 24]]
14: [[22, 19], [1, 2], [12, 3], [14, 13, 4], [6, 15, 9], [8, 5, 7], [11, 10, 16], [17, 18, 20], [23, 21, 24]]
15: [[22], [2, 3, 12], [14, 13, 4], [6, 15, 9], [8, 5, 7], [11, 10, 16, 1], [17, 18, 20, 19], [23, 21, 24]]
16: [[22], [2, 12], [3, 14], [13, 4], [6, 15], [9, 8, 5, 19, 1], [7, 11, 10], [16, 17, 18, 20], [23, 21, 24]]
17: [[22, 19, 1, 2, 12], [3, 14], [13, 4, 6], [15, 9, 8], [5, 7], [11, 10, 16], [17, 18, 20], [23, 21, 24]]
18: [[22], [2, 12], [3, 14], [13, 4], [6, 15], [9, 8, 5], [7, 11], [10, 16, 19, 1], [17, 18, 20], [23, 21, 24]]
19: [[22], [2, 12], [3, 14], [13, 4, 6], [15, 9, 8], [5, 7], [11, 10, 19, 1], [16, 17, 18, 20], [23, 21, 24]]
20: [[22], [2, 12], [3, 14], [13, 4, 6], [15, 9, 8], [5, 7], [11, 10, 19, 1], [16, 17, 18, 20], [23, 21, 24]]
21: [[22], [2, 12], [3, 14, 13, 4, 1], [6, 15, 9], [8, 5, 7], [11, 10, 16], [17, 18, 20, 19], [23, 21, 24]]
22: [[22], [2, 12], [3, 14, 13], [4, 6, 15], [9, 8], [5, 7, 11], [10, 16, 19, 1], [17, 18, 20], [23, 21, 24]]
23: [[22], [2, 12], [3, 14], [13, 4], [6, 15, 9], [8, 5, 7, 11], [10, 16, 19, 1], [17, 18, 20], [23, 21, 24]]
24: [[22, 2, 19, 1], [3, 12], [14, 13, 4, 6], [15, 9, 8, 5], [7, 11, 10], [16, 17, 18, 20, 23], [21, 24]]
25: [[22], [2, 1], [3, 12], [14, 13, 4], [6, 15, 9, 8], [5, 7, 11, 10], [16, 17, 18, 19], [20, 23, 21, 24]]
26: [[22], [2, 12], [3, 14, 13], [4, 6], [15, 9], [8, 5, 7], [11, 10, 19, 1], [16, 17, 18, 20], [23, 21, 24]]
27: [[22], [2, 3, 14, 12], [13, 4, 6, 1], [15, 9, 8, 5], [7, 11, 10, 16], [17, 18, 20, 19], [23, 21], [24]]
28: [[22], [2, 3, 1, 12], [14, 13], [4, 6, 15, 9], [8, 5, 7], [11, 10, 16, 17, 18, 19], [20, 23, 21, 24]]
29: [[22], [2, 1], [3, 14, 12], [13, 4, 6, 15], [9, 8, 5, 19], [7, 11, 10, 16], [17, 18, 20, 23, 21, 24]]
30: [[22, 19, 1, 2], [12, 3, 14], [13, 4, 6], [15, 9, 8], [5, 7], [11, 10, 16], [17, 18, 20, 23], [21, 24]]
31: [[22, 19, 1, 2], [12, 3, 14, 13, 4, 6], [15, 9], [8, 5, 7, 11], [10, 16, 17], [18, 20, 23], [21, 24]]
32: [[22, 19, 2, 1, 12], [14, 13], [4, 6, 15, 9, 8], [5, 7], [11, 10, 16, 17, 18, 3], [20, 23], [21, 24]]
33: [[22], [2], [3, 12], [14, 13, 4], [6, 15, 9], [8, 5, 7], [11, 10, 19, 1], [16, 17, 18], [20, 23], [21, 24]]
34: [[22], [2, 3, 14, 13, 1, 12], [4, 6, 15], [9, 8, 5, 7], [11, 10, 16, 17, 19], [18, 20, 23], [21, 24]]
35: [[22, 19, 1, 2], [12, 3, 14, 13], [4, 6, 15, 9], [8, 5, 7], [11, 10, 16], [17, 18, 20, 23, 21, 24]]
36: [[22, 19, 1], [2, 12, 3], [14, 13], [4, 6, 15], [9, 8, 5], [7, 11, 10], [16, 17, 18, 20, 23, 21, 24]]
37: [[22], [2, 3, 12], [14, 13, 4], [6, 15, 9], [8, 5, 7], [11, 10, 19, 1], [16, 17], [18, 20, 23], [21, 24]]
38: [[22], [2], [3, 12], [14, 13], [4, 6, 15, 9], [8, 5, 7, 11], [10, 16, 19, 1], [17, 18, 20, 23, 21, 24]]
39: [[22], [2, 12, 3, 14], [13, 4, 19, 1], [6, 15, 9], [8, 5, 7, 11, 10, 16, 17, 18, 20, 23, 21, 24]]
40: [[22], [2, 12, 3, 14], [13, 4, 19, 1], [6, 15, 9, 8, 5, 7, 11, 10, 16, 17, 18, 20, 23, 21, 24]]
41: [[22, 19, 1, 2], [12, 3], [14, 13, 4, 6, 15, 9, 8, 5, 7, 11, 10, 16, 17, 18, 20, 23, 21, 24]]
42: [[22], [2, 12, 3, 14], [13, 4, 6, 15, 9, 1], [8, 5, 7, 11, 10, 16, 17, 18, 20, 23, 21, 24, 19]]
43: [[22, 19, 1], [2, 12], [3, 14, 13, 4, 6], [15, 9, 8, 5, 7, 11, 10, 16, 17, 18, 20, 23, 21, 24]]
44: [[22], [2, 12], [3, 14, 13], [4, 6, 19, 1], [15, 9, 8], [5, 7, 11], [10, 16, 17, 18, 20, 23, 21, 24]]
45: [[22], [2, 12], [3, 14], [13, 4], [6, 15], [9, 8, 19, 1], [5, 7, 11, 10], [16, 17, 18], [20, 23, 21], [24]]
46: [[22, 19, 1], [2, 12, 3, 14], [13, 4, 6, 15, 9, 8, 5, 7, 11, 10, 16, 17, 18, 20, 23, 21, 24]]
47: [[22, 19, 2], [3, 14], [13, 4, 1], [6, 15], [9, 8, 5, 7, 11, 10, 16, 17, 18, 20, 23, 21, 24, 12]]
48: [[22, 19, 1], [2, 12], [3, 14, 13], [4, 6, 15], [9, 8, 5, 7, 11, 10, 16, 17, 18, 20, 23, 21, 24]]
49: [[22, 19, 1, 2], [12, 3], [14, 13], [4, 6], [15, 9], [8, 5, 7], [11, 10, 16, 17, 18, 20, 23, 21, 24]]
