0: [[1, 3, 5], [6, 8, 9, 11], [7, 13], [12, 2], [10, 4]]
1: [[1, 5, 3], [8, 9, 11, 6], [7, 13], [12, 2], [10, 4]]
2: [[1, 5, 3], [8, 9, 11, 6], [7, 13], [12, 2], [10, 4]]
3: [[1, 5, 3], [8, 9, 11, 6], [7, 13], [12, 2], [10, 4]]
4: [[1, 3], [5], [8, 9, 11, 6], [7, 13, 12, 2], [10, 4]]
5: [[1, 3], [5, 8, 9, 11, 6], [7, 13], [12, 2], [10, 4]]
6: [[1, 3], [5, 8, 9, 11, 6], [7, 13], [12, 2], [10, 4]]
7: [[1, 3], [5, 8, 9, 11, 6], [7, 13], [12, 2], [10, 4]]
8: [[1, 3], [5, 8, 9, 11, 6], [7, 13], [12, 2], [10, 4]]
9: [[1, 3], [5, 8, 9, 11, 6], [7, 13], [12, 2], [10, 4]]
10: [[1, 3], [5, 8, 9, 11, 6], [7, 13], [12, 2], [10, 4]]
11: [[1, 3], [5, 8, 9, 11, 6], [7, 13], [12, 2], [10, 4]]
12: [[1, 3], [5, 8, 9, 11, 6], [7, 13], [12, 2], [10, 4]]
13: [[1, 3], [5, 8, 9, 11, 6], [7, 13], [12, 2], [10, 4]]
14: [[1, 3], [5, 8, 9, 11, 6], [7, 13], [12, 2], [10, 4]]
15: [[1, 3], [5, 8, 9, 11, 6], [7, 13], [12, 2], [10, 4]]
16: [[1, 5, 8, 3], [9, 11, 6], [7, 13], [12, 2], [10, 4]]
17: [[1, 5, 8, 3], [9, 11, 6], [7, 13], [12, 2], [10, 4]]
18: [[1, 5, 8, 3], [9, 11, 6], [7, 13], [12, 2], [10, 4]]
19: [[1, 5, 8, 3], [9, 11, 6], [7, 13], [12, 2], [10, 4]]
20: [[1, 5, 8, 3], [9, 11, 6], [7, 13], [12, 2], [10, 4]]
21: [[1, 5, 8, 3], [9, 11, 6], [7, 13], [12, 2], [10, 4]]
22: [[1, 5, 8, 3], [9, 11, 6], [7, 13], [12, 2], [10, 4]]
23: [[1, 3], [5, 8, 6], [9, 11, 7, 13], [12, 2], [10, 4]]
24: [[1, 3], [5, 6], [8, 9, 11, 7], [13, 12, 2], [10, 4]]
25: [[1, 3], [5, 8, 9, 6], [11, 7, 13], [12, 2], [10, 4]]
26: [[1, 3], [5, 6], [8, 9, 11, 7, 13], [12, 2], [10, 4]]
27: [[1, 3], [5, 6], [8, 9, 11, 7, 13], [12, 2], [10, 4]]
