0: [[5, 8, 10, 2, 7], [1, 4, 3], [14, 6], [9, 11, 12, 13], [15, 16], [17, 18, 20, 19]]
1: [[10, 5, 2, 8, 1, 7], [3, 14, 4, 6], [11, 12, 13, 9], [15, 16], [17, 18, 20, 19]]
2: [[10, 5, 2, 8, 1, 7], [3, 14, 4, 6], [9, 11, 12, 13], [15, 16], [17, 18, 20, 19]]
3: [[10, 5, 2, 8, 1, 7], [3, 14, 4, 6], [9, 11, 12, 13], [15, 16, 17, 18, 20, 19]]
4: [[10, 5, 2, 8, 1, 7], [3, 14, 6, 4, 9], [11, 12, 13], [15, 16], [17, 18, 20, 19]]
5: [[8, 1, 7, 10, 5, 2], [4, 3, 14, 6], [9, 11, 12, 13], [15, 16, 17], [18, 20, 19]]
6: [[10, 5, 2, 8, 1, 7], [3, 14, 4, 6], [9, 11, 12], [13, 15, 16], [17, 18, 20, 19]]
7: [[8, 1, 7, 10, 5, 2], [4, 3, 14, 6], [9, 11, 12, 13], [15, 16, 17, 18], [20, 19]]
8: [[8], [1, 7, 10, 5, 2], [4, 3, 14, 6], [9, 11], [12, 13], [15, 16, 17, 18, 20, 19]]
9: [[10, 5, 2, 8, 1], [7, 3, 14, 6, 4, 9], [11, 12, 13], [15, 16, 17, 18, 20, 19]]
10: [[8], [1, 7, 10, 5, 2], [4, 3, 14, 6], [9, 11, 12, 13], [15, 16, 17, 18], [20, 19]]
11: [[5], [8, 1, 10, 2], [4, 3, 7], [14, 6], [9, 11, 12, 13], [15, 16], [17, 18, 20, 19]]
12: [[10, 5, 2, 8], [1, 7], [3, 14, 9, 11, 4, 6], [12, 13], [15, 16, 17, 18, 20, 19]]
13: [[10, 5], [2, 8, 1, 7], [4, 3, 14], [6, 9, 11, 12, 13], [15, 16, 17, 18, 20, 19]]
14: [[10, 5, 2, 8, 1, 7], [4, 3, 14, 6, 9, 11, 12, 13, 15], [16, 17, 18, 20, 19]]
15: [[8, 1, 10, 2], [7, 4, 3, 5], [14, 6, 9], [11, 12], [13, 15, 16], [17, 18, 20, 19]]
16: [[2, 8, 1, 7, 10, 5], [4, 3, 14, 6], [9, 11, 12, 13, 15, 16, 17, 18, 20, 19]]
17: [[10, 5, 2, 8, 1], [7, 3, 14, 4, 6], [9, 11], [12, 13, 15, 16, 17, 18, 20, 19]]
18: [[5, 8, 10, 7], [1, 4, 2], [3, 14, 6], [9, 11, 12, 13, 15, 16], [17, 18], [20, 19]]
19: [[8], [1, 7, 10, 5, 2], [4, 3, 14, 6], [9, 11, 12, 13, 15], [16, 17, 18], [20, 19]]
20: [[10, 5, 2, 8], [1, 7, 4, 3], [14], [6, 9, 11, 12, 13], [15, 16, 17, 18, 20, 19]]
21: [[10, 5, 2, 8, 1, 7, 4, 3, 14], [6, 9, 11, 12, 13], [15, 16, 17, 18, 20, 19]]
22: [[10, 5, 2, 8], [1, 7, 3, 14, 6, 9, 11, 4], [12, 13, 15, 16, 17, 18], [20, 19]]
23: [[10], [8, 1, 7, 2], [4, 3, 14, 5], [6, 9, 11, 12, 13], [15, 16, 17, 18, 20, 19]]
24: [[10, 5], [8, 1, 7, 2], [3, 14, 4], [6, 9], [11, 12, 13, 15], [16, 17, 18, 20, 19]]
25: [[10, 5, 2, 8], [1, 7, 4, 3, 6], [14], [9, 11, 12, 13, 15, 16], [17, 18], [20, 19]]
26: [[10, 5, 2, 8, 1], [7, 4, 3, 14, 6, 9, 11, 12], [13, 15, 16, 17, 18, 20, 19]]
27: [[5], [8, 1, 10, 2, 7], [4, 3], [14, 6], [9, 11, 12, 13, 15], [16, 17, 18], [20, 19]]
28: [[2, 8, 10], [1, 7, 4, 3, 5], [14, 6, 9, 11], [12, 13, 15, 16, 17, 18, 20, 19]]
29: [[10, 5], [2, 8, 1, 7, 3, 14, 4], [9, 11, 12, 13, 15, 6], [16, 17, 18, 20, 19]]
30: [[8, 10], [1, 7, 4, 5, 2], [3, 14], [6, 9, 11, 12, 13], [15, 16, 17, 18], [20, 19]]
31: [[8, 1, 10, 2], [7, 4, 5], [3, 14], [6, 9, 11, 12, 13], [15, 16, 17, 18], [20, 19]]
32: [[10, 5, 2, 8], [1, 7, 14, 6], [9, 3], [11, 12], [13, 15, 4], [16, 17, 18], [20, 19]]
33: [[5, 8, 10, 2], [1, 7, 4, 3], [14, 6], [9, 11, 12, 13, 15, 16, 17, 18, 20, 19]]
34: [[5], [8, 1, 4, 10, 2, 7], [3, 14, 6], [9, 11, 12], [13, 15, 16, 17], [18, 20, 19]]
35: [[5], [8, 1, 10, 2], [7, 4], [3, 14, 6, 9], [11, 12], [13, 15, 16, 17, 18, 20, 19]]
36: [[5], [8, 1, 10, 2], [7, 4], [3, 14, 6, 9], [11, 12, 13, 15], [16, 17, 18, 20, 19]]
37: [[8, 10], [1, 7, 4, 3, 14, 5, 2], [6, 9, 11, 12], [13, 15, 16, 17, 18], [20, 19]]
38: [[2, 8, 10, 5], [1, 7], [4, 3, 14], [6, 9, 11, 12, 13, 15, 16, 17, 18, 20, 19]]
39: [[10, 5], [2, 8, 1, 7, 4, 3, 14], [6, 9, 11, 12, 13, 15, 16, 17, 18, 20, 19]]
40: [[5], [8, 1, 10, 2], [7, 3, 14, 4], [6, 9, 11], [12, 13, 15], [16, 17, 18], [20, 19]]
41: [[10, 5], [2, 8, 1, 7, 4, 3, 14, 6, 9, 11, 12, 13, 15, 16, 17, 18], [20, 19]]
