0: [[3, 5, 1], [10, 4, 9, 6], [7, 8, 11, 12, 13, 2]]
1: [[3, 1, 5], [10, 4, 9, 6], [7, 8, 11, 12, 2, 13]]
2: [[3, 1, 5], [10, 4, 9, 6], [7, 8, 11, 12, 2, 13]]
3: [[3, 1, 5], [10, 4, 9, 6], [7, 8, 11, 12, 2, 13]]
4: [[3, 1, 5], [10, 4, 9, 6], [7, 8, 11, 12, 2, 13]]
5: [[3, 1, 5], [10, 4, 9, 6], [7, 8, 11, 12, 2, 13]]
6: [[3, 1, 5], [10, 4, 9, 6], [7, 8, 11, 12, 2, 13]]
7: [[3, 1, 5], [10, 4, 9, 6], [7, 8, 11, 12, 2, 13]]
8: [[3, 1, 5], [10, 4, 9, 6], [7, 8, 11, 12, 2, 13]]
9: [[3, 1, 5], [10, 4, 9, 6], [7, 8, 11, 12, 2, 13]]
10: [[3, 1, 5], [10, 4], [9, 6, 7, 8, 11, 12, 2, 13]]
11: [[3, 1, 5], [10, 4], [9, 6, 7, 8, 11, 12, 2, 13]]
12: [[3, 1, 5], [10, 4], [9, 6, 7, 8, 11, 12, 2, 13]]
13: [[3, 1, 5], [10, 4], [9, 6, 7, 8, 11, 12, 2, 13]]
14: [[3, 1, 5], [10, 4, 9], [6, 7, 8, 11, 12, 2, 13]]
15: [[3, 1, 5], [10, 4, 9], [6, 7, 8, 11, 12, 2, 13]]
16: [[3, 1, 5, 10, 4], [9, 6], [7, 8, 11, 12, 2, 13]]
17: [[3, 1, 5, 10], [4, 9, 6], [7, 8, 11, 12, 2, 13]]
18: [[3, 1, 5, 10], [4, 9, 6], [7, 8, 11, 12, 2, 13]]
19: [[3, 1], [5, 10, 4, 9, 6], [7, 8, 11, 12, 2, 13]]
20: [[3, 1], [5, 10, 4, 9, 6], [7, 8, 11, 12, 2, 13]]
21: [[3, 1, 5, 10], [4, 9], [6, 7, 8, 11, 12, 2, 13]]
22: [[3, 1], [5, 10, 4, 9], [6, 7, 8, 11, 12, 2, 13]]
23: [[3, 1, 5], [10, 4, 9, 6, 7], [8, 11, 12, 2, 13]]
24: [[3, 1, 5], [10, 4, 9, 6, 7], [8, 11, 12, 2, 13]]
25: [[3, 1], [5, 10], [4, 9, 6, 7, 8, 11, 12, 2, 13]]
26: [[3, 1, 5, 10], [4, 9, 6, 7], [8, 11, 12, 2, 13]]
27: [[3, 1], [5, 10, 4, 9, 6, 7], [8, 11, 12, 2, 13]]
