0: [[1, 11, 3], [8, 7, 5, 10, 2], [16, 6, 14, 4], [13, 9, 12], [15, 17, 18, 19, 20]]
1: [[1, 11, 3], [8, 7, 5, 10, 2], [16, 6, 14, 4], [13, 9, 12], [15, 17, 18, 19, 20]]
2: [[1, 11, 3], [8, 7, 5, 10, 2], [16, 6, 14, 4], [13, 9, 12], [15, 17, 18, 19, 20]]
3: [[1, 11, 3, 8], [7, 5, 10, 2], [16, 6, 14, 4], [13, 9, 12], [15, 17, 18, 19, 20]]
4: [[1, 11, 3, 8], [7, 5, 10, 2], [16, 6, 14, 4], [13, 9, 12], [15, 17, 18, 19, 20]]
5: [[1, 11, 3], [8, 7, 5, 10, 2], [16, 6, 14, 4], [13, 9, 12, 15], [17, 18, 19, 20]]
6: [[1, 11, 3], [8, 7, 5, 10, 2], [16, 14, 6, 4], [13, 9, 12, 15], [17, 18, 19, 20]]
7: [[1, 11, 3], [8, 7, 5, 10, 2], [16, 6, 14, 4], [13, 9, 12, 15], [17, 18, 19, 20]]
8: [[1, 11, 3, 8], [7, 5, 10, 2], [16, 6, 14, 4], [13, 9, 12, 15], [17, 18, 19, 20]]
9: [[1, 11, 3, 8], [7, 5, 10, 2], [16, 6, 14, 4], [13, 9, 12, 15], [17, 18, 19, 20]]
10: [[1, 11, 3, 8], [7, 5, 10, 2], [16, 14, 6, 4], [13, 9, 12, 15], [17, 18, 19, 20]]
11: [[1, 11, 3, 8], [7, 5, 10, 2], [16, 6, 14, 4], [13, 9, 12, 15], [17, 18, 19, 20]]
12: [[1, 11, 3, 8], [7, 5, 10, 2], [16, 6, 14, 4], [13, 9, 12, 15], [17, 18, 19, 20]]
13: [[1, 11, 3, 8], [7, 5, 10, 2], [16, 6, 14, 4], [13, 9, 12, 15], [17, 18, 19, 20]]
14: [[1, 11, 3, 8], [7, 5, 10, 2], [16, 14, 6, 4], [13, 9, 12, 15], [17, 18, 19, 20]]
15: [[1, 11, 3, 8], [7, 5, 10, 2], [16, 6, 14, 4], [13, 9, 12, 15], [17, 18, 19, 20]]
16: [[1, 11, 3, 8], [7, 5, 10, 2], [16, 14, 6, 4], [13, 9, 12, 15], [17, 18, 19, 20]]
17: [[1, 11, 3, 8], [7, 5, 10, 2], [16, 6, 14, 4], [13, 9, 12, 15], [17, 18, 19, 20]]
18: [[1, 11, 3, 8], [7, 5, 10, 2], [16, 6, 14, 4], [13, 9, 12, 15], [17, 18, 19, 20]]
19: [[1, 11, 3, 8], [7, 5, 10, 2], [16, 14, 6, 4], [13, 9, 12, 15], [17, 18, 19, 20]]
20: [[1, 11, 3, 8], [7, 5, 10, 2], [16, 6, 14, 4], [13, 9, 12, 15], [17, 18, 19, 20]]
21: [[1, 11, 3, 8], [7, 5, 10, 2], [16, 6, 14, 4], [13, 9, 12, 15], [17, 18, 19, 20]]
22: [[1, 11, 3, 8], [7, 5, 10, 2], [16, 14, 6, 4], [13, 9, 12, 15], [17, 18, 19, 20]]
23: [[1, 11, 3, 8], [7, 5, 10, 2], [16, 14, 6, 4], [13, 9, 12, 15], [17, 18, 19, 20]]
24: [[1, 11, 3, 8], [7, 5, 10, 2], [16, 6, 14, 4], [13, 9, 12, 15], [17, 18, 19, 20]]
25: [[1, 11, 3, 8], [7, 5, 10, 2], [16, 6, 14, 4], [13, 9, 12, 15], [17, 18, 19, 20]]
26: [[1, 11, 3, 8], [7, 5, 10, 2], [16, 14, 6, 4], [13, 9, 12, 15], [17, 18, 19, 20]]
27: [[1, 11, 3, 8], [7, 5, 10, 2], [16, 6, 14], [4, 13, 9, 12, 15], [17, 18, 19, 20]]
28: [[1, 11, 3], [8, 7, 5, 10], [2, 16, 14, 6, 4], [13, 9, 12, 15], [17, 18, 19, 20]]
29: [[1, 11, 3, 8], [7, 5, 10, 2], [16, 6, 14, 4], [13, 9, 12], [15, 17, 18, 19], [20]]
30: [[1, 11, 3, 8], [7, 5, 10, 2], [16, 6, 14, 4], [13, 9, 12], [15, 17, 18, 19], [20]]
31: [[1, 11, 3], [8, 7, 5, 10, 2], [16, 6, 14, 4], [13, 9, 12, 15, 17, 18, 19, 20]]
32: [[1, 11, 3, 8], [7, 5, 10], [2, 16, 6, 14], [4, 13, 9, 12], [15, 17, 18, 19, 20]]
33: [[1, 11, 3, 8], [7, 5, 10, 2], [16, 14, 6, 4], [13, 9, 12, 15, 17, 18, 19, 20]]
34: [[1, 11, 3, 8], [7, 5, 10, 2], [16, 6, 14, 4], [13, 9, 12, 15, 17, 18, 19, 20]]
35: [[1, 11, 3, 8], [7, 5, 10, 2], [16, 6, 14, 4], [13, 9, 12, 15, 17, 18, 19, 20]]
36: [[1, 11, 3, 8], [7, 5, 10, 2], [16, 6, 14, 4, 13], [9, 12, 15, 17, 18, 19, 20]]
37: [[1, 11, 3, 8], [7, 5, 10, 2, 16], [6, 14, 4], [13, 9, 12, 15, 17, 18, 19, 20]]
38: [[1, 11, 3], [8, 7, 5, 10], [2, 16, 6, 14], [4, 13, 9, 12], [15, 17, 18, 19], [20]]
39: [[1, 11, 3, 8], [7, 5, 10, 2], [16, 6, 14, 4, 13, 9, 12, 15, 17, 18, 19, 20]]
