0: [[3, 1], [8, 2], [14, 4, 15], [7, 5, 10], [11, 12, 13, 9], [16, 6], [19, 17, 18, 20]]
1: [[3, 1, 8], [2, 14, 4, 6], [7, 5], [10, 13, 9], [11, 12, 16, 15], [17, 18, 19, 20]]
2: [[3, 1, 8], [2, 14, 7, 4, 6], [5, 10], [13, 9], [11, 12, 16, 15], [17, 18, 19, 20]]
3: [[3, 1, 8], [2, 14, 7, 4, 6], [5, 10], [13, 9], [11, 12, 16, 15], [17, 18, 19, 20]]
4: [[3, 1], [8, 2, 14], [5, 4], [7, 10, 6], [13, 12, 11, 9], [17, 16, 15], [18, 19, 20]]
5: [[3, 1], [8, 2], [14, 5, 4], [7, 10, 6], [11, 9, 15], [12, 13, 16], [17, 19, 18, 20]]
6: [[3, 1, 8], [2, 14, 4, 6], [7, 13, 10], [11, 5, 9], [12, 16, 15], [19, 17, 18, 20]]
7: [[3, 1, 8], [2, 14, 4, 6], [7, 5], [10, 11], [13, 12, 9], [16, 17, 15], [19, 18, 20]]
8: [[3, 1, 8, 2], [14, 7, 5, 4], [10, 13, 11, 12, 9, 6], [15, 16, 17, 19, 18, 20]]
9: [[3, 1, 8], [2, 14, 4, 6], [7, 5], [10, 11], [12, 13, 9], [18, 17], [16, 19, 20, 15]]
10: [[3, 1, 8, 2], [14, 4], [6, 7, 5, 10, 11, 13, 9], [12, 15], [16, 17, 19, 18, 20]]
11: [[3, 1, 8], [2, 14, 13, 6, 7, 10, 4], [9, 5, 11, 12, 15, 16, 17], [18, 19, 20]]
12: [[3, 1, 8], [2, 14, 7, 5, 11, 4], [10, 9], [13, 6, 12, 16, 15], [17, 18, 19, 20]]
13: [[3, 1, 8, 2, 14, 4, 5], [7, 6, 10], [13, 9, 11, 12, 16, 17, 15], [18, 19, 20]]
14: [[3, 1, 8, 2], [14, 5, 7, 6, 4], [10, 11, 9], [12, 13, 15], [16, 17, 19, 18, 20]]
15: [[3, 1], [8, 2], [14, 4], [5, 7, 6], [10, 13, 12, 9], [11, 16, 17, 18, 19, 20, 15]]
16: [[3, 1, 8], [2, 14, 4, 6], [7, 5], [10, 11, 9], [13], [12], [16, 18, 15], [17, 19, 20]]
17: [[3, 1, 8], [2, 14, 4, 6], [7, 5], [10, 12], [13, 11, 9], [16, 17, 18, 15], [19, 20]]
18: [[3, 1, 8, 2], [14, 4, 5, 6, 7, 10, 9], [11], [13, 12, 15, 16, 17, 18, 19, 20]]
19: [[3, 1], [8, 2, 14, 7, 5, 4], [6, 10, 11], [13, 12, 16, 17, 9, 15], [19, 18, 20]]
20: [[3, 1, 8], [2, 14, 4, 6], [7, 5, 10, 11, 13], [12, 15, 16, 17, 19, 18, 20, 9]]
21: [[3, 1], [8, 2], [14, 5, 7, 10, 13, 15, 12, 9, 4], [11, 20, 17, 19, 18], [16, 6]]
22: [[3, 1, 8, 2, 14, 4], [7, 5], [6, 10, 13, 11, 12, 9], [16, 17, 19, 15], [18, 20]]
23: [[3, 1], [8, 2, 14], [7, 5, 10, 11, 9, 4, 6], [15, 12, 13, 20, 17, 19, 18, 16]]
24: [[3, 1], [8, 2, 14, 6], [5, 4], [7, 15], [13, 10, 9], [11, 12, 16], [17, 19, 18, 20]]
25: [[3, 1], [8, 2], [14], [5, 7, 4], [10, 12, 13, 9, 6], [11, 16, 17, 19, 18, 20, 15]]
26: [[3, 1], [8, 2, 14, 6], [7, 5, 4], [10, 11, 13, 9], [12, 19, 17], [16, 18, 20, 15]]
27: [[3, 1, 8, 2], [14, 7, 5, 4], [10, 6], [13, 11, 9, 15], [12, 16, 17, 18], [19, 20]]
28: [[3, 1], [8, 2, 14, 13, 6, 7, 10, 4], [11, 5, 9, 12, 15, 16, 17, 18], [19, 20]]
29: [[3, 1, 8, 2], [14, 4], [13, 7, 10, 6], [9, 5, 11, 15, 12, 16, 19, 17, 18, 20]]
30: [[3, 1], [8, 2, 14], [5, 7, 10, 13, 11, 12, 15, 9, 4, 6], [16, 17, 19, 18, 20]]
31: [[3, 1, 8], [2, 14, 4, 6], [7, 5, 15], [10, 9], [12, 13, 16], [11, 17], [19, 18, 20]]
32: [[3, 1, 8], [2, 14, 6], [5, 15, 4], [11, 13, 10, 9], [12, 16, 17, 7, 18, 19, 20]]
33: [[3, 1], [8, 2], [14, 4], [5, 6, 15], [10, 11, 13, 9], [7, 12], [20, 17, 18, 16, 19]]
34: [[3, 1, 8, 2, 14], [7, 6, 5, 10, 4], [11, 13], [12, 16, 17, 19, 18, 20, 9, 15]]
35: [[3, 1, 8, 2, 14, 7, 4, 6], [5, 10], [11], [13, 12, 18, 9], [16, 17], [19, 20, 15]]
36: [[3, 1, 8, 2, 14, 5], [4, 7, 6, 10, 11, 13, 15, 9], [20, 16, 12, 18, 17, 19]]
37: [[3, 1, 8, 2], [14, 4], [7, 5, 9, 11, 10, 13, 12, 15, 6, 16, 19, 17, 18, 20]]
38: [[3, 1], [8, 2, 14, 4, 15, 5, 7, 10, 11, 12, 9, 6, 16, 13, 17, 18], [19, 20]]
39: [[3, 1, 8, 2, 14, 5], [7, 6, 4], [10, 12, 11, 9], [13, 16, 19, 18, 15], [17, 20]]
40: [[3, 1, 8], [2, 14, 4, 7], [6, 5, 10, 11, 9, 13, 12, 15, 16, 17, 19, 18, 20]]
41: [[3, 1], [8, 2, 14], [7, 4], [5, 6, 10, 11], [12, 13, 16, 17, 19, 18, 20, 9, 15]]
