It No., Best MQ, No clusters, max clus, min clus
1,1.8132746865959204,9,5,2
2,1.779182103047681,7,15,2
3,1.9982122639265496,8,7,1
4,2.1140139100277286,7,13,1
5,1.9057139881882148,7,13,1
6,1.9050571921812525,7,10,2
7,1.9081398941647107,10,4,2
8,1.7923076923076922,5,13,2
9,1.9265095943575326,6,13,2
10,1.9797805203123495,6,11,3
11,1.9903487209736745,10,6,2
12,1.8352418278888867,7,15,1
13,2.006206506944803,8,6,2
14,2.136964236964237,7,14,2
15,2.054844216816048,7,14,1
16,1.9677737922996545,12,4,1
17,1.8554336661860835,9,5,2
18,1.9257458763518553,8,6,2
19,1.861265609683331,8,6,1
20,1.8589706695623907,6,12,2
21,1.9777369877673827,7,7,3
22,2.062847314053668,10,5,2
23,1.8564135233234267,7,6,2
24,1.835936285936286,7,6,2
25,1.7696628253423383,9,7,1
26,1.8038863072411457,6,9,1
27,1.9642048772483554,8,8,1
28,2.1048486441902523,8,13,2
29,1.998334003161589,7,12,1
30,1.8477169888934593,7,10,2
31,1.8039686687882561,6,8,2
