0: [[2, 1, 13, 6], [4, 19, 12, 5], [14, 11, 7, 10], [8, 9, 15, 17, 20], [18, 22, 16, 3], [21, 23, 24]]
1: [[13, 2, 6, 1], [5, 4, 19, 12], [14, 11, 7, 10], [8, 9, 15, 17, 20], [18, 22, 16, 3], [21, 23, 24]]
2: [[13, 2, 6, 1], [5, 4, 19, 12], [14, 11, 7, 10], [8, 9, 15, 17, 20], [18, 22, 16, 3], [21, 23, 24]]
3: [[13, 2, 6, 1], [5, 4, 19, 12], [14, 11, 7, 10], [8, 9, 15, 17, 20], [18, 22, 16, 3], [21, 23, 24]]
4: [[13, 2, 6, 1], [5, 4, 19], [12, 14, 11, 7, 10], [8, 9, 15, 17, 20], [18, 22, 16, 3], [21, 23, 24]]
5: [[13, 2, 6, 1], [5, 4, 19], [12, 14, 11, 7, 10], [8, 9, 15, 17, 20], [18, 22, 16, 3], [21, 23, 24]]
6: [[13, 2, 6, 1], [5, 4, 19], [12, 14, 11, 7, 10], [8, 9, 15, 17, 20], [18, 22, 16, 3], [21, 23, 24]]
7: [[13, 2, 6, 1], [5, 4, 19], [12, 14, 11, 7, 10], [8, 9, 15, 17, 20], [18, 22, 16, 3], [21, 23, 24]]
8: [[13, 2, 6, 1], [5, 4, 19], [12, 14, 11, 7, 10], [8, 9, 15, 17, 20], [18, 22, 16, 3], [21, 23, 24]]
9: [[13, 6], [2, 5, 4, 19, 12, 1], [14, 11, 7, 10], [8, 9, 15, 17, 20], [18, 22, 16, 3], [21, 23, 24]]
10: [[13, 2, 6, 1], [5, 4, 19, 12, 14], [11, 7, 10], [8, 9, 15, 17, 20], [18, 22, 16, 3], [21, 23, 24]]
11: [[13, 2, 6, 1], [5, 4, 19, 12, 14], [11, 7, 10], [8, 9, 15, 17, 20], [18, 22, 16, 3], [21, 23, 24]]
12: [[13, 2, 6, 1], [5, 4, 19, 12, 14], [11, 7, 10], [8, 9, 15, 17, 20], [18, 22, 16, 3], [21, 23, 24]]
13: [[13, 2, 6, 1], [5, 4, 19, 12, 14], [11, 7, 10], [8, 9, 15, 17, 20], [18, 22, 16, 3], [21, 23, 24]]
14: [[13, 6, 1], [2, 5, 4, 19, 12], [14, 11, 7, 10], [8, 9, 15, 17, 20], [18, 22, 16, 3], [21, 23, 24]]
15: [[13, 2, 6, 1], [5, 4, 19, 12, 14], [11, 7], [10, 8, 9, 15, 17, 20], [18, 22, 16, 3], [21, 23, 24]]
16: [[13, 2, 5, 6, 1], [4, 19, 12], [14, 11, 7, 10], [8, 9, 15, 17, 20, 18], [22, 16, 3], [21, 23, 24]]
17: [[1, 2, 5, 4, 19, 13, 6], [12, 14, 11, 7, 10], [8, 9, 15, 17, 20], [18, 22, 16, 3], [21, 23, 24]]
18: [[13, 6, 1], [2, 5, 4, 19], [12, 14, 11, 7, 10], [8, 9, 15, 17, 20], [18, 22, 16, 3], [21, 23, 24]]
19: [[13, 6, 1], [2, 5, 4, 19], [12, 14, 11, 7, 10], [8, 9, 15, 17, 20], [18, 22, 16, 3], [21, 23, 24]]
20: [[13, 6, 1], [2, 5, 4, 19], [12, 14, 11, 7, 10], [8, 9, 15, 17, 20], [18, 22, 16, 3], [21, 23, 24]]
21: [[13, 6, 1], [2, 5, 4, 19], [12, 14, 11, 7, 10], [8, 9, 15, 17, 20], [18, 22, 16, 3], [21, 23, 24]]
22: [[1, 2, 5, 4, 19, 13, 6], [12, 14, 11, 7, 10], [8, 9, 15, 17, 20], [18, 22, 16, 3], [21, 23, 24]]
23: [[1, 2, 5, 4, 19, 13, 6], [12, 14, 11, 7, 10], [8, 9, 15, 17, 20], [18, 22, 16, 3], [21, 23, 24]]
24: [[1, 2, 5, 4, 19, 13, 6], [12, 14, 11, 7, 10], [8, 9, 15, 17, 20], [18, 22, 16, 3], [21, 23, 24]]
25: [[1, 2, 5, 4, 19, 13, 6], [12, 14, 11, 7, 10], [8, 9, 15, 17, 20], [18, 22, 16, 3], [21, 23, 24]]
26: [[1, 2, 5, 4, 19, 13, 6], [12, 14, 11, 7, 10], [8, 9, 15, 17, 20], [18, 22, 16, 3], [21, 23, 24]]
27: [[13, 2, 6, 1], [5, 4, 19, 12], [14, 11, 7, 10, 8], [9, 15, 17, 20], [18, 22, 16, 3], [21, 23, 24]]
28: [[13, 2, 6, 1], [5, 4, 19, 12], [14, 11, 7, 10, 8], [9, 15, 17, 20], [18, 22, 16, 3], [21, 23, 24]]
29: [[13, 6, 1], [2, 5, 4, 19, 12, 14], [11, 7, 10], [8, 9, 15, 17, 20], [18, 22, 16, 3], [21, 23, 24]]
30: [[13, 2, 6, 1], [5, 4, 19], [12, 14, 11, 7], [10, 8, 9, 15, 17, 20], [18, 22, 16, 3], [21, 23, 24]]
31: [[13, 2, 6, 1], [5, 4, 19], [12, 14, 11, 7], [10, 8, 9, 15, 17, 20], [18, 22, 16, 3], [21, 23, 24]]
32: [[13, 6], [2, 5, 4, 19, 12, 1], [14, 11, 7, 10], [8, 9, 15, 17], [20, 18, 22, 16, 3], [21, 23, 24]]
33: [[13, 6, 1], [2, 5, 4, 19, 12], [14, 11, 7, 10, 8], [9, 15, 17, 20], [18, 22, 16, 3], [21, 23, 24]]
34: [[13, 6, 3], [1, 2, 5, 4, 19], [12, 14, 11, 7, 10], [8, 9, 15], [17, 20, 18, 22, 16], [21, 23, 24]]
35: [[13, 6, 3], [1, 2, 5, 4, 19], [12, 14, 11, 7, 10], [8, 9, 15], [17, 20, 18, 22, 16], [21, 23, 24]]
36: [[13, 2, 1], [5, 4, 19, 12, 14, 11, 6], [7, 10], [8, 9, 15, 17, 20], [18, 22, 16, 3], [21, 23, 24]]
37: [[13, 2, 1], [5, 4, 19, 12, 14, 11, 6], [7, 10], [8, 9, 15, 17, 20], [18, 22, 16, 3], [21, 23, 24]]
38: [[13, 2, 6, 1], [5, 4, 19], [12, 14, 11, 7], [10, 8, 9, 15, 17], [20, 18, 22, 16, 3], [21, 23, 24]]
39: [[13, 2, 1], [5, 4, 19, 12, 14, 11, 6], [7, 10, 8], [9, 15, 17, 20, 18], [22, 16, 3], [21, 23, 24]]
40: [[1, 2, 5, 4, 19, 13, 6], [12, 14, 11, 7], [10, 8, 9, 15, 17], [20, 18, 22, 16, 3], [21, 23, 24]]
41: [[1, 2, 5, 4, 13, 6], [19, 12, 14, 11, 7], [10, 8, 9, 15, 17], [20, 18, 22, 16, 3], [21, 23, 24]]
42: [[1, 2, 5, 4, 19], [12, 14, 11, 13, 6], [7, 10, 8, 9, 15], [17, 20, 18, 22, 16, 3], [21, 23, 24]]
43: [[1, 2, 5, 4, 19], [12, 14, 11, 13, 6], [7, 10, 8, 9, 15], [17, 20, 18, 22, 16, 3], [21, 23, 24]]
44: [[13, 6, 1], [2, 5, 4, 19, 12], [14, 11, 7, 10], [8, 9, 15, 17, 20, 18], [22, 16, 21, 3], [23, 24]]
45: [[13, 2, 1], [5, 4, 19, 12, 14], [11, 7, 10, 8, 9, 6], [15, 17, 20], [18, 22, 16, 21, 3], [23, 24]]
46: [[13, 6], [2, 5, 4, 19, 12, 1], [14, 11, 7], [10, 8, 9, 15, 17], [20, 18, 22, 16, 21, 3], [23, 24]]
47: [[13, 2, 6, 3, 1], [5, 4], [19, 12, 14, 11, 7], [10, 8, 9, 15, 17, 20], [18, 22], [16, 21, 23, 24]]
48: [[13, 2, 6, 3, 1], [5, 4, 19], [12, 14, 11, 7], [10, 8, 9, 15, 17], [20, 18, 22], [16, 21, 23, 24]]
49: [[13, 6, 3], [2, 5, 4, 19, 1], [12, 14, 11, 7], [10, 8, 9, 15, 17], [20, 18, 22], [16, 21, 23, 24]]
