0: [[1, 3], [13, 14, 4], [10, 2, 7, 5, 8], [12, 11, 17, 9], [16, 6, 15], [18, 20, 19]]
1: [[1, 3, 13], [14, 6, 4], [2, 5, 10, 8, 7], [12, 11, 17, 9], [16, 15], [18, 20, 19]]
2: [[1, 3], [13, 14, 4], [2, 7, 5, 10], [8, 12, 11, 17], [9, 16, 15, 6], [18, 20, 19]]
3: [[1, 3, 13], [14, 2, 6, 4], [7, 5, 10, 8], [12, 11, 17, 9], [16, 15], [18, 20, 19]]
4: [[1, 3, 13], [14, 6, 4], [2, 7, 5, 10, 8], [12, 11, 17], [16, 15, 9], [18, 20, 19]]
5: [[1, 3], [13, 14, 4, 2, 7], [5, 10, 8], [12, 11, 17, 9], [16, 6, 15], [18, 20, 19]]
6: [[1, 3, 13], [14, 6, 4], [2, 7, 5, 10, 9], [12, 11, 17], [16, 8, 15], [18, 20, 19]]
7: [[1, 3], [13, 14, 6, 4, 2], [5, 10, 8], [12, 11, 17], [16, 7, 15, 9], [18, 20, 19]]
8: [[1, 3, 13], [14, 2, 6, 4], [7, 5, 10, 8], [12, 11, 17], [16, 15, 9], [18, 20, 19]]
9: [[1, 3, 13, 14, 4], [10, 2, 7], [5, 8], [12, 11, 17, 9], [16, 6, 15], [18, 20, 19]]
10: [[1, 3, 13], [14, 4], [2, 7, 5, 10, 11], [12, 8, 17, 9], [16, 6, 15], [18, 20, 19]]
11: [[1, 3, 13, 14], [4, 2, 7, 5], [10, 8], [12, 11, 17], [9, 16, 15, 6], [18, 20, 19]]
12: [[1, 3, 13, 14, 4], [2, 7, 5], [10, 8, 12], [11, 17, 9], [16, 6, 15], [18, 20, 19]]
13: [[1, 3, 13], [14, 4, 2], [7, 5, 10], [8, 12, 11], [17, 9, 16, 6, 15], [18, 20, 19]]
14: [[1, 3, 13, 14], [2, 5, 4], [10, 8, 7], [12, 11, 17], [16, 6, 15, 9], [18, 20, 19]]
15: [[1, 3, 13, 14], [2, 5, 4], [10, 8, 7], [12, 11, 17], [16, 6, 15, 9], [18, 20, 19]]
16: [[1, 3, 13], [14, 4], [2, 7, 5], [10, 8, 12, 11], [17, 16, 6, 15, 9], [18, 20, 19]]
17: [[1, 3, 13], [14, 4], [2, 7, 5], [10, 8, 12, 11, 17], [16, 6, 15, 9], [18, 20, 19]]
18: [[1, 3, 13], [14, 4], [2, 7, 5], [10, 8, 12, 11, 17], [16, 6, 15, 9], [18, 20, 19]]
19: [[1, 3, 13, 14, 4], [2, 7, 5, 10], [8, 12, 11], [17, 9, 16], [6, 15], [18, 20, 19]]
20: [[1, 3], [13, 14, 4, 10], [2, 7, 5, 8, 12], [11, 17, 9], [16, 6, 15], [18, 20, 19]]
21: [[1, 3, 13], [14, 2, 6, 4], [7, 5, 10, 8, 12], [11, 17, 9], [16, 15], [18, 20, 19]]
22: [[1, 3, 13], [14, 4, 2, 7, 5], [10, 8, 12, 11], [17, 9], [16, 6, 15], [18, 20, 19]]
23: [[1, 3, 13, 14], [2, 7, 5, 10, 4], [8, 12, 11], [17, 9], [16, 6, 15], [18, 20, 19]]
24: [[1, 3], [13, 14, 2, 7, 5], [10, 8, 4], [12, 11, 17], [16, 6, 15, 9], [18, 20, 19]]
25: [[1, 3, 13, 14], [4, 2], [7, 5, 10], [8, 12, 11, 17], [9, 16, 15, 6], [18, 20, 19]]
26: [[1, 3, 13], [14, 2, 6], [7, 5, 8, 10, 4], [12, 11, 17], [16, 15, 9], [18, 20, 19]]
27: [[1, 3, 13], [14, 6], [4, 2, 5, 10, 8], [7, 12, 11, 17], [16, 9, 15], [18, 20, 19]]
28: [[1, 3, 13], [14, 2, 7], [6, 4, 5, 10, 8], [12, 11, 17, 9], [16, 15], [18, 20, 19]]
29: [[1, 3, 13, 14, 2], [6, 4], [7, 5, 10], [8, 12, 11, 9], [16, 17, 15], [18, 20, 19]]
30: [[1, 3, 13, 14, 2], [7, 4], [5, 10, 8], [12, 11, 17, 9], [16, 6, 15], [18, 20, 19]]
31: [[1, 3, 13], [14, 2, 6, 4], [5, 10, 9], [8, 12, 11], [17, 16, 7, 15], [18, 20, 19]]
32: [[1, 3, 13, 14], [2, 5, 4, 10, 8], [7, 12, 11], [17, 9], [16, 6, 15], [18, 20, 19]]
33: [[1, 3], [13, 14, 4, 2], [7, 5, 10, 8, 12], [11, 17, 9, 16], [6, 15], [18, 20, 19]]
34: [[1, 3, 13], [14, 4, 2, 7, 5], [10, 11, 12], [8, 17, 9], [16, 6, 15], [18, 20, 19]]
35: [[1, 3, 13], [14, 4, 10], [2, 7, 5, 8, 12], [11, 17, 9], [16, 6, 15], [18, 20, 19]]
36: [[1, 3], [13, 14, 2, 7, 5], [10, 4, 8], [6, 15, 17, 9], [16, 11, 12], [18, 20, 19]]
37: [[1, 3, 13, 14], [4, 2, 7], [5, 10, 8], [12, 11, 17, 9, 16], [6, 15], [18, 20, 19]]
38: [[1, 3, 13, 14, 2], [7, 5, 4], [10, 8, 12], [11, 17, 9], [16, 6, 15], [18, 20, 19]]
39: [[1, 3, 13, 14, 4], [2, 7, 5], [10, 8, 12], [6, 11, 17], [16, 9, 15], [18, 20, 19]]
40: [[1, 3, 13], [14, 4, 10, 2, 7], [5, 8, 12], [11, 17, 9], [16, 6, 15], [18, 20, 19]]
41: [[1, 3, 13, 14, 2, 9], [7, 5, 10, 4], [8, 12], [11, 17], [16, 6, 15], [18, 20, 19]]
