0: [[18, 5, 6, 10], [1, 2, 19], [3, 8, 4, 12], [15, 7, 14], [13, 9, 11, 16, 17, 22], [25, 29, 20], [21, 26, 27], [23, 24, 28]]
1: [[18, 5, 6, 10], [1, 2, 19], [3, 8, 4, 12], [15, 7, 14], [13, 9, 11, 16, 17, 22], [25, 29, 20], [21, 26, 27], [23, 24, 28]]
2: [[18, 5, 6, 10], [1, 2, 19], [3, 8, 4, 12], [15, 7, 14], [11, 9, 13, 17, 16, 22], [25, 29, 20], [21, 26, 27], [23, 24, 28]]
3: [[18, 5, 6, 10], [1, 2, 19], [3, 8, 4, 12], [15, 7, 14], [13, 9, 11, 16, 17, 22], [25, 29, 20], [21, 26, 27], [23, 24, 28]]
4: [[18, 5, 6, 10], [1, 2, 19], [3, 8, 4, 12], [15, 7, 14], [11, 9, 13, 16, 17, 22], [25, 29, 20], [21, 26, 27], [23, 24, 28]]
5: [[18, 5, 6, 10], [1, 2, 19], [3, 8, 4, 12], [15, 7, 14], [13, 9, 11, 16, 17, 22], [25, 29, 20], [21, 26, 27], [23, 24, 28]]
6: [[18, 5, 6, 10], [1, 2, 19], [3, 8, 4, 12], [15, 11, 7], [14, 9, 13, 16, 17, 22], [25, 29, 20], [21, 26, 27], [23, 24, 28]]
7: [[18, 5, 6, 10], [1, 2, 19], [3, 8, 4], [12, 15, 7, 14], [13, 9, 11, 16, 17, 22], [25, 29, 20], [21, 26, 27], [23, 24, 28]]
8: [[18, 5, 6, 10], [1, 2, 19], [3, 8, 4], [12, 15, 7, 14], [13, 9, 11, 17, 16, 22], [25, 29, 20], [21, 26, 27], [23, 24, 28]]
9: [[18, 5, 6, 10], [1, 2, 19], [3, 8, 4], [12, 15, 14, 7], [13, 9, 11, 16, 17, 22], [25, 29, 20], [21, 26, 27], [23, 24, 28]]
10: [[18, 5, 6, 10], [1, 2, 19], [3, 8, 4], [15, 7, 12, 14], [13, 9, 11, 16, 17, 22], [25, 29, 20], [21, 26, 27], [23, 24, 28]]
11: [[18, 5, 6, 10], [1, 2, 19], [3, 8, 4], [12, 15, 7, 14], [13, 9, 11, 17, 16, 22], [25, 29, 20], [21, 26, 27], [23, 24, 28]]
12: [[18, 5, 6, 10], [1, 2, 19], [3, 8, 4], [12, 15, 7, 14], [13, 9, 11, 17, 16, 22], [25, 29, 20], [21, 26, 27], [23, 24, 28]]
13: [[18, 5, 6, 10], [1, 2, 19], [3, 8, 4], [12, 15, 7, 14], [11, 9, 13, 16, 17, 22], [25, 29, 20], [21, 26, 27], [23, 24, 28]]
14: [[18, 5, 6, 10], [1, 2, 19], [3, 8, 4], [12, 15, 7, 14], [11, 9, 13, 16, 17, 22], [25, 29, 20], [21, 26, 27], [23, 24, 28]]
15: [[18, 5, 6, 10], [1, 2, 19], [3, 8, 4], [12, 15, 7, 14], [13, 9, 11, 17, 16, 22], [25, 29, 20], [21, 26, 27], [23, 24, 28]]
16: [[18, 5, 6, 10], [1, 2, 19], [3, 8, 4], [12, 15, 14, 7], [13, 9, 11, 16, 17, 22], [25, 29, 20], [21, 26, 27], [23, 24, 28]]
17: [[18, 5, 6, 10], [1, 2, 19], [3, 8, 4], [12, 15, 7, 14], [13, 9, 11, 16, 17, 22], [25, 29, 20], [21, 26, 27], [23, 24, 28]]
18: [[18, 5, 6, 10], [1, 2, 19], [3, 8, 4], [12, 15, 13, 14], [11, 9, 7, 17, 16, 22], [25, 29, 20], [21, 26, 27], [23, 24, 28]]
19: [[18, 5, 6, 10], [1, 2, 19], [3, 8, 4], [12, 15, 13, 14], [7, 9, 11, 16, 17, 22], [25, 29, 20], [21, 26, 27], [23, 24, 28]]
20: [[18, 5, 6, 10], [1, 2, 19], [3, 8, 4, 12], [15, 7, 14, 13, 9, 11], [17, 16, 22], [25, 29, 20], [21, 26, 27], [23, 24, 28]]
21: [[18, 5, 6], [1, 2, 19, 10], [3, 8, 4], [15, 7, 12, 14], [11, 9, 13, 17, 16, 22], [25, 29, 20], [21, 26, 27], [23, 24, 28]]
22: [[18, 5, 6], [10, 1, 2, 19], [3, 8, 4], [12, 15, 7, 14], [13, 9, 11, 16, 17, 22], [25, 29, 20], [21, 26, 27], [23, 24, 28]]
23: [[18, 5, 6, 10], [1, 2, 19, 3], [8, 4, 12], [15, 13, 14], [9, 7, 11, 16, 17, 22], [25, 29, 20], [21, 26, 27], [23, 24, 28]]
24: [[18, 5, 6, 10], [1, 2, 19], [3, 8, 4, 12, 15, 7], [14, 13, 9], [11, 17, 16, 22], [25, 29, 20], [21, 26, 27], [23, 24, 28]]
