0: [[14, 10], [9, 19, 13, 22, 1, 4], [3, 16, 2, 6], [7, 11], [12, 5, 17, 15, 8, 18, 20], [23, 21, 24]]
1: [[14, 10], [9, 19, 13, 22, 1, 4], [3, 16, 2, 6], [7, 11], [12, 5, 17, 15, 8, 18, 20], [23, 21, 24]]
2: [[14, 10], [9, 19, 13, 22, 1, 4], [3, 16, 2, 6], [7, 11], [12, 5, 17, 15, 8, 18, 20], [23, 21, 24]]
3: [[14, 10], [9, 19, 13, 22, 1, 4], [3, 16, 2, 6], [7, 11], [12, 5, 17, 15, 8, 18, 20], [23, 21, 24]]
4: [[14, 10], [9, 19, 13, 22, 1, 4], [3, 16, 2, 6], [7, 11], [12, 5, 17, 15, 8, 18, 20], [23, 21, 24]]
5: [[14, 10], [9, 19, 13, 22, 1, 4], [3, 16, 2, 6], [7, 11], [12, 5, 17, 15, 8, 18, 20], [23, 21, 24]]
6: [[14, 10], [9, 19, 13, 22, 1, 4], [3, 16, 2, 6], [7, 11], [12, 5, 17, 15, 8, 18, 20], [23, 21, 24]]
7: [[14, 10], [9, 19, 13, 22, 1, 4], [3, 16, 2, 6], [7, 11], [12, 5, 17, 15, 8, 18, 20], [23, 21, 24]]
8: [[14, 10], [9, 19, 13, 22, 1, 4], [3, 16, 2, 6], [7, 11], [12, 5, 17, 15, 8, 18, 20], [23, 21, 24]]
9: [[14, 10], [9, 19, 13, 22, 1, 4], [3, 16, 2, 6], [7, 11], [12, 5, 17, 15, 8, 18, 20], [23, 21, 24]]
10: [[14, 10], [9, 19, 13, 22, 1, 4], [3, 16, 2, 6], [7, 11], [12, 5, 17, 15, 8, 18, 20], [23, 21, 24]]
11: [[14, 10], [9, 19, 13, 22, 1, 4], [3, 16, 2, 6], [7, 11], [12, 5, 17, 15, 8, 18, 20], [23, 21, 24]]
12: [[14, 10], [9, 19, 13, 22, 1, 4], [3, 16, 2, 6], [7, 11], [12, 5, 17, 15, 8, 18, 20], [23, 21, 24]]
13: [[14, 10], [9, 19, 13, 22, 1, 4], [3, 16, 2, 6], [7, 11], [12, 5, 17, 15, 8, 18, 20], [23, 21, 24]]
14: [[14, 10], [9, 19, 13, 22, 1, 4], [3, 16, 2, 6], [7, 11], [12, 5, 17, 15, 8, 18, 20], [23, 21, 24]]
15: [[14, 10], [9, 19, 13, 22, 1, 4], [3, 16, 2, 6], [7, 11], [12, 5, 17, 15, 8, 18, 20], [23, 21, 24]]
16: [[14, 10], [9, 19, 13, 22, 1, 4], [3, 16, 2, 6], [7, 11], [12, 5, 17, 15, 8, 18, 20], [23, 21, 24]]
17: [[14, 10], [9, 19, 13, 22, 1, 4], [3, 16, 2, 6], [7, 11], [12, 5, 17, 15, 8, 18, 20], [23, 21, 24]]
18: [[14, 10], [9, 19, 13, 22, 1, 4], [3, 16, 2, 6], [7, 11], [12, 5, 17, 15, 8, 18, 20], [23, 21, 24]]
19: [[14, 10], [9, 19, 13, 22, 1, 4], [3, 16, 2, 6], [7, 11], [12, 5, 17, 15, 8, 18, 20], [23, 21, 24]]
20: [[14, 10], [9, 19, 13, 22, 1, 4], [3, 16, 2, 6], [7, 11], [12, 5, 17, 15, 8, 18, 20], [23, 21, 24]]
21: [[14, 10], [9, 19, 13, 22, 1, 4], [3, 16, 2, 6], [7, 11], [12, 5, 17, 15, 8, 18, 20], [23, 21, 24]]
22: [[14, 10], [9, 19, 13, 22, 1, 4], [3, 16, 2, 6], [7, 11], [12, 5, 17, 15, 8, 18, 20], [23, 21, 24]]
23: [[14, 10], [9, 19, 13, 22, 1, 4], [3, 16, 2, 6], [7, 11], [12, 5, 17, 15, 8, 18, 20], [23, 21, 24]]
24: [[14, 10], [9, 19, 13, 22, 1, 4], [3, 16, 2, 6], [7, 11], [12, 5, 17, 15, 8, 18, 20], [23, 21, 24]]
25: [[14, 10], [9, 19, 13, 22, 1, 4], [3, 16, 2, 6], [7, 11], [12, 5, 17, 15, 8, 18, 20], [23, 21, 24]]
26: [[14, 10], [9, 19, 13, 22, 1, 4], [3, 16, 2, 6], [7, 11], [12, 5, 17, 15, 8, 18, 20], [23, 21, 24]]
27: [[14, 10], [9, 19, 13, 22, 1, 4], [3, 16, 2, 6], [7, 11], [12, 5, 17, 15, 8, 18, 20], [23, 21, 24]]
28: [[14, 10], [9, 19, 13, 22, 1, 4], [3, 16, 2, 6], [7, 11], [12, 5, 17, 15, 8, 18, 20], [23, 21, 24]]
29: [[14, 10], [9, 19, 13, 22, 1, 4], [3, 16, 2, 6], [7, 11], [12, 5, 17, 15, 8, 18, 20], [23, 21, 24]]
30: [[14, 10], [9, 19, 13, 22, 1, 4], [3, 16, 2, 6], [7, 11], [12, 5, 17, 15, 8, 18, 20], [23, 21, 24]]
31: [[14, 10], [9, 19, 13, 22, 1], [4, 3, 16, 2, 6], [7, 11], [12, 5, 17, 15, 8, 18, 20], [23, 21, 24]]
32: [[14, 10], [9, 19, 13, 22, 1], [4, 3, 16, 2, 6], [7, 11], [12, 5, 17, 15, 8, 18, 20], [23, 21, 24]]
33: [[14, 10], [9, 19, 13, 22, 1, 4, 3], [16, 2, 6], [7, 11], [12, 5, 17, 15, 8, 18, 20], [23, 21, 24]]
34: [[14, 10], [9, 19, 13, 22, 1, 4, 3], [16, 2, 6], [7, 11], [12, 5, 17, 15, 8, 18, 20], [23, 21, 24]]
35: [[14, 10], [9, 19, 13, 22, 1, 4], [3, 16, 2, 6, 7], [11, 12], [5, 17, 15, 8, 18, 20], [23, 21, 24]]
36: [[9, 13, 22, 1], [4, 3, 16, 2, 19], [6, 7, 14, 10], [11, 12, 5, 17, 15, 8, 18, 20], [23, 21, 24]]
37: [[9, 13, 22, 1], [4, 3, 16, 2, 19], [6, 7, 14, 10], [11, 12, 5, 17, 15, 8, 18, 20], [23, 21, 24]]
38: [[9, 13, 22, 1], [4, 3, 16, 2, 19], [6, 7, 14, 10], [11, 12, 5, 17, 15, 8, 18, 20], [23, 21, 24]]
39: [[14, 10], [9, 19, 13, 22, 1, 4, 3], [16, 2, 6, 7], [11, 12], [5, 17, 15, 8, 18, 20], [23, 21, 24]]
40: [[14, 10], [9, 19, 13, 22, 1, 4, 3], [16, 2, 6, 7], [11, 12], [5, 17, 15, 8, 18, 20], [23, 21, 24]]
41: [[14, 10], [9, 19, 13, 22, 1, 4], [3, 16, 2, 6], [7, 11], [12, 5, 17, 15, 8, 18], [20, 23, 21, 24]]
42: [[14, 10], [9, 19, 13, 22, 1, 4], [3, 16, 2, 6], [7, 11], [12, 5, 17, 15, 8, 18], [20, 23, 21, 24]]
43: [[14, 10], [9, 19, 13, 22, 1, 4], [3, 16, 2, 6], [7, 11], [12, 5, 17, 15, 8, 18, 20, 23], [21, 24]]
44: [[14, 10], [9, 19, 13, 22, 1, 4], [3, 16, 2, 6], [7, 11], [12, 5, 17, 15, 8, 18, 20, 23], [21, 24]]
45: [[14, 10], [9, 19, 13, 22, 1, 4], [3, 16, 2, 6], [7, 11], [12, 5, 17, 15, 8, 18, 20, 23], [21, 24]]
46: [[14, 10], [9, 19, 13, 22, 1, 4], [3, 16, 2], [6, 7], [11, 12, 5, 17, 15, 8, 18], [20, 23, 21, 24]]
47: [[14, 10], [9, 19, 13, 22, 1, 4], [3, 16, 2], [6, 7], [11, 12, 5, 17, 15, 8, 18], [20, 23, 21, 24]]
48: [[14, 10], [9, 19, 13, 22, 1, 4], [3, 16, 2], [6, 7], [11, 12, 5, 17, 15, 8, 18], [20, 23, 21, 24]]
49: [[14, 10], [9, 19, 13, 22, 1], [4, 3, 16, 2], [6, 7], [11, 12, 5, 17, 15, 8, 18], [20, 23, 21, 24]]
