0: [[4, 2, 9, 1, 7, 19, 8], [3, 5, 6, 10], [14, 15, 16, 13, 11, 12, 17, 22], [28, 23, 18, 24], [20, 25], [27, 21, 26, 29]]
1: [[4, 2], [9, 1, 7, 19], [3, 11, 5, 6], [8, 28, 14, 12, 15, 10, 13, 18], [22, 23, 25, 20, 24, 16, 17], [27, 21, 29, 26]]
2: [[4, 2, 9, 1], [7, 19, 3, 11], [5, 6, 10, 14, 15, 8, 13], [17, 12], [20, 22, 16, 23, 18, 24, 28, 25], [27, 21, 26, 29]]
3: [[4, 2, 9, 1], [7, 19, 8, 3], [5, 6], [11, 10, 15, 16, 29, 12, 24, 13], [22, 28, 14, 18, 25, 17, 20], [27, 23, 26, 21]]
4: [[4, 2, 9], [1, 7, 19, 10, 3, 5, 6, 13, 8], [15, 11, 14, 12, 16, 17, 22], [18, 25, 20], [23, 29, 28], [26, 21, 27, 24]]
5: [[4, 2, 9], [1, 7, 19, 10, 3, 5, 6, 13, 8], [15, 11, 14, 12, 16, 17, 22], [18, 25, 20], [23, 29, 28], [26, 21, 27, 24]]
6: [[4, 2, 9, 1, 7, 19, 8, 3], [5, 6], [11, 10, 18, 16], [13, 12, 26, 15], [22, 14, 25, 17, 23, 24, 20], [27, 28, 29, 21]]
7: [[4, 2, 9], [1, 7, 19], [10, 3, 5, 6, 13, 14, 11], [8, 12, 15, 17, 21, 22, 16, 18, 20], [23, 24, 28], [27, 25, 29, 26]]
8: [[4, 2, 9, 1], [7, 19], [11, 3, 5], [6, 10, 14, 13, 8, 12, 25, 29], [23, 22, 16, 15, 17, 28, 24, 18], [26, 21, 20, 27]]
9: [[4, 2, 9, 1, 7, 19, 10, 3], [5, 6], [11, 8, 14, 28], [13, 12, 15, 21], [22, 16, 17, 20, 23, 24, 18], [27, 29, 26, 25]]
10: [[4, 2, 9], [1, 7, 19], [10, 3, 5, 6, 13, 8, 18], [16, 15, 12, 11, 21, 22, 14, 17, 20], [23, 28, 24], [27, 29, 26, 25]]
11: [[4, 2, 9], [1, 7, 19], [10, 3, 5, 6, 13, 8, 18], [16, 15, 12, 11, 21, 22, 14, 17, 20], [23, 28, 24], [27, 29, 26, 25]]
12: [[4, 2], [9, 1, 7, 19], [10, 3, 5, 6], [11, 12, 14, 8, 13, 15, 16, 21], [22, 24, 18, 28, 23, 17, 20], [27, 25, 26, 29]]
13: [[4, 2, 9, 1], [7, 19, 8, 3], [5, 6], [11, 10, 15, 16, 13, 25, 28, 17], [22, 21, 14, 18, 12, 20, 24], [26, 23, 27, 29]]
14: [[4, 2], [9, 1, 7, 19], [10, 3, 5, 6], [11, 8, 15, 16, 29, 12, 17, 13], [21, 24, 14, 18, 22, 23, 20], [27, 25, 26, 28]]
15: [[4, 2, 9, 1], [7, 19, 3, 8], [5, 6], [13, 12, 14, 10, 26, 11, 24, 15], [21, 22, 20, 17, 27, 18, 16], [23, 29, 25, 28]]
16: [[4, 2, 9, 1, 7, 19, 10, 3, 5], [6, 12, 8, 18, 24, 14, 13], [11, 21, 22], [15, 17, 16], [23, 20, 25], [27, 29, 26, 28]]
17: [[4, 2, 9, 1, 7, 19, 10], [3, 5, 6, 11, 8, 15, 14, 13, 12], [16, 17, 18], [21, 20, 22], [28, 23, 25], [26, 29, 27, 24]]
18: [[4, 2, 9, 1, 7, 19, 8], [3, 5, 6, 10, 14, 12, 16, 15], [11, 13], [23, 17, 28, 22], [20, 18, 24, 21], [27, 29, 26, 25]]
19: [[4, 2, 9, 1], [7, 19, 10, 3], [5, 6], [11, 8, 15, 28, 29, 12, 24, 17], [22, 13, 14, 16, 21, 18, 20], [27, 23, 26, 25]]
20: [[4, 2], [9, 1, 7, 19], [10, 3, 5, 6], [11, 28, 15, 12, 24, 13, 8], [17, 23, 18, 14, 25, 26, 16, 22], [20, 29, 21, 27]]
21: [[4, 2, 9, 1, 7, 19, 11, 3], [5, 6], [10, 28, 15, 29], [8, 13, 12, 27], [23, 17, 26, 25, 21, 14, 20], [16, 18, 22, 24]]
22: [[4, 2, 9, 1], [7, 19, 11, 10, 5], [6, 3, 29, 14, 12, 8, 13, 24], [21, 15, 16, 23, 17, 27, 28], [22, 18], [20, 25, 26]]
23: [[4, 2, 9, 1], [7, 19, 10, 3], [5, 6], [8, 14, 15, 11, 29, 12, 13, 18], [22, 20, 17, 16, 25, 21, 28], [26, 23, 24, 27]]
24: [[4, 2, 9, 1, 7, 19, 3, 10], [5, 6], [12, 15, 8, 16], [25, 11, 28, 13], [18, 14, 17, 21, 22, 20, 29], [27, 23, 24, 26]]
25: [[4, 2, 9, 1, 7, 19, 14], [3, 5, 6, 11, 10, 15, 26, 13], [12, 29], [8, 18, 20, 22], [16, 23, 17, 25], [27, 21, 24, 28]]
26: [[4, 2], [9, 1, 7, 19], [3, 5, 6, 10], [11, 15, 8, 24, 13, 12, 14], [17, 16, 18, 20, 21, 26, 25, 22], [27, 28, 23, 29]]
27: [[4, 2, 9, 1, 7, 19, 10, 3], [5, 6, 11, 8], [15, 18, 14, 12, 13, 16, 17], [28, 26, 21, 23], [20, 22], [24, 25, 27, 29]]
28: [[4, 2, 9, 1], [7, 19, 10, 3, 5, 6, 8], [12, 14, 16, 15, 11, 13, 23, 17], [28, 22, 20, 18], [24, 21], [27, 29, 26, 25]]
29: [[4, 2, 9, 1], [7, 19, 3, 11, 5], [6, 15, 8, 10, 20, 12, 13, 24], [14, 23, 28, 16, 22, 25, 27], [17, 18], [21, 26, 29]]
30: [[4, 2, 9, 1], [7, 19, 11, 3, 5, 6, 8], [12, 15, 10, 14], [13, 16], [17, 22, 18, 28, 20, 23, 29, 25], [26, 21, 27, 24]]
31: [[4, 2, 9, 1, 7, 19, 10], [3, 5, 6], [11, 8, 27], [16, 29, 12, 13, 21, 22, 14, 15, 18], [17, 20, 23], [24, 25, 26, 28]]
32: [[4, 2, 9, 1, 7, 19, 3, 11], [5, 6], [15, 8, 10, 12], [28, 13, 24, 25], [23, 22, 14, 17, 27, 21, 16], [29, 18, 26, 20]]
33: [[4, 2, 9, 1, 7, 19, 8], [3, 5, 6, 11], [12, 22, 16, 13, 10, 14, 21, 17], [26, 15], [18, 23, 20, 24], [27, 25, 28, 29]]
34: [[4, 2, 9], [1, 7, 19], [10, 3, 5, 6, 11, 12, 15], [8, 13, 14, 28, 21, 17, 20, 18, 16], [22, 29, 23], [26, 25, 27, 24]]
35: [[4, 2, 9, 1, 7, 19, 10, 3], [5, 6, 8, 11, 14, 29, 12], [13, 28, 15, 18], [16, 17, 20, 21], [22, 23], [24, 25, 26, 27]]
36: [[4, 2], [9, 1, 7, 19], [10, 3, 5, 6], [11, 12, 15, 16, 24, 28, 8, 21], [23, 17, 13, 14, 29, 18, 20], [27, 22, 25, 26]]
37: [[4, 2, 9], [1, 7, 19], [10, 3, 5, 6, 15, 28, 8], [17, 11, 14, 12, 21, 22, 13, 18, 16], [23, 20, 24], [27, 25, 26, 29]]
38: [[4, 2, 9, 1, 7, 19, 11], [3, 5, 6, 8, 15, 14, 29, 10], [24, 12, 13, 20], [18, 16], [23, 17, 22, 21], [28, 25, 26, 27]]
39: [[4, 2], [9, 1, 7, 19], [3, 8, 5, 14], [15, 11, 10, 13, 18, 29, 12, 17], [16, 21, 22, 20, 23, 27, 6], [26, 25, 28, 24]]
40: [[4, 2, 9], [1, 7, 19], [10, 3, 5, 6, 11, 8, 15], [24, 29, 12, 13, 17, 22, 14, 18, 16], [21, 28, 20], [27, 23, 26, 25]]
41: [[4, 2, 9, 1, 7, 19, 3], [11, 5, 6, 8, 10, 15], [14, 29, 12, 24, 13, 22], [16, 17, 21, 28, 18], [20], [27, 23, 26, 25]]
42: [[4, 2, 9, 1, 7, 19, 10], [3, 5, 6, 11], [8, 15, 24, 29], [12, 13], [17, 21, 28, 14, 18, 23, 16, 20], [27, 22, 26, 25]]
43: [[4, 2, 9, 1, 7, 19, 11], [3, 5, 6, 8, 12, 15, 10, 13], [14, 24], [17, 22, 29, 16], [21, 23, 18, 20], [27, 25, 26, 28]]
44: [[4, 2, 9, 1], [7, 19], [3, 8, 5, 6, 10, 14, 12, 29], [11, 13, 28, 15], [18, 16, 17, 21, 25, 22, 20], [27, 24, 26, 23]]
45: [[4, 2, 9, 1], [7, 19, 10, 3], [5, 6, 11, 28, 15, 12, 16, 13], [8, 21], [22, 25, 14, 17, 18, 20, 23], [29, 24, 27, 26]]
46: [[4, 2], [9, 1, 7, 19], [11, 3, 5, 6, 8], [13, 14, 12, 10, 18, 16, 15, 21], [22, 17, 20, 27, 26, 23, 28], [25, 24, 29]]
47: [[4, 2, 9], [1, 7, 19], [8, 3, 5, 6, 11, 13, 23], [16, 14, 12, 10, 21, 22, 15, 24, 18], [28, 17, 20], [27, 29, 26, 25]]
48: [[4, 2, 9, 1, 7, 19, 8], [3, 5, 6, 10, 11, 15, 16, 13], [12, 14], [17, 22, 28, 29], [18, 20, 21, 24], [27, 23, 26, 25]]
49: [[4, 2], [9, 1, 7, 19], [10, 3, 5, 6, 11, 8, 15, 28], [29, 24, 12, 25], [22, 13, 14, 18, 21, 16, 17], [26, 23, 27, 20]]
50: [[4, 2, 9, 1], [7, 19, 8, 3, 5, 6, 11, 28], [14, 10], [24, 12, 13, 17], [22, 15, 16, 21, 18, 20, 23], [29, 25, 26, 27]]
51: [[4, 2, 9, 1, 7, 19, 3], [11, 5, 6, 10], [14, 15, 24, 29, 8, 12, 13, 23], [16, 17, 21, 22], [20, 26], [27, 28, 18, 25]]
52: [[4, 2, 9, 1, 7, 19, 3], [5, 8, 10], [15, 11], [13, 12, 18], [21, 14, 25, 16, 17, 29, 28, 6, 20, 22], [26, 23, 24, 27]]
53: [[4, 2, 9, 1, 7, 19], [10, 3, 5, 6, 8, 14, 11], [12, 15, 13, 17, 21, 22], [26, 18, 28, 23, 20], [16], [27, 29, 25, 24]]
54: [[4, 2, 9, 1, 7, 19, 10, 3], [5, 6, 11, 28], [15, 20, 24, 29], [8, 21], [22, 12, 13, 14, 16, 17, 18], [23, 25, 27, 26]]
55: [[4, 2, 9, 1, 7, 19, 3], [11, 5, 6, 13, 28, 10, 12, 26], [8, 15], [23, 20, 14, 17], [22, 25, 27, 21], [29, 18, 24, 16]]
56: [[4], [2, 9, 1, 7, 19, 10], [3, 5, 6, 11, 12, 14, 8], [13, 15, 16, 21, 22, 24], [18, 28, 17, 26, 20], [27, 25, 23, 29]]
57: [[4, 2], [9, 1, 7, 19, 11, 3, 5], [6, 8, 12, 10], [24, 13, 14, 15], [21, 20, 16, 17, 18, 25, 28, 22], [27, 29, 23, 26]]
58: [[4, 2, 9, 1], [7, 19, 11, 3], [5, 6, 10, 14, 13, 8, 12], [25, 26], [22, 15, 18, 17, 16, 28, 20, 21], [23, 29, 24, 27]]
59: [[4, 2, 9, 1, 7], [19, 11, 3, 5, 6, 13, 29, 10], [12, 14, 8, 16, 21, 23, 15], [17, 20, 25, 27], [22, 24], [18, 28, 26]]
