0: [[28, 6, 5, 10], [3, 4, 8], [7, 9, 19, 24, 2], [12, 11, 15, 13, 14, 1], [16, 17, 23, 22, 18], [20, 25], [21, 27, 26, 29]]
1: [[28, 6, 5, 10], [3, 4, 8], [7, 9, 19, 24, 2], [12, 11, 15, 13, 14, 1], [16, 17, 23, 22, 18], [20, 25], [21, 27, 26, 29]]
2: [[28, 6, 5, 10], [3, 4, 8], [7, 9, 19, 24, 2], [12, 11, 15, 13, 14, 1], [16, 17, 23, 22, 18], [20, 25], [21, 27, 26, 29]]
3: [[28, 6, 5, 10], [3, 4, 8], [7, 9, 19, 24, 12, 2, 1], [11, 15, 13, 14, 16], [17, 23, 22, 18], [20, 25], [21, 27, 26, 29]]
4: [[28, 6, 5, 10], [3, 4, 8], [7, 9, 19, 24, 12, 2, 1], [11, 15, 13, 14], [16, 17, 23, 22, 18], [20, 25], [21, 27, 26, 29]]
5: [[28, 6, 5, 10], [3, 4, 8], [7, 9, 19, 24, 12, 2, 1], [11, 15, 13, 14], [16, 17, 23, 22, 18], [20, 25], [21, 27, 26, 29]]
6: [[28, 6, 5, 10], [3, 4, 8], [7, 9, 19, 24, 12, 2, 1], [11, 15, 13, 14], [16, 17, 23, 22, 18], [20, 25], [21, 27, 26, 29]]
7: [[28, 6, 5, 10, 1], [3, 4, 8], [7, 9, 19, 24, 2], [12, 11, 15, 13, 14, 16, 17], [23, 22, 18], [20, 25], [21, 27, 26, 29]]
8: [[28, 6, 5, 10], [3, 4], [8, 7, 9, 19, 24, 2, 1], [12, 11, 15, 13, 14], [16, 17, 23, 22, 18], [20, 25], [21, 27, 26, 29]]
9: [[28, 6, 5, 10], [3, 4, 8, 7], [9, 19, 24, 2, 1], [12, 11, 15, 13, 14, 16, 17], [23, 22, 18], [20, 25], [21, 27, 26, 29]]
10: [[10, 28, 6, 5, 2, 1], [3, 4, 8], [7, 9, 19, 24], [12, 11, 15, 13, 14, 16, 17], [23, 22, 18], [20, 25], [21, 27, 26, 29]]
11: [[28, 6, 5, 10], [3, 4, 8, 7], [9, 19, 24, 2, 1], [12, 11, 15, 13, 14], [16, 17, 23, 22, 18], [20, 25], [21, 27, 26, 29]]
