0: [[22, 5, 4], [3, 6], [2, 9, 1, 19], [10, 7, 14, 11], [8, 13, 12, 15, 20, 16, 18, 17], [21, 23, 24]]
1: [[22, 5, 4], [3, 6], [2, 9, 1, 19], [10, 7, 14, 11], [8, 13, 12, 15, 20, 16, 18, 17], [21, 23, 24]]
2: [[22, 5, 4, 6], [2, 9, 1], [19, 10, 7, 14, 11], [8, 13, 12, 15, 20], [16, 18, 17, 3], [21, 23, 24]]
3: [[22, 5, 4, 6], [2, 9, 1], [19, 10, 7, 14, 11], [8, 13, 12, 15, 20], [16, 18, 17, 3], [21, 23, 24]]
4: [[22, 5, 4, 6], [2, 9, 1], [19, 10, 7, 14, 11], [8, 13, 12, 15, 20], [16, 18, 17, 3], [21, 23, 24]]
5: [[22, 5, 4, 6], [2, 9, 1], [19, 10, 7, 14, 11], [8, 13, 12, 15, 20], [16, 18, 17, 3], [21, 23, 24]]
6: [[22, 5, 4, 6], [2, 9, 1], [19, 10, 7, 14, 11], [8, 13, 12, 15, 20], [16, 18, 17, 3], [21, 23, 24]]
7: [[22, 5, 4, 6], [2, 9, 1], [19, 10, 7, 14, 11], [8, 13, 12, 15, 20], [16, 18, 17, 3], [21, 23, 24]]
8: [[22, 4], [6, 2, 9, 1], [19, 10, 7, 14, 11], [8, 13, 12, 15, 20, 5], [16, 18, 17, 3], [21, 23, 24]]
9: [[22, 4], [6, 2, 9, 1], [19, 10, 7, 14, 11], [8, 13, 12, 15, 20, 5], [16, 18, 17, 3], [21, 23, 24]]
10: [[22, 5, 4, 6], [2, 9, 1, 19], [10, 7, 14, 11], [8, 13, 12, 15], [20, 16, 18, 17, 3], [21, 23, 24]]
11: [[22, 5, 4], [3, 6], [2, 9, 1], [19, 10, 7, 14, 11], [8, 13, 12, 15, 20, 16, 18, 17], [21, 23, 24]]
12: [[22, 5, 4, 6], [2, 9, 1, 19, 10], [7, 14, 11], [8, 13, 12, 15, 20], [16, 18, 17, 3], [21, 23, 24]]
13: [[22, 5, 4, 6], [2, 9, 1, 19, 10], [7, 14, 11], [8, 13, 12, 15, 20], [16, 18, 17, 3], [21, 23, 24]]
14: [[22, 5, 4, 6], [2, 9, 1, 19, 10], [7, 14, 11], [8, 13, 12, 15], [20, 16, 18, 17, 3], [21, 23, 24]]
15: [[22, 5, 4], [2, 9, 1, 6], [19, 10, 3], [7, 14, 11], [8, 13, 12, 15, 20, 16, 18, 17], [21, 23, 24]]
16: [[22, 5, 4], [2, 9, 1, 6], [19, 10, 3], [7, 14, 11], [8, 13, 12, 15, 20, 16, 18, 17], [21, 23, 24]]
17: [[22, 5, 4, 6], [2, 9, 1, 19], [10, 7, 14], [11, 8, 13, 12, 15], [20, 16, 18, 17, 3], [21, 23, 24]]
18: [[22, 5, 4], [3, 6, 2, 9], [1, 19], [10, 7, 14, 11], [8, 13, 12, 15, 20, 16, 18, 17], [21, 23, 24]]
19: [[22], [6, 2, 9, 1, 19, 4], [10, 7, 14, 11], [8, 13, 12, 15, 20, 5], [16, 18, 17, 3], [21, 23, 24]]
20: [[22], [6, 2, 9, 1, 19, 4], [10, 7, 14, 11], [8, 13, 12, 15, 20, 5], [16, 18, 17, 3], [21, 23, 24]]
21: [[22], [6, 2, 9, 1, 19, 4], [10, 7, 14, 11], [8, 13, 12, 15, 20, 5], [16, 18, 17, 3], [21, 23, 24]]
22: [[22], [6, 2, 9, 1, 19, 4], [10, 7, 14, 11], [8, 13, 12, 15, 20, 5], [16, 18, 17, 3], [21, 23, 24]]
23: [[22, 5, 4], [3, 6, 2, 9, 1], [19, 10, 7, 14], [11, 8, 13, 12, 15], [20, 16, 18, 17], [21, 23, 24]]
24: [[22, 5, 4], [3, 6, 2, 9, 1], [19, 10, 7, 14], [11, 8, 13, 12, 15], [20, 16, 18, 17], [21, 23, 24]]
25: [[22, 5, 4, 3, 6], [2, 9, 1, 19], [10, 7, 14, 11, 8], [13, 12, 15, 20], [16, 18, 17], [21, 23, 24]]
26: [[22, 5, 4, 3, 6], [2, 9, 1, 19], [10, 7, 14, 11, 8], [13, 12, 15, 20], [16, 18, 17], [21, 23, 24]]
27: [[22, 5, 4, 3, 6], [2, 9, 1, 19], [10, 7, 14, 11, 8], [13, 12, 15, 20], [16, 18, 17], [21, 23, 24]]
28: [[22, 5, 4, 6], [2, 9, 1, 19, 10], [7, 14, 11], [8, 13, 12], [15, 20, 16, 18, 17, 3], [21, 23, 24]]
29: [[22, 5, 2, 4, 6], [9, 1, 19, 10], [7, 14, 11], [8, 13, 12, 15], [20, 16, 18, 17, 3], [21, 23, 24]]
