0: [[15, 3, 11, 16], [2, 5, 1, 6, 10], [4], [13, 20, 25, 8, 12, 22], [7, 9, 23, 14, 19, 18, 17, 24, 28, 29], [21, 26, 27]]
1: [[15, 3, 11, 16], [2, 5, 1, 6, 10], [4], [13, 20, 25, 8, 12, 22], [7, 9, 23, 19, 18, 24, 17, 29, 28, 14], [21, 26, 27]]
2: [[15, 3, 11, 16], [2, 5, 1, 6, 10], [4], [13, 20, 25, 8, 12, 22], [7, 9, 23, 17, 19, 18, 28, 24, 29, 14], [21, 26, 27]]
3: [[15, 3, 11, 16], [2, 5, 1, 6, 10], [4], [13, 20, 25, 8, 12, 22], [7, 9, 23, 19, 14, 18, 17, 24, 28, 29], [21, 26, 27]]
4: [[15, 3, 11, 16], [2, 5, 1, 6, 10], [4], [13, 20, 25, 8, 12, 22], [7, 9, 23, 14, 17, 19, 24, 18, 29, 28], [21, 26, 27]]
5: [[15, 3, 11, 16], [2, 5, 1, 6, 10], [4], [13, 20, 25, 8, 12, 22], [7, 9, 23, 14, 18, 19, 17, 24, 28, 29], [21, 26, 27]]
6: [[15, 3, 11, 16], [2, 5, 1, 6, 10], [4], [13, 20, 25, 8, 12, 22], [7, 9, 23, 14, 18, 17, 19, 24, 28, 29], [21, 26, 27]]
7: [[15, 3, 11, 16], [2, 5, 1, 6, 10], [4], [13, 20, 25, 8, 12, 22], [7, 9, 23, 17, 19, 18, 28, 24, 29, 14], [21, 26, 27]]
8: [[15, 3, 11, 16], [2, 5, 1, 6, 10], [4], [13, 20, 25, 8, 12, 22], [7, 9, 23, 14, 17, 18, 28, 19, 24, 29], [21, 26, 27]]
9: [[15, 3, 11, 16], [2, 5, 1, 6, 10], [4], [13, 20, 25, 8, 12, 22], [7, 9, 23, 14, 17, 19, 24, 18, 28, 29], [21, 26, 27]]
10: [[15, 3, 11, 16], [2, 5, 1, 6, 10], [4], [13, 20, 25, 8, 12, 22], [7, 9, 23, 14, 18, 17, 28, 19, 24, 29], [21, 26, 27]]
11: [[15, 3, 11, 16], [2, 5, 1, 6, 10], [4], [13, 20, 25, 8, 12, 22], [7, 9, 23, 14, 18, 24, 28, 17, 29, 19], [21, 26, 27]]
12: [[15, 3, 11, 16], [2, 5, 1, 6, 10], [4], [13, 20, 25, 8, 12, 22], [7, 9, 23, 17, 19, 18, 14, 28, 29, 24], [21, 26, 27]]
13: [[15, 3, 11, 16], [2, 5, 1, 6, 10], [4], [13, 20, 25, 8, 12, 22], [7, 9, 23, 19, 17, 18, 28, 24, 29, 14], [21, 26, 27]]
14: [[15, 3, 11, 16], [2, 5, 1, 6, 10], [4], [13, 20, 25, 8, 12, 22], [7, 9, 23, 18, 19, 24, 17, 28, 29, 14], [21, 26, 27]]
15: [[15, 3, 11, 16], [2, 5, 1, 6, 10], [4], [13, 20, 25, 8, 12, 22], [7, 9, 23, 17, 19, 24, 18, 29, 28, 14], [21, 26, 27]]
16: [[15, 3, 11, 16], [2, 5, 1, 6, 10], [4], [13, 20, 25, 8, 12, 22], [7, 9, 23, 14, 17, 19, 24, 18, 29, 28], [21, 26, 27]]
