0: [[8, 11, 2, 6], [1, 3, 4, 5, 10], [7, 9, 13, 12]]
1: [[8, 11, 2, 6], [1, 3, 4, 5, 10], [7, 9, 13, 12]]
2: [[8, 11, 2, 6], [1, 3, 4, 5, 10], [7, 9, 13, 12]]
3: [[8, 11, 2, 6], [1, 3, 4, 5, 10], [7, 9, 13, 12]]
4: [[8, 11, 2, 6], [1, 3, 4, 5, 10], [7, 9, 13, 12]]
5: [[8, 11, 2, 6], [1, 3, 4, 5, 10], [7, 9, 13, 12]]
6: [[8, 11, 2, 6], [1, 3, 4, 5, 10], [7, 9, 13, 12]]
7: [[8, 11, 2, 6], [1, 3, 4, 5, 10], [7, 9, 13, 12]]
8: [[8, 11, 2, 6], [1, 3, 4, 5, 10], [7, 9, 13, 12]]
9: [[8, 11, 2, 6], [1, 3, 4, 5, 10], [7, 9, 13, 12]]
10: [[8, 11, 2, 6], [1, 3, 4, 5, 10], [7, 9, 13, 12]]
11: [[8, 11, 2, 6], [1, 3, 4, 5, 10], [7, 9, 13, 12]]
12: [[8, 11, 2, 6], [1, 3, 4, 5, 10], [7, 9, 13, 12]]
13: [[8, 11, 2, 6], [1, 3, 4, 5, 10], [7, 9, 13, 12]]
14: [[8, 11, 2, 6], [1, 3, 4, 5, 10], [7, 9, 13, 12]]
15: [[8, 11, 2, 6], [1, 3, 4, 5, 10], [7, 9, 13, 12]]
16: [[8, 11, 2, 6], [1, 3, 4, 5, 10], [7, 9, 13, 12]]
17: [[8, 11, 2, 6], [1, 3, 4, 5, 10], [7, 9, 13, 12]]
18: [[8, 11, 2, 6], [1, 3, 4, 5, 10], [7, 9, 13, 12]]
19: [[8, 11, 2, 6], [1, 3, 4, 5, 10], [7, 9, 13, 12]]
20: [[8, 11, 2, 6], [1, 3, 4, 5, 10], [7, 9, 13, 12]]
21: [[8, 11, 2, 6], [1, 3, 4, 5, 10], [7, 9, 13, 12]]
22: [[8, 11, 2, 6], [1, 3, 4, 5, 10], [7, 9, 13, 12]]
23: [[8, 11, 2, 6], [1, 3, 4, 5, 10], [7, 9, 13, 12]]
24: [[8, 11, 2, 6], [1, 3, 4, 5, 10], [7, 9, 13, 12]]
25: [[8, 11, 2, 6], [1, 3, 4, 5, 10], [7, 9, 13, 12]]
