It No., Best MQ, No clusters, max clus, min clus
1,1.586474653657316,10,7,1
2,1.408536627199799,4,10,5
3,1.3997904023786893,4,8,7
4,1.918308555479608,7,8,2
5,1.242933805248866,3,10,9
6,1.2334605060134007,3,10,9
7,1.6207764564759202,6,7,3
8,1.4600185322630896,9,5,1
9,1.8938408906242152,9,4,2
10,1.4162318488856531,5,6,5
11,1.8596167030265072,9,7,1
12,1.4533274903504485,4,9,6
13,1.9505752644986254,9,6,1
14,1.4468864468864469,4,8,6
15,1.7322873322180596,7,6,3
16,1.6351846351846353,6,6,3
17,1.482101980120556,12,4,1
18,1.3817020942923737,4,8,7
19,1.2552553936935276,3,10,9
20,1.3789964445634548,4,8,7
21,1.480113287318566,5,7,5
22,1.7585587978697084,8,5,2
23,1.5988296456483446,6,7,4
24,1.5988073427248826,5,7,5
25,1.7284247753181834,7,6,3
26,1.5448929971401881,5,6,5
27,1.7129352383920158,6,6,3
28,1.7350753914221406,8,5,2
29,1.4524789862571028,4,10,4
30,1.7041058684793122,6,6,4
31,1.6473473869126043,6,6,4
