0: [[11, 16, 7], [2, 1, 9], [6, 3, 5], [8, 12, 13], [14, 4, 10], [15, 22, 18], [17, 20, 19], [21, 23, 24]]
1: [[11, 16, 7], [2, 1, 9], [6, 3, 5], [8, 12, 13], [14, 4, 10], [15, 22, 18], [17, 20, 19], [21, 23, 24]]
2: [[11, 16, 7], [2, 1, 9], [6, 3, 5], [8, 12, 13], [14, 4, 10], [15, 22, 18], [17, 20, 19], [21, 23, 24]]
3: [[11, 16, 7], [2, 1, 9], [6, 3, 5], [8, 12, 13], [14, 4, 10], [15, 22, 18], [17, 20, 19], [21, 23, 24]]
4: [[11, 16, 7], [2, 1, 9], [6, 3, 5], [8, 12, 13], [14, 4, 10], [15, 22, 18], [17, 20, 19], [21, 23, 24]]
5: [[11, 16, 7], [2, 1, 9], [6, 3, 5], [8, 12, 13], [14, 4, 10], [15, 22, 18], [17, 20, 19], [21, 23, 24]]
6: [[11, 16, 7], [2, 1, 9], [6, 3, 5], [8, 12, 13], [14, 4, 10], [15, 22, 18], [17, 20, 19], [21, 23, 24]]
7: [[11, 16, 7], [2, 1, 9], [6, 3, 5], [8, 12, 13], [14, 4, 10], [15, 22, 18], [17, 20, 19], [21, 23, 24]]
8: [[11, 16, 7], [2, 1, 9], [6, 3, 5], [8, 12, 13], [14, 4, 10], [15, 22, 18], [17, 20, 19], [21, 23, 24]]
9: [[11, 16, 7], [2, 1, 9], [6, 3, 5], [8, 12, 13], [14, 4, 10], [15, 22, 18], [17, 20, 19], [21, 23, 24]]
10: [[11, 16, 7], [2, 1, 9], [6, 3, 5], [8, 12, 13], [14, 4, 10], [15, 22, 18], [17, 20, 19], [21, 23, 24]]
11: [[11, 16, 7], [2, 1, 9], [6, 3, 5], [8, 12, 13], [14, 4, 10], [15, 22, 18], [17, 20, 19], [21, 23, 24]]
12: [[11, 16, 7], [2, 1, 9], [6, 3, 5], [8, 12, 13], [14, 4, 10], [15, 22, 18], [17, 20, 19], [21, 23, 24]]
13: [[11, 16, 7], [2, 1, 9], [6, 3, 5], [8, 12, 13], [14, 4, 10], [15, 22, 18], [17, 20, 19], [21, 23, 24]]
14: [[11, 16, 7], [2, 1, 9], [6, 3, 5], [8, 12, 13], [14, 4, 10], [15, 22, 18], [17, 20, 19], [21, 23, 24]]
15: [[11, 16, 7], [2, 1, 9], [6, 3, 5], [8, 12, 13], [14, 4, 10], [15, 22, 18], [17, 20, 19], [21, 23, 24]]
16: [[11, 16, 7], [2, 1, 9], [6, 3, 5], [8, 12, 13], [14, 4, 10], [15, 22, 18], [17, 20, 19], [21, 23, 24]]
17: [[11, 16, 7], [2, 1, 9], [6, 3, 5], [8, 12, 13], [14, 4, 10], [15, 22, 18], [17, 20, 19], [21, 23, 24]]
18: [[11, 16, 7], [2, 1, 9], [6, 3, 5], [8, 12, 13], [14, 4, 10], [15, 22, 18], [17, 20, 19], [21, 23, 24]]
19: [[11, 16, 7], [2, 1, 9], [6, 3, 5], [8, 12, 13], [14, 4, 10], [15, 22, 18], [17, 20, 19], [21, 23, 24]]
20: [[11, 16, 7], [2, 1, 9], [6, 3, 5], [8, 12, 13], [14, 4, 10], [15, 22, 18], [17, 20, 19], [21, 23, 24]]
21: [[11, 16, 7], [2, 1, 9], [6, 3, 5], [8, 12, 13], [14, 4, 10], [15, 22, 18], [17, 20, 19], [21, 23, 24]]
22: [[11, 16, 7], [2, 1, 9], [6, 3, 5], [8, 12, 13], [14, 4, 10], [15, 22, 18], [17, 20, 19], [21, 23, 24]]
