0: [[5, 3, 1], [11, 8, 6], [10, 4], [7, 9, 12, 13, 2]]
1: [[5, 3], [11, 8, 6], [1, 10, 4], [2, 7, 9, 12, 13]]
2: [[5, 3], [11, 8, 6], [1, 10, 2, 4], [7, 9, 12, 13]]
3: [[5, 3], [11, 8, 6], [1, 4], [10, 2, 7, 9, 12, 13]]
4: [[5, 3], [11, 8, 6], [1, 4], [10, 2, 7, 9, 12, 13]]
5: [[5, 3], [11, 8, 6], [1, 4], [10, 2, 7, 9, 12, 13]]
6: [[5, 3], [11, 8, 1, 4, 10, 6, 2], [7, 9, 12, 13]]
7: [[5, 3], [11, 8, 1, 4, 10, 6], [2, 7, 9, 12, 13]]
8: [[5, 3], [11, 8, 1, 4, 10, 6], [2, 7, 9, 12, 13]]
9: [[5, 3], [11, 8, 1, 4], [10, 6, 9, 2], [12, 13, 7]]
10: [[5, 3], [11, 8, 6], [1, 10, 4], [2, 7, 9], [12, 13]]
11: [[5, 3], [11, 8, 6], [1, 10, 2, 4], [7, 9], [12, 13]]
12: [[5, 3], [11, 8], [1, 4, 10, 6, 2, 7, 9, 12, 13]]
13: [[5, 3], [11, 8, 1, 4, 10], [6, 2], [7, 9, 12, 13]]
14: [[5, 3], [11, 8, 1, 4, 10], [6, 2], [7, 9, 12, 13]]
15: [[5, 3, 11, 2], [8, 1], [4, 10, 6, 9], [12, 13, 7]]
16: [[5, 11], [1, 4, 3], [10, 6, 2, 8], [7, 9, 12, 13]]
17: [[5, 3], [11, 8, 6], [1, 10, 4], [2, 7], [9, 12, 13]]
18: [[5, 3], [11, 8, 1, 4, 10, 6, 2, 7, 9], [12, 13]]
19: [[5, 3], [11, 8], [1, 4], [10, 6, 2], [7, 9], [12, 13]]
20: [[5], [8, 1], [4, 10, 6, 3], [2, 7, 9, 12, 13, 11]]
21: [[5], [8, 1], [4, 10], [6, 2, 3], [7, 9, 12, 13, 11]]
22: [[5, 3], [11, 8, 6], [1], [10, 2, 7], [9, 12, 13, 4]]
23: [[5, 3], [11, 8, 1], [4, 10], [6, 2], [7, 9], [12, 13]]
24: [[5, 3], [11, 8, 1, 10, 4, 6], [2, 7], [9, 12, 13]]
25: [[5], [1, 4, 3], [10, 6, 11, 8], [2, 7], [9, 12, 13]]
26: [[5, 3, 11, 8, 1, 4], [10, 6, 2, 7, 9], [12, 13]]
27: [[5, 3, 11, 8, 1, 4], [10, 6, 2, 7, 9], [12, 13]]
