It No., Best MQ, No clusters, max clus, min clus
1,1.4273224043715849,4,6,6
2,1.9585961921000283,6,4,4
3,1.3989181879648411,4,6,6
4,1.998451852645125,7,4,3
5,1.75344925291903,5,5,4
6,2.0845608292416804,7,4,3
7,1.842256028848321,6,4,4
8,2.0625577384903933,7,4,3
9,1.8736978716627188,6,4,4
10,1.927217894005647,6,4,4
11,1.8529602074149039,6,4,4
12,1.9635073260073261,8,3,3
13,1.4164074640074917,4,6,6
14,1.8696483570470304,5,5,4
15,1.8465985030740444,5,5,4
16,1.9303909303909303,7,4,3
17,1.9167557924185707,8,3,3
18,1.8012093726379437,5,5,4
19,1.869403445075584,7,4,3
20,1.8432900432900432,5,5,4
21,1.833998961811122,5,5,4
22,1.835538008306771,9,3,2
23,1.8214464882943142,6,4,4
24,1.574084249084249,5,5,4
25,1.9336233114748942,6,4,4
26,1.8166419601903474,6,4,4
27,1.9801315405645594,7,4,3
28,2.013977680026067,8,3,3
29,1.9761765029642557,6,4,4
30,1.844823012088583,5,5,4
31,2.1162619223594836,9,3,2
