0: [[5, 13, 10, 2], [1, 4, 3], [6, 9, 8, 11], [12, 7]]
1: [[5, 13, 10, 2], [1, 4, 3], [6, 9, 8, 11], [12, 7]]
2: [[5, 13, 10, 2], [1, 4, 3], [6, 9, 8, 11], [12, 7]]
3: [[5, 13, 10, 2], [1, 4, 3], [6, 9, 8, 11], [12, 7]]
4: [[5, 13, 10, 2], [1, 4, 3], [6, 9, 8, 11], [12, 7]]
5: [[5, 13, 10, 2], [1, 3, 4], [6, 9], [8, 11, 12, 7]]
6: [[5, 13, 10, 2], [1, 3, 4], [6, 9], [8, 11, 12, 7]]
7: [[5, 13, 10, 2], [1, 3, 4, 6], [9, 8, 11, 7, 12]]
8: [[5, 13, 10, 2], [1, 3, 4, 6], [9, 8, 11, 7, 12]]
9: [[5, 13, 10, 2], [1, 4, 3, 6], [9, 8, 11], [7, 12]]
10: [[5, 13, 10, 2], [1, 3, 6, 4], [12, 8, 7], [11, 9]]
11: [[5, 13, 10, 2], [1, 3, 4], [6, 9], [8, 11, 7], [12]]
12: [[5, 13, 10, 2], [1, 3, 4], [6, 12], [8, 11, 9, 7]]
13: [[5, 13, 10, 2], [1], [3, 6, 4], [9, 8, 11, 12, 7]]
14: [[5, 13, 10, 2], [1, 4], [3, 6, 9, 8, 11, 7, 12]]
15: [[5, 13], [10, 1, 3, 2, 4], [6, 9], [8, 11, 12, 7]]
16: [[5, 13, 10, 2], [1, 3], [6, 4], [12, 8, 11, 7], [9]]
17: [[5, 13], [10, 2], [1, 3, 4], [6, 9], [8, 11, 12, 7]]
18: [[5, 13], [10, 2, 1], [3, 4, 6, 9], [8, 11], [7, 12]]
19: [[5, 13], [10, 2, 1, 3], [4, 6, 9, 8], [11, 7, 12]]
20: [[5, 13], [10, 1, 2], [4, 6, 3], [9, 8, 11], [12, 7]]
21: [[5, 13], [10, 1, 4, 2, 3], [6, 12, 8], [11, 9, 7]]
22: [[5, 13, 3, 2], [10], [1], [4, 6, 9, 8, 11, 12, 7]]
23: [[5, 13], [10, 1, 2, 4], [3, 6], [12, 8, 11, 7], [9]]
24: [[5, 13, 10], [1, 2], [3, 6, 9, 4], [8, 11, 12, 7]]
25: [[5, 13, 10], [1, 2], [6, 3, 9, 4], [8, 11, 12, 7]]
26: [[5, 13, 10], [2, 1, 3], [4, 7, 9, 8, 11, 6, 12]]
27: [[5], [13, 10, 2, 1, 3, 4, 6, 9, 8, 11, 7], [12]]
