0: [[8, 7, 13], [1, 3, 4, 5, 10, 12, 2], [6, 11, 9]]
1: [[8, 7, 13], [1, 3, 2, 4, 5, 10, 12], [6, 11, 9]]
2: [[8, 7, 13], [1, 3, 2, 4, 5, 10, 12], [6, 11, 9]]
3: [[8, 7, 13], [1, 3, 2, 4, 5, 10, 12], [6, 11, 9]]
4: [[8, 7, 13], [1, 3, 2, 4, 5, 10, 12], [6, 11, 9]]
5: [[8, 7, 13], [1, 3, 2, 4, 5, 10, 12], [6, 11, 9]]
6: [[8, 7, 13], [1, 3, 2, 4, 5, 10, 12], [6, 11, 9]]
7: [[8, 7, 13], [1, 3, 2, 4, 5, 10, 12], [6, 11, 9]]
8: [[8, 7, 13], [1, 3, 2, 4, 5, 10], [12, 6, 11, 9]]
9: [[8, 7, 13], [1, 3, 2, 4, 5, 10], [12, 6, 11, 9]]
10: [[8, 7, 13], [1, 3, 2, 4, 5, 10], [12, 6, 11, 9]]
11: [[8, 7], [13, 1, 3, 2, 4, 5, 10, 12], [6, 11, 9]]
12: [[8, 7, 13], [1, 3, 2, 4, 5, 10, 12, 6], [11, 9]]
13: [[8, 7, 13], [1, 3, 2, 4, 5, 10, 12, 6], [11, 9]]
14: [[8, 7, 13], [1, 3, 2, 4, 5, 10, 12, 6], [11, 9]]
15: [[8, 7, 13], [1, 3, 2, 4, 5, 10, 12, 6], [11, 9]]
16: [[8, 7], [13, 1, 3, 2, 4, 5, 10], [12, 6, 11, 9]]
17: [[8, 7], [13, 1, 3, 2, 4, 5, 10], [12, 6, 11, 9]]
18: [[8, 7], [13, 1, 3, 2, 4, 5, 10], [12, 6, 11, 9]]
19: [[8, 7, 13, 1], [3, 2, 4, 5, 10, 12], [6, 11, 9]]
20: [[8, 7, 13, 1], [3, 2, 4, 5, 10, 12], [6, 11, 9]]
21: [[8, 7, 13], [1, 3, 2, 4, 5], [10, 12, 6, 11, 9]]
22: [[8, 7], [13, 1, 3, 2, 4, 5, 10, 12, 6], [11, 9]]
23: [[8, 7, 13, 1], [3, 2, 4, 5, 10], [12, 6, 11, 9]]
24: [[8, 7, 13, 1], [3, 2, 4, 5, 10], [12, 6, 11, 9]]
25: [[8, 7, 13, 1], [3, 2, 4, 5, 10], [12, 6, 11, 9]]
26: [[8, 7, 13, 1], [3, 2, 4, 5, 10, 12, 6], [11, 9]]
27: [[8, 7], [13, 1, 3, 2, 4, 5], [10, 12, 6, 11, 9]]
