0: [[29, 20, 22, 10, 16], [11, 7, 6, 23], [2, 32, 27, 12], [19, 13, 15, 14, 35], [36, 17, 4, 3, 37], [1, 8, 9, 18], [21, 26, 5, 25, 28], [33, 24, 30, 31, 34]]
1: [[29, 20, 22, 10, 16], [11, 7, 6, 23], [2, 32, 27, 12], [19, 13, 15, 14, 35], [36, 17, 4, 3, 37], [1, 8, 9, 18], [21, 26, 5, 25, 28], [33, 24, 30, 31, 34]]
2: [[29, 20, 22, 10, 16], [11, 7, 6, 23], [2, 32, 27, 12], [19, 13, 15, 14, 35], [36, 17, 4, 3, 37], [1, 8, 9, 18], [21, 26, 5, 25, 28], [33, 24, 30, 31, 34]]
3: [[29, 20, 22, 10, 16], [11, 7, 6, 23], [2, 32, 27, 12], [19, 13, 15, 14, 35], [36, 17, 4, 3, 37], [1, 8, 9, 18], [21, 26, 5, 25, 28], [33, 24, 30, 31, 34]]
4: [[29, 20, 22, 10, 16], [11, 7, 6, 23], [2, 32, 27, 12], [19, 13, 15, 14, 35], [36, 17, 4, 3, 37], [1, 8, 9, 18], [21, 26, 5, 25, 28], [33, 24, 30, 31, 34]]
5: [[29, 20, 22, 10, 16], [11, 7, 6, 23], [2, 32, 27, 12], [19, 13, 15, 14, 35], [36, 17, 4, 3, 37], [1, 8, 9, 18], [21, 26, 5, 25, 28], [33, 24, 30, 31, 34]]
6: [[29, 20, 22, 10, 16], [11, 7, 6, 23], [2, 32, 27, 12], [19, 13, 15, 14, 35], [36, 17, 4, 3, 37], [1, 8, 9, 18], [21, 26, 5, 25, 28], [33, 24, 30, 31, 34]]
7: [[29, 20, 22, 10, 16], [11, 7, 6, 23], [2, 32, 27, 12], [19, 13, 15, 14, 35], [36, 17, 4, 3, 37], [1, 8, 9, 18], [21, 26, 5, 25, 28], [33, 24, 30, 31, 34]]
8: [[29, 20, 22, 10, 16], [11, 7, 6, 23], [2, 32, 27, 12], [19, 13, 15, 14, 35], [36, 17, 4, 3, 37], [1, 8, 9, 18], [21, 26, 5, 25, 28], [33, 24, 30, 31, 34]]
9: [[29, 20, 22, 10, 16], [11, 7, 6, 23], [2, 32, 27, 12], [19, 13, 15, 14, 35], [36, 17, 4, 3, 37], [1, 8, 9, 18], [21, 26, 5, 25, 28], [33, 24, 30, 31, 34]]
10: [[29, 20, 22, 10, 16], [11, 7, 6, 23], [2, 32, 27, 12], [19, 13, 15, 14, 35], [36, 17, 4, 3, 37], [1, 8, 9, 18], [21, 26, 5, 25, 28], [33, 24, 30, 31, 34]]
11: [[29, 20, 22, 10, 16], [11, 7, 6, 23], [2, 32, 27, 12], [19, 13, 15, 14, 35], [36, 17, 4, 3, 37], [1, 8, 9, 18], [21, 26, 5, 25, 28], [33, 24, 30, 31, 34]]
12: [[29, 20, 22, 10, 16], [11, 7, 6, 23], [2, 32, 27, 12], [19, 13, 15, 14, 35], [36, 17, 4, 3, 37], [1, 8, 9, 18], [21, 26, 5, 25, 28], [33, 24, 30, 31, 34]]
13: [[29, 20, 22, 10, 16], [11, 7, 6, 23], [2, 32, 27, 12], [19, 13, 15, 14, 35], [36, 17, 4, 3, 37], [1, 8, 9, 18], [21, 26, 5, 25, 28], [33, 24, 30, 31, 34]]
14: [[29, 20, 22, 10, 16], [11, 7, 6, 23], [2, 32, 27, 12], [19, 13, 15, 14, 35], [36, 17, 4, 3, 37], [1, 8, 9, 18], [21, 26, 5, 25, 28], [33, 24, 30, 31, 34]]
15: [[29, 20, 22, 10, 16], [11, 7, 6, 23], [2, 32, 27, 12], [19, 13, 15, 14, 35], [36, 17, 4, 3, 37], [1, 8, 9, 18], [21, 26, 5, 25, 28], [33, 24, 30, 31, 34]]
16: [[29, 20, 22, 10, 16], [11, 7, 6, 23], [2, 32, 27, 12], [19, 13, 15, 14, 35], [36, 17, 4, 3, 37], [1, 8, 9, 18], [21, 26, 5, 25, 28], [33, 24, 30, 31, 34]]
17: [[29, 20, 22, 10, 16], [11, 7, 6, 23], [2, 32, 27, 12], [19, 13, 15, 14, 35], [36, 17, 4, 3, 37], [1, 8, 9, 18], [21, 26, 5, 25, 28], [33, 24, 30, 31, 34]]
18: [[29, 20, 22, 10, 16], [11, 7, 6, 23], [2, 32, 27, 12], [19, 13, 15, 14, 35], [36, 17, 4, 3, 37], [1, 8, 9, 18], [21, 26, 5, 25, 28], [33, 24, 30, 31, 34]]
19: [[29, 20, 22, 10, 16], [11, 7, 6, 23], [2, 32, 27, 12], [19, 13, 15, 14, 35], [36, 17, 4, 3, 37], [1, 8, 9, 18], [21, 26, 5, 25, 28], [33, 24, 30, 31, 34]]
20: [[29, 20, 22, 10, 16], [11, 7, 6, 23], [2, 32, 27, 12], [19, 13, 15, 14, 35], [36, 17, 4, 3, 37], [1, 8, 9, 18], [21, 26, 5, 25, 28], [33, 24, 30, 31, 34]]
21: [[29, 20, 22, 10, 16], [11, 7, 6, 23], [2, 32, 27, 12], [19, 13, 15, 14, 35], [36, 17, 4, 3, 37], [1, 8, 9, 18], [21, 26, 5, 25, 28], [33, 24, 30, 31, 34]]
22: [[29, 20, 22, 10, 16], [11, 7, 6, 23], [2, 32, 27, 12], [19, 13, 15, 14, 35], [36, 17, 4, 3, 37], [1, 8, 9, 18], [21, 26, 5, 25, 28], [33, 24, 30, 31, 34]]
23: [[29, 20, 22, 10, 16], [11, 7, 6, 23], [2, 32, 27, 12], [19, 13, 15, 14, 35], [36, 17, 4, 3, 37], [1, 8, 9, 18], [21, 26, 5, 25, 28], [33, 24, 30, 31, 34]]
24: [[29, 20, 22, 10, 16], [11, 7, 6, 23], [2, 32, 27, 12], [19, 13, 15, 14, 35], [36, 17, 4, 3, 37], [1, 8, 9, 18], [21, 26, 5, 25, 28], [33, 24, 30, 31, 34]]
25: [[29, 20, 22, 10, 16], [11, 7, 6, 23], [2, 32, 27, 12], [19, 13, 15, 14, 35], [36, 17, 4, 3, 37], [1, 8, 9, 18], [21, 26, 5, 25, 28], [33, 24, 30, 31, 34]]
26: [[29, 20, 22, 10, 16], [11, 7, 6, 23], [2, 32, 27, 12], [19, 13, 15, 14, 35], [36, 17, 4, 3, 37], [1, 8, 9, 18], [21, 26, 5, 25, 28], [33, 24, 30, 31, 34]]
