0: [[25, 6, 5], [1, 17, 2, 3, 8, 4, 15, 11], [13, 9, 24, 28, 23, 7, 10], [22, 16, 19, 18, 20, 12, 14], [21, 27, 26, 29]]
1: [[25, 6, 5], [1, 17, 2, 3, 8, 4, 15, 11], [13, 9, 24, 28, 23, 7, 10], [22, 16, 19, 18, 20, 12, 14], [21, 27, 26, 29]]
2: [[25, 6, 5], [1, 17, 2, 3, 8, 4, 15], [7, 9, 11, 13, 24, 10, 14, 20], [22, 16, 23, 18, 19, 28, 12], [21, 27, 26, 29]]
3: [[25, 6, 5], [1, 17, 2, 3, 8, 4, 15], [11, 9, 10, 28, 14, 13, 12, 18], [23, 16, 19, 7, 22, 20, 24], [21, 26, 27, 29]]
4: [[25, 6, 5], [1, 17, 2, 3, 8, 4, 15, 11], [9, 7, 28, 12, 10, 14, 22], [13, 20, 23, 19, 18, 24, 16], [21, 26, 27, 29]]
5: [[25, 6, 5, 1, 17, 2, 3], [8, 4, 15, 11, 9, 7, 13], [28, 23, 20, 19, 22, 10, 12, 14], [18, 24, 16], [21, 27, 26, 29]]
6: [[25, 6, 5, 1, 17, 2, 3, 8], [4, 15, 10, 9, 7, 11, 12], [13, 14, 16], [22, 20, 23, 18, 19, 24, 28], [21, 26, 27, 29]]
7: [[25, 6, 5], [1, 17, 2, 3, 8, 4, 15, 9], [13, 7, 24, 28, 10, 23, 26], [12, 18, 19, 11, 22, 14, 16], [21, 20, 27, 29]]
8: [[25, 6, 5], [1, 17, 2, 3, 8, 4, 15, 7], [13, 11, 9, 21, 18, 10, 14], [22, 16, 19, 24, 20, 23, 12], [28, 27, 26, 29]]
9: [[25, 6, 5], [1, 17, 2, 3, 8, 4, 15, 7], [13, 11, 12, 9, 21, 10, 24], [22, 20, 23, 14, 19, 16, 18], [26, 27, 28, 29]]
10: [[25, 6, 5], [1, 17, 2, 3, 8, 4, 15, 11], [13, 9, 14, 12, 7, 10, 24], [22, 20, 19, 16, 18, 26, 23], [21, 27, 28, 29]]
11: [[25, 6, 5], [1, 17, 2, 3, 8, 4, 15, 7], [10, 9, 11, 14, 12, 13, 24], [18, 20, 23, 16, 19, 22, 26], [29, 27, 21, 28]]
12: [[25, 6, 5, 1, 17, 2, 3, 8], [4, 15, 7, 13, 11, 9, 14], [24, 10], [18, 29, 23, 16, 19, 22, 20, 12], [28, 27, 26, 21]]
13: [[25, 6, 5, 1, 17, 2, 3, 8, 4], [15, 7], [13, 11, 14, 10, 9, 16, 12], [18, 19, 20, 23, 29, 24, 22], [21, 27, 26, 28]]
14: [[25, 6, 5], [1, 17, 2, 3, 8, 4, 15], [7, 10, 9, 11, 14, 12, 13, 16], [18, 21, 23, 20, 19, 22, 26], [29, 27, 28, 24]]
15: [[25, 6, 5, 1, 17, 2, 3], [8, 4, 15, 7, 13, 11, 9], [10, 12, 14, 16, 18, 23, 19, 20], [29, 24, 22], [21, 27, 26, 28]]
16: [[25, 6, 5], [1, 17, 2, 3, 8, 4, 15], [7, 13, 10, 14, 9, 12, 28], [11, 18, 16, 27, 19, 23, 22, 20], [21, 26, 24, 29]]
