0: [[11, 7], [2, 16, 1, 3], [13, 4, 5, 12, 9, 6], [10, 14], [8, 15, 18, 17, 20, 19], [21, 23, 22, 24]]
1: [[11, 7], [2, 16, 1, 3], [13, 4, 5, 12, 9, 6], [10, 14], [8, 15, 18, 17, 20, 19], [21, 23, 22, 24]]
2: [[11, 7], [2, 16, 1, 3], [13, 4, 5, 12, 9, 6], [10, 14], [8, 15, 18, 17, 20, 19], [21, 23, 22, 24]]
3: [[11, 7], [2, 16, 1, 3], [13, 4, 5, 12, 9, 6], [10, 14], [8, 15, 18, 17, 20, 19], [21, 23, 22, 24]]
4: [[11, 7], [2, 16, 1, 3], [13, 4, 5, 12, 9, 6], [10, 14], [8, 15, 18, 17, 20, 19], [21, 23, 22, 24]]
5: [[11, 7], [2, 16, 1, 3], [13, 4, 5, 12, 9, 6], [10, 14], [8, 15, 18, 17, 20, 19], [21, 23, 22, 24]]
6: [[11, 7], [2, 16, 1, 3], [13, 4, 5, 12, 9, 6], [10, 14], [8, 15, 18, 17, 20, 19], [21, 23, 22, 24]]
7: [[11, 7], [2, 16, 1, 3], [13, 4, 5, 12, 9, 6], [10, 14], [8, 15, 18, 17, 20, 19], [21, 23, 22, 24]]
8: [[11, 7], [2, 16, 1, 3], [13, 4, 5, 12, 9, 6], [10, 14], [8, 15, 18, 17, 20, 19], [21, 23, 22, 24]]
9: [[11, 7], [2, 16, 1, 3], [13, 4, 5, 12, 9, 6], [10, 14], [8, 15, 18, 17, 20, 19], [21, 23, 22, 24]]
10: [[11, 7], [2, 16, 1, 3], [13, 4, 5, 12, 9, 6], [10, 14], [8, 15, 18, 17, 20, 19], [21, 23, 22, 24]]
11: [[11, 7], [2, 16, 1, 3], [13, 4, 5, 12, 9, 6], [10, 14], [8, 15, 18, 17, 20, 19], [21, 23, 22, 24]]
12: [[11, 7], [2, 16, 1, 3], [13, 4, 5, 12, 9, 6], [10, 14], [8, 15, 18, 17, 20, 19], [21, 23, 22, 24]]
13: [[11, 7], [2, 16, 1, 3], [13, 4, 5, 12, 9, 6], [10, 14], [8, 15, 18, 17, 20, 19], [21, 23, 22, 24]]
14: [[11, 7], [2, 16, 1, 3], [13, 4, 5, 12, 9, 6], [10, 14], [8, 15, 18, 17, 20, 19], [21, 23, 22, 24]]
15: [[11, 7], [2, 16, 1, 3], [13, 4, 5, 12, 9, 6], [10, 14], [8, 15, 18, 17, 20, 19], [21, 23, 22, 24]]
16: [[11, 7], [2, 16, 1, 3], [13, 4, 5, 12, 9, 6], [10, 14], [8, 15, 18, 17, 20, 19], [21, 23, 22, 24]]
17: [[11, 7], [2, 16, 1, 3], [13, 4, 5, 12, 9, 6], [10, 14], [8, 15, 18, 17, 20, 19], [21, 23, 22, 24]]
18: [[11, 7], [2, 16, 1, 3], [13, 4, 5, 12, 9, 6], [10, 14], [8, 15, 18, 17, 20, 19], [21, 23, 22, 24]]
19: [[11, 7], [2, 16, 1, 3], [13, 4, 5, 12, 9, 6], [10, 14], [8, 15, 18, 17, 20, 19], [21, 23, 22, 24]]
20: [[11, 7], [2, 16, 1, 3], [13, 4, 5, 12, 9, 6], [10, 14], [8, 15, 18, 17, 20, 19], [21, 23, 22, 24]]
21: [[11, 7], [2, 16, 1, 3], [13, 4, 5, 12, 9, 6], [10, 14], [8, 15, 18, 17, 20, 19], [21, 23, 22, 24]]
22: [[11, 7], [2, 16, 1, 3], [13, 4, 5, 12, 9, 6], [10, 14], [8, 15, 18, 17, 20, 19], [21, 23, 22, 24]]
23: [[11, 7], [2, 16, 1, 3], [13, 4, 5, 12, 9, 6], [10, 14], [8, 15, 18, 17, 20, 19], [21, 23, 22, 24]]
24: [[11, 7], [2, 16, 1, 3], [13, 4, 5, 12, 9, 6], [10, 14], [8, 15, 18, 17, 20, 19], [21, 23, 22, 24]]
25: [[11, 7], [2, 16, 1, 3], [13, 4, 5, 12, 9, 6], [10, 14], [8, 15, 18, 17, 20, 19], [21, 23, 22, 24]]
26: [[11, 7], [2, 16, 1, 3], [13, 4, 5, 12, 9, 6], [10, 14], [8, 15, 18, 17, 20, 19], [21, 23, 22, 24]]
27: [[11, 7], [2, 16, 1, 3], [13, 4, 5, 12, 9, 6], [10, 14], [8, 15, 18, 17, 20, 19], [21, 23, 22, 24]]
28: [[11, 7], [2, 16, 1, 3, 13], [4, 5, 12, 9, 6], [10, 14], [8, 15, 18, 17, 20, 19], [21, 23, 22, 24]]
29: [[11, 7], [2, 16, 1, 3, 13], [4, 5, 12, 9, 6], [10, 14], [8, 15, 18, 17, 20, 19], [21, 23, 22, 24]]
30: [[11, 7], [2, 16, 1, 3, 13], [4, 5, 12, 9, 6], [10, 14], [8, 15, 18, 17, 20, 19], [21, 23, 22, 24]]
31: [[11, 7], [2, 16, 1, 3, 13], [4, 5, 12, 9, 6], [10, 14], [8, 15, 18, 17, 20, 19], [21, 23, 22, 24]]
32: [[11, 7], [2, 16, 1], [3, 13, 4, 5, 12, 9, 6], [10, 14], [8, 15, 18, 17, 20, 19], [21, 23, 22, 24]]
33: [[11, 7], [2, 16, 1], [3, 13, 4, 5, 12, 9, 6], [10, 14], [8, 15, 18, 17, 20, 19], [21, 23, 22, 24]]
34: [[11, 7], [2, 16, 1], [3, 13, 4, 5, 12, 9, 6], [10, 14], [8, 15, 18, 17, 20, 19], [21, 23, 22, 24]]
35: [[11, 7], [2, 16, 1], [3, 13, 4, 5, 12, 9, 6], [10, 14], [8, 15, 18, 17, 20, 19], [21, 23, 22, 24]]
36: [[11, 7], [2, 16, 1], [3, 13, 4, 5, 12, 9, 6], [10, 14], [8, 15, 18, 17, 20, 19], [21, 23, 22, 24]]
