0: [[14, 20, 17, 4], [3, 13, 8, 1, 2], [12, 11, 9], [16, 6, 15], [7, 5, 10], [18, 19]]
1: [[14, 20, 17, 4], [3, 13, 8, 1, 2], [12, 11, 9], [16, 6, 15], [7, 5, 10], [18, 19]]
2: [[14, 20, 17, 4], [3, 13, 8, 1, 2], [12, 11, 9], [16, 6, 15], [7, 5, 10], [18, 19]]
3: [[14, 20, 17, 4], [3, 13, 8, 1, 2], [12, 11, 9], [16, 6, 15], [7, 5, 10], [18, 19]]
4: [[14, 20, 17, 4], [3, 13, 8, 1, 2], [12, 11, 9], [16, 6, 15], [7, 5, 10], [18, 19]]
5: [[14, 20, 17, 4], [3, 13, 8, 1, 2], [12, 11, 9], [16, 6, 15], [7, 5, 10], [18, 19]]
6: [[14, 20, 17, 4], [3, 13, 8, 1], [2, 12, 11, 9], [16, 6, 15], [7, 5, 10], [18, 19]]
7: [[14, 20, 17, 4], [3, 13, 8, 1], [2, 12, 11, 9], [16, 6, 15], [7, 5, 10], [18, 19]]
8: [[14, 20, 17, 4], [3, 13, 8, 1], [2, 12, 11, 9], [16, 6, 15], [7, 5, 10], [18, 19]]
9: [[14, 20, 17, 4], [3, 13, 8, 1], [2, 12, 11, 9], [16, 6, 15], [7, 5, 10], [18, 19]]
10: [[14, 20, 17, 4], [3, 13, 8, 1], [2, 12, 11, 9], [16, 6, 15], [7, 5, 10], [18, 19]]
11: [[14, 20, 17, 4], [3, 13, 8, 1], [2, 12, 11, 9], [16, 6, 15], [7, 5, 10], [18, 19]]
12: [[14, 20, 17, 4], [3, 13, 8, 1], [2, 12, 11, 9], [16, 6, 15], [7, 5, 10], [18, 19]]
13: [[14, 20, 17, 4], [3, 13, 8, 1], [2, 12, 11, 9], [16, 6, 15], [7, 5, 10], [18, 19]]
14: [[14, 20, 17, 4], [3, 13, 8, 1], [2, 12, 11, 9], [16, 6, 15], [7, 5, 10], [18, 19]]
15: [[14, 20, 17, 15], [3, 13, 4], [8, 1, 2], [12, 11, 16, 9, 6], [7, 5, 10], [18, 19]]
16: [[14, 20, 17, 15], [3, 13, 4], [8, 1, 2], [12, 11, 16, 9, 6], [7, 5, 10], [18, 19]]
17: [[14, 20, 17, 15], [3, 13, 4], [8, 1, 2], [12, 11, 16, 9, 6], [7, 5, 10], [18, 19]]
18: [[14, 20, 17, 15], [3, 13, 4], [8, 1, 2], [12, 11, 16, 9, 6], [7, 5, 10], [18, 19]]
19: [[14, 20, 17, 3, 4], [13, 8, 1, 2], [12, 11, 9], [16, 6, 15], [7, 5, 10], [18, 19]]
20: [[14, 20, 17, 3, 4], [13, 8, 1, 2], [12, 11, 9], [16, 6, 15], [7, 5, 10], [18, 19]]
21: [[14, 20, 17, 4], [3, 13, 8], [1, 2, 12, 11, 9], [16, 6, 15], [7, 5, 10], [18, 19]]
22: [[14, 20, 17, 4], [3, 13, 8], [1, 2, 12, 11, 9], [16, 6, 15], [7, 5, 10], [18, 19]]
23: [[14, 20, 17, 4], [3, 13, 8], [1, 2, 12, 11, 9], [16, 6, 15], [7, 5, 10], [18, 19]]
24: [[14, 20, 17, 4], [3, 13, 9], [8, 1, 2, 12, 11], [16, 6, 15], [7, 5, 10], [18, 19]]
25: [[14, 20, 17, 4], [3, 13, 9], [8, 1, 2, 12, 11], [16, 6, 15], [7, 5, 10], [18, 19]]
26: [[14, 20, 17, 4], [3, 13, 9], [8, 1, 2, 12, 11], [16, 6, 15], [7, 5, 10], [18, 19]]
27: [[14, 20, 17, 4], [3, 13, 9], [8, 1, 2, 12, 11], [16, 6, 15], [7, 5, 10], [18, 19]]
28: [[14, 20, 17, 4], [3, 13, 9], [8, 1, 2, 12, 11], [16, 6, 15], [7, 5, 10], [18, 19]]
29: [[14, 20, 17, 4], [3, 13, 9], [8, 1, 2, 12, 11], [16, 6, 15], [7, 5, 10], [18, 19]]
30: [[14, 20, 17, 4], [3, 13, 9], [8, 1, 2, 12, 11], [16, 6, 15], [7, 5, 10], [18, 19]]
31: [[14, 20, 17, 4], [3, 13, 9], [8, 1, 2, 12, 11], [16, 6, 15], [7, 5, 10], [18, 19]]
32: [[14, 20, 17, 4], [3, 13, 9], [8, 1, 2, 12, 11], [16, 6, 15], [7, 5, 10], [18, 19]]
33: [[14, 20, 17, 4], [3, 13, 9], [8, 1, 2, 12, 11], [16, 6, 15], [7, 5, 10], [18, 19]]
34: [[14, 20, 17, 4], [3, 13, 9], [8, 1, 2, 12, 11], [16, 6, 15], [7, 5, 10], [18, 19]]
35: [[14, 20, 17, 4], [3, 13, 8], [1, 2, 12, 11], [16, 9, 6, 15], [7, 5, 10], [18, 19]]
36: [[14, 20, 17, 4], [3, 13, 8], [1, 2, 12, 11], [16, 9, 6, 15], [7, 5, 10], [18, 19]]
37: [[14, 20, 17, 4], [3, 13, 9], [8, 1, 2, 12], [11, 16, 6, 15], [7, 5, 10], [18, 19]]
38: [[14, 20, 17, 4], [3, 13, 9], [8, 1, 2, 12], [11, 16, 6, 15], [7, 5, 10], [18, 19]]
39: [[14, 20, 17, 3, 4], [13, 8, 1], [2, 12, 11, 9], [16, 6, 15], [7, 5, 10], [18, 19]]
40: [[14, 20, 17, 3, 4], [13, 8, 1], [2, 12, 11, 9], [16, 6, 15], [7, 5, 10], [18, 19]]
41: [[14, 20, 17, 4], [3, 13, 9], [8, 1, 2, 12, 11], [16, 6], [7, 5, 10, 15], [18, 19]]
