0: [[9, 13, 17], [28, 24], [20, 3], [7, 2, 10, 14], [5, 25, 6], [4, 8, 12], [11, 15, 18], [19, 1, 16], [23, 29, 22], [21, 27, 26]]
1: [[9, 13, 17], [28, 24], [20, 3], [7, 2, 10], [5, 25, 6], [14, 4, 8], [12, 1, 11], [15, 18, 19, 16], [23, 29, 22], [21, 27, 26]]
2: [[9, 13, 17], [28, 24], [20, 3, 7], [2, 10, 14], [5, 25, 6], [4, 8, 12], [1, 11, 15], [18, 19, 16], [23, 29, 22], [21, 27, 26]]
3: [[9, 13, 17], [28, 24], [20, 3, 7], [2, 11, 14], [5, 25, 6], [4, 8, 12], [1, 10, 15], [18, 19, 16], [22, 29, 23], [21, 27, 26]]
4: [[9, 13, 17], [28, 24, 20], [3, 10], [2, 7, 14], [5, 25, 6], [4, 8, 12], [11, 15, 18], [19, 1, 16], [23, 29, 22], [21, 27, 26]]
5: [[9, 13, 17], [28, 24, 20], [3, 10], [2, 7, 14], [5, 25, 6], [4, 8, 12], [1, 11, 15], [18, 19, 16], [23, 29, 22], [21, 27, 26]]
6: [[9, 13, 17], [28, 24, 20], [3, 2, 10], [7, 14], [5, 25, 6], [4, 8, 12], [11, 15, 18], [19, 1, 16], [23, 29, 22], [21, 27, 26]]
7: [[9, 13], [17, 28, 24], [20, 3, 10], [2, 7, 14], [5, 25, 6], [4, 8, 12], [1, 11, 15], [18, 19, 16], [23, 29, 22], [21, 27, 26]]
8: [[9, 13, 17], [28, 24, 20], [3, 7], [10, 2, 14], [5, 25, 6], [4, 8, 12], [1, 11, 15], [18, 19, 16], [23, 29, 22], [21, 27, 26]]
9: [[9, 13, 17], [28, 24, 20], [3, 7], [2, 11, 14], [5, 25, 6], [4, 8, 12], [1, 10, 15], [18, 19, 16], [22, 29, 23], [21, 27, 26]]
10: [[9, 13], [17, 28, 24], [20, 3, 10, 2], [7, 14], [5, 25, 6], [4, 8, 12], [1, 11, 15], [18, 19, 16], [23, 29, 22], [21, 27, 26]]
11: [[9, 13], [17, 28, 24], [20, 3, 10], [2, 7, 14], [5, 25, 6], [4, 8, 1, 11], [12, 15, 18], [19, 16], [23, 29, 22], [21, 27, 26]]
12: [[9, 13, 17], [28, 24, 20], [3, 7], [10, 2, 14], [5, 25, 6], [4, 8], [12, 11, 1], [15, 18, 19, 16], [23, 29, 22], [21, 27, 26]]
13: [[9, 13], [17, 28, 24], [20, 3, 7], [2, 10, 14], [5, 25, 6], [4, 8, 12], [1, 11, 15], [18, 19, 16], [23, 29, 22], [21, 27, 26]]
14: [[9, 13], [17, 28, 24], [20, 3, 7], [10, 2, 14], [5, 25, 6], [4, 8, 12], [11, 1, 15], [18, 19, 16], [23, 29, 22], [21, 27, 26]]
15: [[9, 13], [17, 28, 24], [20, 3, 7], [2, 10, 14], [5, 25, 6], [4, 8, 12], [1, 11, 15], [18, 19, 16], [23, 29, 22], [21, 27, 26]]
16: [[9, 13], [17, 28, 24], [20, 3, 7], [2, 10, 14], [5, 25, 6], [4, 8, 12], [1, 11, 15], [18, 19, 16], [23, 29, 22], [21, 27, 26]]
17: [[9, 13], [17, 28, 24], [20, 3, 7], [2, 10, 14], [5, 25, 6], [4, 8, 12], [1, 11, 15], [18, 19, 16], [23, 29, 22], [21, 27, 26]]
18: [[9, 13], [17, 28, 24], [20, 3, 7], [2, 10, 14], [5, 25, 6], [4, 8, 12], [1, 11, 15], [18, 19, 16], [23, 29, 22], [21, 27, 26]]
19: [[9, 13], [17, 28, 24], [20, 3, 7], [10, 2, 14], [5, 25], [6, 4, 8, 12], [11, 1, 15], [18, 19, 16], [23, 29, 22], [21, 27, 26]]
20: [[9, 13, 17], [28, 24], [20, 3], [7, 2, 10], [14, 5, 25], [6, 4, 8], [12, 1, 11], [15, 18, 19], [16, 23, 29, 22], [21, 27, 26]]
21: [[9, 13], [17, 28, 24], [20, 3], [7, 2, 10], [5, 25, 6, 14], [4, 8, 12], [11, 1, 15], [18, 19, 16], [23, 29, 22], [21, 27, 26]]
22: [[9, 13], [17, 28, 24], [20, 3, 7], [2, 10, 14], [5, 25, 6], [4, 8, 1], [11, 15, 12], [18, 19, 16], [23, 29, 22], [21, 27, 26]]
23: [[9, 13, 17], [28, 24, 20], [3, 6], [2, 7, 14], [5, 25, 10], [4, 8, 12], [1, 11, 15], [19, 18, 16], [23, 29, 22], [21, 27, 26]]
24: [[9, 13], [17, 28], [24, 20, 3], [7, 2, 10], [5, 25], [6, 14, 4], [8, 12, 11], [1, 15], [18, 19, 16], [23, 29, 22], [21, 27, 26]]
25: [[9, 13, 17], [28, 24, 20], [3, 10], [2, 7], [14, 5], [25, 6], [4, 8, 12], [1, 11, 15], [18, 19, 16], [23, 29, 22], [21, 27, 26]]
26: [[9, 13, 17], [28, 24, 20], [3, 7, 2], [10, 5], [25, 6, 14], [4, 8, 12], [11, 1, 15], [18, 19, 16], [23, 29, 22], [21, 27, 26]]
27: [[9, 13, 17], [28, 24], [20, 3, 7], [2, 10, 14], [5, 25, 6], [4, 8, 12], [1, 11, 15], [18, 19, 16], [23, 29, 22, 21, 27, 26]]
28: [[9, 13, 17], [28, 24, 20], [3, 2, 10], [7, 5, 14], [25, 6, 4, 12, 22], [8, 1], [11, 15], [18, 19, 16], [23, 29], [21, 27, 26]]
29: [[9, 13, 17], [28, 24, 20], [3, 10, 2], [7, 14, 5], [25, 6, 4], [8, 12, 1], [11, 15], [18, 19, 16], [23, 29, 22], [21, 27, 26]]
30: [[9, 13, 17], [28, 24, 20], [3, 10, 2], [7, 14, 5], [25, 6, 4], [8, 12], [1, 11, 15], [18, 19, 16], [23, 29, 22], [21, 27, 26]]
31: [[9, 13, 17], [28, 24, 20], [3, 10, 2], [7, 14, 5], [25, 6, 4], [8, 12], [1, 11, 15], [18, 19, 16], [23, 29, 22], [21, 27, 26]]
32: [[9, 13, 17], [28, 24, 20], [3, 7, 2], [5, 10, 14], [25, 6, 4, 12], [8, 1, 11], [15, 18, 19], [16, 23, 22], [29, 21, 27, 26]]
33: [[9, 13], [17, 28], [24, 20, 3], [10, 2, 7], [14, 5, 25], [6, 4, 8], [12, 1, 11], [15, 18, 19, 16], [23, 29, 22], [21, 27, 26]]
34: [[9, 13], [17, 28], [24, 20, 3], [10, 2], [7, 14, 5], [25, 6], [4, 8, 12], [1, 11, 15], [18, 19, 16], [22, 29, 23], [21, 27, 26]]
35: [[9, 13, 17], [28, 24, 20], [3, 10, 2], [7, 14], [5, 25, 6], [4, 8, 12], [1, 11, 15], [19, 18, 16], [23, 29, 22, 21, 27, 26]]
36: [[9, 13, 17], [28, 24, 20], [3, 7, 10], [2, 14], [5, 25, 6], [4, 8, 12], [1, 11, 15], [18, 19], [16, 23, 29, 22, 21, 27, 26]]
37: [[9, 13, 17], [28, 24, 20], [3, 10], [2, 7, 14], [5, 25, 6], [4, 8, 12], [1, 11, 15], [18, 19, 16, 23, 29, 22, 21, 27, 26]]
38: [[9, 13], [17, 28, 24], [20, 3, 7, 2], [11, 14, 5], [25, 6, 4], [8, 12], [1, 10, 15], [18, 19, 16], [22, 29, 23], [21, 27, 26]]
39: [[9, 13], [17, 28, 24], [20, 3, 10], [2, 7, 14], [5, 25, 6], [4, 8, 12], [1, 11, 15, 19, 18, 16, 23, 29, 22, 21, 27, 26]]
40: [[9, 13, 17], [28, 24], [20, 3, 10], [2, 6, 14], [5, 25, 7], [4, 8, 12], [1, 11, 15], [19, 18, 16, 23, 29, 22, 21, 27, 26]]
41: [[9, 13], [17, 28, 24], [20, 3, 7], [2, 10, 14], [5, 25, 6], [4, 8, 12], [1, 11, 15, 18, 19], [16, 23, 29, 22, 21, 27, 26]]
42: [[9, 13, 17], [28, 24, 20], [3, 6], [2, 7, 14], [5, 25, 10], [4, 8, 12], [1, 11, 15], [18, 19, 16], [23, 29, 22, 21, 27, 26]]
43: [[9, 13], [17, 28, 24], [20, 3, 7], [2, 10, 14], [5, 25, 6], [4, 8, 12], [1, 11, 15], [18, 19, 16, 23, 29, 22, 21, 27, 26]]
44: [[9, 13], [17, 28, 24], [20, 3, 7], [2, 10, 14], [5, 25, 6], [4, 8, 12], [1, 11, 15, 18, 19, 16, 23, 29, 22, 21, 27, 26]]
45: [[9, 13, 17], [28, 24], [20, 3], [7, 10, 2], [14, 5, 25], [6, 4], [8, 1, 11], [12, 15, 18, 19], [16, 23, 29], [22, 21, 27, 26]]
46: [[9, 13, 17], [28, 24], [20, 3, 10], [2, 6, 14], [5, 25, 7, 4, 8, 12, 1, 11, 15, 18, 19, 16, 23, 29, 22, 21, 27, 26]]
47: [[9, 13, 17], [28, 24], [20, 3, 6], [2, 7, 14], [5, 25, 10, 4, 8, 12, 1, 11, 15, 18, 19, 16, 23, 29, 22, 21, 27, 26]]
48: [[9, 13, 17], [28, 24, 20], [3, 6, 2, 7, 14, 5, 25, 10, 4, 8, 12, 1], [11, 15, 18, 19, 16, 23, 29, 22, 21, 27, 26]]
49: [[9, 13, 17], [28, 24, 20, 3], [7, 10, 2], [14, 5, 25], [6, 4, 8], [12, 1, 11], [15, 18, 19], [16, 23, 29, 22, 21, 27, 26]]
50: [[9, 13], [17, 28, 24], [20, 3, 7], [10, 2, 14], [5, 25, 6, 4], [8, 12, 1], [11, 15, 18], [19, 16, 23], [29, 22, 21], [27, 26]]
51: [[9, 13, 17], [28, 24, 20], [3, 10, 2, 7, 14, 5, 25, 6, 4, 8, 12, 1, 11, 15, 18, 19, 16, 23, 29, 22, 21, 27, 26]]
52: [[9, 13, 17], [28, 24, 20], [3, 10, 2], [7, 14, 5], [25, 6, 4], [8, 12, 1], [11, 15, 18], [19, 16, 23], [29, 22, 21], [27, 26]]
53: [[9, 13, 17], [28, 24, 20], [3, 7, 2], [5, 10], [25, 6, 4, 12], [8, 11, 15, 18, 19, 1, 16, 23, 29, 21, 27, 26, 22, 14]]
54: [[9, 13, 17], [28, 24, 20], [3, 7, 10], [2, 14, 5], [25, 6, 4, 8, 12, 11, 1, 15, 18, 19, 16, 23, 29, 22, 21, 27, 26]]
55: [[9, 13, 17], [28, 24, 20], [3, 10, 2], [7, 14, 5], [25, 6, 4], [8, 12, 11], [15, 18, 19, 1, 16, 23, 29, 22, 21, 27, 26]]
56: [[9, 13, 17], [28, 24, 20], [3, 7, 2], [10, 14, 5], [25, 6, 4], [8, 12, 1], [11, 15, 18], [19, 16, 23, 29, 22, 21, 27, 26]]
57: [[9, 13, 17], [28, 24, 20], [3, 10, 2], [7, 14, 5], [25, 6, 4], [8, 12, 11, 1, 15, 18, 19, 16, 23, 29, 22, 21, 27, 26]]
58: [[9, 13, 17], [28, 24, 20], [3, 7, 10], [2, 14, 5], [25, 6, 4], [8, 12, 1], [11, 15, 18, 19, 16, 29, 23, 22, 21, 27, 26]]
59: [[9, 13], [17, 28], [24, 20, 3], [7, 10, 2], [14, 5, 25], [6, 4, 8], [12, 1, 11], [15, 18, 19, 16, 23, 29, 22, 21, 27, 26]]
