0: [[38, 5, 42], [41, 68, 2, 15, 14], [67, 3, 4], [1, 6, 8, 7], [9, 26, 10], [12, 22, 13], [27, 25, 16], [17, 21, 11], [18, 23, 24], [19, 50, 20], [29, 28, 36], [31, 30, 33], [35, 40, 53], [39, 34, 44, 32], [45, 47, 56], [37, 46, 54], [49, 63], [43, 60, 51], [48, 52, 61], [59, 57, 55], [62, 58], [64, 70], [65, 75, 66], [71, 69, 73, 74, 72, 79, 78, 77, 76, 84, 81, 87, 82, 80, 83, 86, 85, 88]]
1: [[38, 5, 42], [41, 68, 2, 15, 14], [67, 3, 4], [1, 6, 8, 7], [9, 26, 10], [12, 22, 13], [27, 25, 16], [17, 21, 11], [18, 23, 24], [19, 50, 20], [29, 28, 36], [31, 30, 33], [35, 40, 53], [39, 34, 44, 32], [45, 47, 56], [37, 46, 54], [49, 63], [43, 60, 51], [48, 52, 61], [59, 57, 55], [62, 58], [64, 70], [65, 75, 66], [71, 69, 73, 74, 72, 79, 78, 77, 76, 84, 81, 87, 82, 80, 83, 86, 85, 88]]
2: [[38, 5, 42], [41, 68, 2, 15, 14], [67, 3, 4], [1, 6, 8, 7], [9, 26, 10], [12, 22, 13], [27, 25, 16], [17, 21, 11], [18, 23, 24], [19, 50, 20], [29, 28, 36], [31, 30, 33], [35, 40, 53], [39, 34, 44, 32], [45, 47, 56], [37, 46, 54], [49, 63], [43, 60, 51], [48, 52, 61], [59, 57, 55], [62, 58], [64, 70], [65, 75, 66], [71, 69, 73, 74, 72, 79, 78, 77, 76, 84, 81, 87, 82, 80, 83, 86, 85, 88]]
3: [[38, 5, 42], [41, 68, 2, 15, 14], [67, 3, 4], [1, 6, 8, 7], [9, 26, 10], [12, 22, 13], [27, 25, 16], [17, 21, 11], [18, 23, 24], [19, 50, 20], [29, 28, 36], [31, 30, 33], [35, 40, 53], [39, 34, 44, 32], [45, 47, 56], [37, 46, 54], [49, 63], [43, 60, 51], [48, 52, 61], [59, 57, 55], [62, 58], [64, 70], [65, 75, 66], [71, 69, 73, 74, 72, 79, 78, 77, 76, 84, 81, 87, 82, 80, 83, 86, 85, 88]]
4: [[38, 5, 42], [41, 68, 2, 15, 14], [67, 3, 4], [1, 6, 8], [7, 9, 26, 10], [12, 22, 13], [27, 25, 16], [17, 21, 11], [18, 23, 24], [19, 50, 20], [29, 28, 36], [31, 30, 33], [35, 40, 53], [39, 34, 44], [32, 45, 37], [56, 47, 46], [54, 49, 63], [43, 60, 51], [48, 52, 61], [59, 57, 55], [62, 58, 64], [70, 65], [75, 66], [71, 69, 73, 74, 72, 79, 78, 77, 76, 84, 81, 87, 82, 80, 83, 86, 85, 88]]
5: [[38, 5, 42], [41, 68, 2, 15, 14], [67, 3, 4], [1, 6, 8, 7], [9, 26, 10], [12, 22, 13], [27, 25, 16], [17, 21, 11], [18, 23, 24], [19, 50, 20], [29, 28, 36], [31, 30, 33], [35, 40, 53], [39, 34, 44], [32, 45, 37], [56, 47, 46], [54, 49, 63], [43, 60, 51], [48, 52, 61], [59, 57, 55], [62, 58], [64, 70], [65, 75, 66], [71, 69, 73, 74], [72, 79, 78, 77, 76, 84, 81, 87, 82, 80, 83, 86, 85, 88]]
6: [[38, 5, 42], [41, 68, 2, 15, 14], [67, 3, 4], [1, 6, 8, 7], [9, 26, 10], [12, 22, 13], [27, 25, 16], [17, 21, 11], [18, 23, 24], [19, 50, 20], [29, 28, 36], [31, 30, 33], [35, 40, 53], [39, 34, 44], [32, 45, 37], [56, 47, 46], [54, 49, 63], [43, 60, 51], [48, 52, 61], [59, 57, 55], [62, 58, 64], [70, 65, 75], [66, 71, 69], [73, 74, 72, 79], [78, 77, 76], [84, 81, 87, 82, 80, 83, 86, 85, 88]]
7: [[38, 5, 42], [41, 68, 2, 15, 14], [67, 3, 4], [1, 6, 8, 7], [9, 26, 10], [12, 22, 13], [27, 25, 16], [17, 21, 11], [18, 23, 24], [19, 50, 20], [29, 28, 36], [31, 30], [33], [35, 40, 53], [39, 34, 44], [32, 45, 37], [56, 47, 46], [54, 49, 63], [43, 60, 51], [48, 52, 61], [59, 57, 55], [62, 58, 64], [70, 65, 75], [66, 71, 69], [73, 74, 72], [79, 78], [77, 76, 84], [81, 87, 82, 80, 83, 86, 85, 88]]
8: [[38, 5, 42], [41, 68, 2, 15, 14], [67, 3, 4], [1, 6, 8, 7], [9, 26, 10], [12, 22, 13], [27, 25, 16], [17, 21, 11], [18, 23, 24], [19, 50, 20], [29, 28, 36], [31, 30, 33], [35, 40, 53], [39, 34, 44], [32, 45, 47], [56, 37, 46], [54, 49, 63], [43, 60, 51], [48, 52, 61], [59, 57, 55], [62, 58, 64], [70, 65, 75], [66, 71], [69, 73], [74, 72, 79], [78, 77, 76], [84, 81, 87], [82, 80, 83, 86, 85, 88]]
9: [[38, 5, 42], [41, 68, 2], [15, 14, 67], [3, 4, 1], [6, 8, 7], [9, 26, 10], [12, 22, 13], [27, 25, 16], [17, 21, 11], [18, 23, 24], [19, 50, 20], [29, 28, 36], [31, 30, 33], [35, 40, 53], [39, 34, 44], [32, 45, 37], [56, 47, 46], [54, 49, 63], [43, 60, 51], [48, 52, 61], [59, 57, 55], [62, 58, 64], [70, 65, 75, 66], [71, 69, 73, 74, 72, 79, 78, 77, 76, 84, 81, 87, 82, 80, 83, 86, 85, 88]]
10: [[38, 5, 42], [41, 68, 2], [15, 14, 67], [3, 4, 1], [6, 8, 7], [9, 26, 10], [12, 22, 13], [27, 25, 16], [17, 21, 11], [18, 23, 24], [19, 50, 20], [29, 28, 36], [31, 30, 33], [35, 40, 53], [39, 34, 44], [32, 45, 37], [56, 47, 46], [54, 49, 63], [43, 60, 51], [48, 52, 61], [59, 57, 55], [62, 58, 64], [70, 65, 75, 66], [71, 69, 73, 74, 72, 79, 78, 77, 76, 84, 81, 87, 82, 80, 83, 86, 85, 88]]
