0: [[18, 16], [2, 11, 1, 13, 19, 12, 7], [5, 4], [3, 10], [6, 15, 9, 8], [20, 14, 17, 22], [23, 21, 24]]
1: [[18, 16], [2, 11, 1, 13, 19, 12, 7], [5, 4], [3, 10], [6, 15, 9, 8], [20, 14, 17, 22], [23, 21, 24]]
2: [[18, 16], [2, 11, 1, 13, 19, 12, 7], [5, 4], [3, 10], [6, 15, 9, 8], [20, 14, 17, 22], [23, 21, 24]]
3: [[18, 16], [2, 11, 1, 13, 19, 12, 7], [5, 4], [3, 10], [6, 15, 9, 8], [20, 14, 17, 22], [23, 21, 24]]
4: [[18, 16], [2, 11, 1, 13, 19, 12, 7], [5, 4], [3, 10], [6, 15, 9, 8], [20, 14, 17, 22], [23, 21, 24]]
5: [[18, 16], [2, 11, 1, 13, 19, 12, 7], [5, 4], [3, 10], [6, 15, 9, 8], [20, 14, 17, 22], [23, 21, 24]]
6: [[18, 16], [2, 11, 1, 13, 19, 12, 7], [5, 4], [3, 10], [6, 15, 9, 8], [20, 14, 17, 22], [23, 21, 24]]
7: [[18, 16], [2, 11, 1, 13, 19, 12, 7], [5, 4], [3, 10], [6, 15, 9, 8], [20, 14, 17, 22], [23, 21, 24]]
8: [[18, 16], [2, 11, 1, 13, 19, 12, 7], [5, 4], [3, 10], [6, 15, 9, 8], [20, 14, 17, 22], [23, 21, 24]]
9: [[18, 16], [2, 11, 1, 13, 19, 12, 7], [5, 4], [3, 10], [6, 15, 9, 8], [20, 14, 17, 22], [23, 21, 24]]
10: [[18, 16], [2, 11, 1, 13, 19, 12, 7], [5, 4], [3, 10], [6, 15, 9, 8], [20, 14, 17, 22], [23, 21, 24]]
11: [[18, 16], [2, 11, 1, 13, 19, 12, 7], [5, 4], [3, 10], [6, 15, 9, 8], [20, 14, 17, 22], [23, 21, 24]]
12: [[18, 16], [2, 11, 1, 13, 19, 12, 7], [5, 4], [3, 10], [6, 15, 9, 8], [20, 14, 17, 22], [23, 21, 24]]
13: [[18, 16], [2, 11, 1, 13, 19, 12, 7], [5, 4], [3, 10], [6, 15, 9, 8], [20, 14, 17, 22], [23, 21, 24]]
14: [[18, 16], [2, 11, 1, 13, 19, 12, 7], [5, 4], [3, 10], [6, 15, 9, 8], [20, 14, 17, 22], [23, 21, 24]]
15: [[18, 16], [2, 11, 1, 13, 19, 12, 7], [5, 4], [3, 10], [6, 15, 9, 8], [20, 14, 17, 22], [23, 21, 24]]
16: [[18, 16], [2, 11, 1, 13, 19, 12, 7], [5, 4], [3, 10], [6, 15, 9, 8], [20, 14, 17, 22], [23, 21, 24]]
17: [[18, 16], [2, 11, 1, 13, 19, 12, 7], [5, 4], [3, 10], [6, 15, 9, 8], [20, 14, 17, 22], [23, 21, 24]]
18: [[18, 16], [2, 11, 1, 13, 19, 12, 7], [5, 4], [3, 10], [6, 15, 9, 8], [20, 14, 17, 22], [23, 21, 24]]
19: [[18, 16], [2, 11, 1, 13, 19, 12, 7], [5, 4], [3, 10], [6, 15, 9, 8], [20, 14, 17, 22], [23, 21, 24]]
20: [[18, 16], [2, 11, 1, 13, 19, 12, 7], [5, 4], [3, 10], [6, 15, 9, 8], [20, 14, 17, 22], [23, 21, 24]]
21: [[18, 16], [2, 11, 1, 13, 19, 12, 7], [5, 4], [3, 10], [6, 15, 9, 8], [20, 14, 17, 22], [23, 21, 24]]
22: [[18, 16], [2, 11, 1, 13, 19, 12, 7], [5, 4], [3, 10], [6, 15, 9, 8, 20], [14, 17, 22], [23, 21, 24]]
23: [[18, 16], [2, 11, 1, 13, 19, 12, 7], [5, 4], [3, 10], [6, 15, 9, 8, 20], [14, 17, 22], [23, 21, 24]]
