0: [[1, 2], [3, 4, 8], [17, 11], [6, 5], [24, 7, 9], [13, 15, 10], [18, 12, 22], [19, 16, 14], [23, 29, 28], [20, 25], [21, 27, 26]]
1: [[1, 2], [3, 4, 8], [17, 11], [6, 5], [24, 7, 9], [13, 15, 10], [18, 12, 22], [19, 16, 14], [23, 29, 28], [20, 25], [21, 27, 26]]
2: [[1, 2], [3, 4, 8], [17, 11], [6, 5], [14, 10, 9], [12, 7], [13, 22, 15, 16, 19], [18, 28, 23, 29, 24, 20, 25], [21, 26, 27]]
3: [[1, 2], [3, 4], [8, 17], [11, 6, 5], [24, 7, 9], [13, 15, 10], [12, 28, 18], [19, 14, 21], [23, 16, 22], [20, 29, 25], [26, 27]]
4: [[1, 2], [3, 4, 8], [17, 11], [6, 5], [24, 7, 9, 10, 15, 12, 18, 14, 22, 19, 16, 13, 20, 23, 28, 21], [25, 27, 26, 29]]
5: [[1, 2], [3, 4, 8], [17, 11], [6, 5], [28, 15, 7], [13, 9, 10, 22, 12], [16, 14, 18, 19], [20, 23, 21, 24, 25, 26, 27, 29]]
6: [[1, 2], [3, 4, 8, 17, 11, 6, 5, 28, 14, 7, 12, 9, 15, 22, 10, 16, 29, 18, 13, 19, 20, 21, 23, 25, 24], [26, 27]]
7: [[1, 2], [3, 4, 8], [17, 11], [6, 5], [24, 7], [9, 13, 15], [10, 16, 28], [22, 27, 12], [14, 23], [20, 18, 19], [29, 25, 26, 21]]
8: [[1, 2], [3, 4, 8], [17, 11, 6, 5], [9, 7, 10, 14], [13, 12, 22], [15, 16], [23, 19, 18], [21, 20, 25], [27, 26, 28, 29, 24]]
9: [[1, 2], [3, 4, 8], [17, 11], [6, 5], [12, 7], [9, 10, 13], [14, 28, 15, 18, 19, 22, 20, 23, 29, 16, 21, 24, 25, 26, 27]]
10: [[1, 2, 3], [4, 17, 12], [11, 6], [5, 14], [7, 9, 13], [15, 16], [23, 18, 20, 10, 22], [19, 25, 8], [21, 26], [24, 27, 28, 29]]
11: [[1, 2], [3, 4, 8], [17, 11], [6, 5], [15, 14, 7, 9], [10, 12, 13, 16], [20, 21, 18, 19, 22, 23, 24, 29, 27, 25, 26, 28]]
12: [[1, 2], [3, 4, 8], [17, 11], [6, 5], [15, 7, 9], [29, 10, 13], [14, 12, 26], [19, 18], [22, 23, 20], [16, 21], [25, 24, 27, 28]]
13: [[1, 2], [3, 4, 8], [17, 11], [6, 5], [13, 7, 15], [9, 14, 12, 10], [20, 18, 21], [16, 22, 19, 23, 26, 25, 27], [29, 24, 28]]
14: [[1, 2], [3, 4, 8, 17, 11], [6, 5, 26, 14, 9, 12, 7, 10, 18, 13, 20, 19, 16, 15, 23, 29, 22, 21, 25], [24, 28, 27]]
15: [[1, 2], [3, 4, 8, 17, 11], [6, 5, 14, 10, 9, 12, 7, 13, 22, 15, 20, 21, 18, 16, 23, 29, 19, 28, 25], [26, 24, 27]]
16: [[1, 2], [3, 4, 8, 17, 11], [6, 5, 14, 10, 9, 12, 7, 13, 22, 15, 20, 21, 18, 16, 23, 29, 19, 28, 25], [26, 24, 27]]
17: [[1, 2], [3, 4, 8], [17, 11], [6, 5], [24, 7, 9], [13, 15, 10], [22, 14, 20], [21, 16, 12], [23, 29, 18], [28, 25], [19, 26, 27]]
18: [[1, 2], [3, 4, 8], [17, 11, 6, 5, 13, 7, 9], [14, 12, 18, 10, 15, 20, 23, 27, 22, 19, 21, 28, 24, 29, 16, 26, 25]]
19: [[1, 2], [3, 4, 8], [17, 11], [6, 5], [14, 7, 9, 10, 12, 13, 26, 15, 22], [20, 18], [29, 21], [16, 19, 23], [28, 25, 24, 27]]
20: [[1, 2], [3, 4, 8], [17, 11, 6, 5, 13, 7, 9], [10, 12, 27, 16, 28, 14, 22, 15, 18, 19, 20, 29, 24, 21, 23, 26, 25]]
21: [[1, 2, 3, 4, 8], [17, 11, 6, 5, 15, 7, 13, 9, 14, 12, 10, 16, 22, 18, 19, 29, 23, 20, 21, 24], [25, 26, 27, 28]]
22: [[1, 2], [3, 4, 8], [17, 11, 6, 5], [9, 15, 10, 13], [14, 7, 18, 12, 16, 22, 27, 21, 20, 19, 24, 23, 28, 26, 25, 29]]
23: [[1, 2], [3, 4, 8], [17, 11], [6, 5, 24], [7, 9, 13, 15, 10, 12, 28, 22, 27, 18, 14, 23, 16, 19, 20, 21, 25, 26, 29]]
24: [[1, 2, 3, 4, 8, 17], [11, 6, 5, 27, 7, 10, 14, 9, 12, 15, 13, 18, 23, 25, 16, 22, 20, 19], [24, 26, 21, 28, 29]]
25: [[1, 2], [3, 4, 8], [17, 11], [6, 5], [12, 7, 9], [13, 14, 15], [16, 18], [24, 27, 10], [23, 21, 19, 20, 22, 26, 25, 29, 28]]
26: [[1, 2], [3, 4, 8], [17, 11, 6, 5, 13, 7, 14], [9, 10, 27, 26, 20, 12, 22, 15, 16, 19, 21, 24, 25, 18, 23, 28, 29]]
27: [[1, 2], [3, 4, 8], [17, 11, 6, 5, 13], [7, 9, 15, 26, 16, 10, 12, 14], [19, 18, 24], [20, 21, 23, 22], [27, 28, 29, 25]]
28: [[1, 2], [3, 4, 8], [17, 11], [6, 5, 28], [7, 9, 10], [15, 13, 18], [12, 16, 14], [19, 22, 20], [23, 21], [25, 24, 26, 27], [29]]
29: [[1, 2], [3, 4, 8], [17, 11], [6, 5, 12, 7], [9, 13, 14], [10, 15, 18], [20, 19, 22, 16], [29, 21, 23, 24], [25, 28, 27, 26]]
30: [[1, 2, 3], [4, 8, 17, 11], [6, 5, 28], [14, 7], [13, 9, 15], [10, 12], [20, 16], [27, 21], [18, 19, 22], [23, 25], [24, 26, 29]]
31: [[1, 2], [3, 4, 8], [17, 11], [6, 5], [28, 7, 10], [13, 9, 12], [22, 14], [15, 18, 26], [20, 16, 19, 21], [23, 24, 25], [27, 29]]
32: [[1, 2, 3], [4, 8, 17], [11, 6, 5], [12, 7, 9, 13, 10, 16, 14, 28, 22, 19, 15, 18, 23, 21, 20, 24, 27, 25, 26, 29]]
33: [[1, 2], [3, 4, 8, 17], [11, 6, 5], [15, 13, 7, 9, 12, 10, 14], [22, 28, 19, 16, 21, 24, 23, 20, 25, 18, 29, 27, 26]]
34: [[1, 2], [3, 4, 8], [17, 11, 6, 5, 13], [15, 9, 7], [12, 27], [18, 21, 10, 14], [16, 22, 19], [20, 29, 25, 23, 24, 26, 28]]
35: [[1, 2], [3, 4, 8, 17, 11, 6, 5, 15, 7, 14, 12, 9, 10, 19, 13, 18, 23, 21, 16, 22, 20, 26, 25, 27, 24, 28], [29]]
36: [[1, 2, 3, 4, 8, 17, 11], [6, 5, 29, 7, 9], [14, 10, 12, 15, 13, 16, 22, 26, 23, 18, 19, 21, 24, 27, 25, 20, 28]]
37: [[1, 2], [3, 4, 8], [17, 11, 6], [5, 9], [7, 10, 12], [15, 29], [18, 14, 16, 13, 23, 20, 19, 21, 22, 24], [25, 27, 26, 28]]
38: [[1, 2], [3, 4, 8], [17, 11], [6, 5], [10, 13, 7], [9, 15, 14], [12, 20, 16], [23, 18, 19], [21, 22, 24, 28, 26, 25], [27, 29]]
39: [[1, 2], [3, 4, 8], [17, 11, 6], [5, 14, 12], [7, 13, 9], [10, 29, 15], [20, 19, 18], [16, 22], [23, 24], [25, 27, 26], [21, 28]]
40: [[1, 2], [3, 4, 8], [17, 11], [6, 5], [12, 7, 9], [10, 14, 13, 19], [20, 15], [16, 28, 18, 21, 22], [23, 26, 24, 25, 27, 29]]
41: [[1, 2, 3, 4, 8, 17, 11], [6, 5, 12, 7, 9], [13, 14, 10, 19, 15, 16, 26, 27, 23], [18, 20, 21, 22, 28, 25, 29, 24]]
42: [[1, 2, 3], [4, 8, 17, 11, 6, 5, 10, 15, 7, 9, 12, 14, 13, 22, 20, 23, 18, 19, 21], [16, 24, 25, 26, 27, 29, 28]]
43: [[1, 2, 3, 4, 8, 17, 11, 6, 5], [9, 7, 10, 15, 20, 12, 13, 14, 16, 19, 26, 23], [22, 18, 21, 24, 25, 27, 28, 29]]
44: [[1, 2], [3, 4, 8], [17, 11, 6, 5, 13], [14, 12, 9], [15, 10], [27, 20, 7, 16, 18, 19, 23, 22, 21, 25, 26, 28, 24, 29]]
45: [[1, 2], [3, 4, 8], [17, 11, 6, 5, 14], [7, 9, 10], [12, 28], [13, 15, 16, 18, 19, 23, 22, 20, 21, 29, 24, 25, 27, 26]]
46: [[1, 2], [3, 4, 8], [17, 11], [6, 5, 13, 12], [14, 7, 15, 9], [10, 23], [20, 18, 16], [22, 19, 21], [24, 25], [26, 29, 28, 27]]
47: [[1, 2], [3, 4, 8], [17, 11], [6, 5, 15, 7, 14], [13, 9], [10, 18, 28, 19], [12, 20, 24, 22], [21, 23], [25, 27], [16, 26, 29]]
48: [[1, 2, 3, 4], [8, 17, 11, 6, 5, 13, 12, 14, 7, 15, 9, 10, 23, 20, 18, 16, 22, 19, 21, 24, 25, 26], [29, 28, 27]]
49: [[1, 2], [3, 4, 8, 17, 11], [6, 5, 28, 7], [9, 13, 15], [12, 10, 14], [22, 25, 16], [20, 23, 18], [19, 21, 24], [26, 27, 29]]
50: [[1, 2, 3], [4, 8, 17, 11, 6, 5, 27, 7, 9, 10, 13, 12, 14, 15, 22, 19], [16, 29, 18, 20, 21, 24, 26, 23, 28, 25]]
51: [[1, 2], [3, 4, 8], [17, 11, 6], [5, 27], [7, 9], [15, 10, 12], [13, 14], [16, 22, 24], [20, 18], [19, 21, 26], [25, 23, 28, 29]]
52: [[1, 2], [3, 4], [8, 17, 11, 6], [5, 12, 15], [7, 13, 28, 10], [9, 19, 14, 18, 21, 16], [29, 20, 22], [23, 25, 24, 27, 26]]
53: [[1, 2], [3, 4], [8, 17], [11, 6, 5, 28], [15, 9, 13], [7, 10], [18, 12, 20], [14, 16, 22], [23, 19, 29], [26, 24], [21, 25, 27]]
54: [[1, 2, 3, 4], [8, 17], [11, 6, 5], [28, 7, 9, 20, 15, 27, 10, 12, 16, 18, 19, 21], [13, 14, 22, 26, 25, 23, 24, 29]]
55: [[1, 2, 3, 4], [8, 17, 11], [6, 5, 9], [7, 10, 12, 13, 14, 15], [16, 22, 21, 28, 18, 23, 20, 19, 26, 24, 27, 29, 25]]
56: [[1, 2], [3, 4, 8], [17, 11], [6, 5, 13], [7, 9, 10], [14, 12, 15], [18, 21, 16], [19, 22, 20], [28, 29], [23, 24, 25, 27, 26]]
57: [[1, 2], [3, 4, 8], [17, 11], [6, 5], [12, 7, 9], [10, 14, 13], [18, 16], [15, 26, 19], [21, 24, 22], [23, 20, 27], [29, 25, 28]]
58: [[1, 2, 3], [4, 8, 17], [11, 6, 5], [24, 15, 9], [13, 7], [10, 22, 12], [20, 19, 16, 14, 23, 29, 28, 18, 25, 21, 27, 26]]
59: [[1, 2], [3, 4, 8], [17, 11], [6, 5, 9], [7, 10], [13, 14], [12, 15, 18], [19, 20], [29, 16], [22, 23, 21], [24, 26], [27, 28, 25]]
