0: [[3, 4, 6, 2, 1, 10], [11, 7], [14, 8, 9, 15], [12, 5, 13], [16, 18], [20, 22, 17, 19], [21, 23, 24]]
1: [[3, 4, 6, 5, 2, 10, 1], [11, 7], [14, 8, 9, 15], [13, 12, 19], [16, 18], [20, 22, 17], [21, 23, 24]]
2: [[3, 4, 6, 10], [5, 2], [11, 7], [14, 8, 9, 15], [13, 12, 1, 19], [16, 18], [20, 22, 17], [21, 23, 24]]
3: [[3, 4, 6], [5, 2], [11, 7], [14, 8, 10, 19], [9, 15, 13, 12, 16, 18, 20, 22, 17, 1], [21, 23, 24]]
4: [[3, 4], [6, 5], [2, 11], [7, 14, 10], [8, 9, 15], [13, 12, 1, 19], [16, 18, 20, 22, 17], [21, 23, 24]]
5: [[3], [4, 6], [5, 2], [11, 7], [14, 8, 9, 15], [13, 12, 1, 19], [16, 18], [20, 22, 17, 10], [21, 23, 24]]
6: [[3, 4, 6], [5, 2, 11, 7], [14, 8, 10], [9, 15], [13, 12, 1, 19], [16, 18], [20, 22, 17], [21, 23, 24]]
7: [[3], [4, 6], [5, 2], [11, 7, 14, 10], [8, 9, 1, 19], [15, 13, 12], [16, 18], [20, 22, 17], [21, 23, 24]]
8: [[3, 4, 6], [5, 2], [11, 7, 14, 8, 10], [9, 15], [13, 12], [16, 18, 20, 1], [22, 17, 19], [21, 23, 24]]
9: [[4, 6, 1, 19], [5, 2], [11, 7], [14, 8, 9, 10], [15, 13, 12], [16, 18, 3], [20, 22], [17, 21], [23, 24]]
10: [[4, 6], [5, 2], [11, 7], [14, 8, 10], [9, 15], [13, 12, 1, 19], [16, 18, 3], [20, 22, 17, 21], [23, 24]]
11: [[4, 19], [6, 5], [2, 11, 7], [14, 8, 10], [9, 15], [13, 12, 1], [16, 18, 3], [20, 22], [17, 21], [23, 24]]
12: [[4, 6, 1], [5, 2], [11, 7], [14, 8, 9, 10], [15, 13], [12, 16, 3], [18, 20], [22, 17, 19], [21, 23, 24]]
13: [[3, 4, 6, 5], [2, 11, 7], [14, 8, 10], [9, 15], [13, 12, 1, 19], [16, 18], [20, 22], [17, 21], [23, 24]]
14: [[3, 4], [6, 5], [2, 11, 10, 1, 19], [7, 14], [8, 9, 15, 13], [12, 16, 18], [20, 22], [17, 21], [23, 24]]
