0: [[8, 1, 3], [2, 14, 4, 6], [7, 10, 5], [11, 13, 9, 12], [16, 15], [17, 18, 19, 20]]
1: [[8, 1, 3], [2, 14, 4, 6], [7, 10, 5], [9, 13, 11, 12], [16, 15], [17, 18, 19, 20]]
2: [[8, 1, 3], [2, 14, 4, 6], [7, 10, 5], [11, 13, 9, 12], [16, 15], [17, 18, 19, 20]]
3: [[8, 1, 3], [2, 14, 4, 6], [7, 10, 5], [11, 13, 12, 9], [16, 15, 17, 18, 19, 20]]
4: [[8, 1, 3], [2, 14, 4, 6], [7, 10, 5], [13, 11, 12, 9], [16, 15, 17, 18, 19, 20]]
5: [[8, 1, 3], [2, 14, 4, 6], [7, 10, 5], [13, 11, 12, 9], [16, 15, 17, 19, 18, 20]]
6: [[8, 1, 3], [2, 14, 4, 6], [7, 10, 5], [11, 13, 12, 9], [16, 15, 17, 18, 19, 20]]
7: [[8, 1, 3], [2, 14, 4, 6], [7, 10, 5], [11, 13, 12, 9], [16, 15, 17, 18, 19, 20]]
8: [[8, 1, 3], [2, 14, 4, 6], [7, 10, 5], [11, 13, 9], [12, 16, 15], [17, 18, 19, 20]]
9: [[8, 1, 3], [2, 14, 6, 4], [7, 10, 5, 9], [13, 11, 12, 16], [17, 19, 18, 20, 15]]
10: [[8, 1, 3], [2, 14, 4], [6, 7, 10, 5], [11, 13, 12, 9], [16, 17, 18, 19, 20, 15]]
11: [[8, 1, 3], [2, 14, 4], [6, 7, 10, 5], [11, 13, 12, 9], [16, 17, 19, 18, 20, 15]]
12: [[8, 1, 3, 2], [14, 6, 4], [7, 10, 5, 9], [13, 11, 12, 16, 15], [17, 18, 19, 20]]
13: [[8, 1, 3], [2, 14, 4], [7, 10], [5, 13, 11, 12, 9], [16, 6, 15], [17, 18, 19, 20]]
14: [[8, 1, 3], [2, 14, 4], [7, 10], [5, 11, 13, 12, 9], [16, 6, 15], [17, 18, 19, 20]]
15: [[8, 1, 3], [2, 14, 7, 4, 6], [10, 5], [11, 13, 12, 9], [16, 17, 15], [18, 19, 20]]
16: [[8, 1, 3], [2, 14, 4, 6, 7, 10, 5], [11, 13, 12, 16, 15, 9], [17, 18, 19, 20]]
17: [[8, 1, 3], [2, 14, 4, 6], [7, 10, 5], [11, 12, 13], [16, 17, 18, 9, 15], [19, 20]]
18: [[8, 1, 3], [2, 14, 4, 6], [5, 10], [7, 13, 9], [11, 12, 16, 15], [17, 18, 19, 20]]
19: [[8, 1, 3], [2, 14, 4, 6], [7, 10], [5, 11, 13, 9], [12, 16, 15], [17, 18, 19, 20]]
20: [[8, 1, 3], [14, 2, 4, 6], [7, 10, 5], [11], [13, 9], [12, 16, 15, 17, 18, 19, 20]]
21: [[8, 1, 3], [2, 14, 4], [7, 10, 5, 6], [11, 13, 9], [12, 16, 17, 15], [18, 19, 20]]
22: [[8, 1, 3], [2, 14, 4, 6], [7, 10, 5, 11, 13, 12, 9], [16, 15, 17, 18, 19, 20]]
23: [[8, 1, 3], [2, 14, 4, 6], [7, 10, 5, 11, 13, 9], [12, 16, 15, 17, 18, 19, 20]]
24: [[8, 1, 3], [2, 14, 7, 4], [5, 10, 6], [11, 13, 12, 9], [18, 17, 16, 19, 20, 15]]
25: [[8, 1, 3], [2, 14, 4], [10, 5], [13, 7, 11, 9], [20, 12, 17, 18, 19, 15], [16, 6]]
26: [[8, 1, 3], [2, 14, 4, 6], [7, 10, 5, 13], [11, 12, 9], [16, 17, 18, 15], [19, 20]]
27: [[8, 1, 3], [2, 14, 4, 6], [7, 10], [5, 13, 9], [12, 11], [16, 17, 18, 15], [19, 20]]
28: [[8, 1, 3], [2, 14, 4], [6, 7, 10], [5, 11, 12, 9], [13, 16, 15], [17, 18, 19, 20]]
29: [[8, 1, 3], [2, 14, 4], [7, 10], [5, 11, 13, 9], [12], [16, 6, 15], [17, 18, 19, 20]]
30: [[8, 1, 3, 2], [14, 6, 7, 10, 4], [5, 13, 11, 9], [12, 16, 15], [17, 18, 19, 20]]
31: [[8, 1, 3, 2], [14, 7, 4, 6], [10, 5, 11], [13, 12, 16, 9], [15, 17, 18, 19, 20]]
32: [[8, 1, 3], [2, 14, 4, 6], [10, 5], [13, 7, 9], [11, 20, 12], [17, 18, 19, 16, 15]]
33: [[8, 1, 3, 2], [14, 6, 7, 4], [10, 5, 11, 13, 9, 12, 16, 15, 17], [19, 18, 20]]
34: [[8, 1, 3], [2, 14, 4, 6], [5, 10, 7, 11, 13], [12, 18, 15, 17, 16, 19, 20, 9]]
35: [[8, 1, 3, 2], [14, 4, 6, 7, 10, 5], [11, 13, 9, 12, 16, 15, 17, 18, 19, 20]]
36: [[8, 1, 3, 2], [14, 4, 6, 7, 10, 5], [11, 13, 9, 12, 16, 15, 17, 18, 19, 20]]
37: [[8, 1], [3, 2, 14, 4, 6], [7, 10], [5, 11, 13, 9], [12, 16, 15], [17, 18, 19, 20]]
38: [[8, 1, 3], [2, 14, 4, 6], [7], [10, 5, 9], [11, 12, 16, 15], [13, 18, 19], [17, 20]]
39: [[8, 1, 3, 2], [14, 7, 4, 6], [10, 5, 11], [13, 12, 16, 15, 17, 18, 19, 20, 9]]
40: [[8, 1, 3, 2], [14, 4, 6, 7, 5, 9], [10], [11, 13, 12, 16, 15, 17, 18, 19, 20]]
41: [[8, 1, 3, 2], [14, 4, 7, 5], [10, 6, 11, 13, 9, 12, 18, 15, 17, 16, 19, 20]]
