It No., Best MQ, No clusters, max clus, min clus
1,1.45055845248975,5,22,7
2,1.3571975922177233,4,20,8
3,1.733772737623974,6,15,4
4,1.3967729027901319,16,7,1
5,1.5924073368032348,11,10,2
6,1.4408529142511688,4,26,8
7,1.4301480917980285,4,19,9
8,1.5979536976909658,25,6,1
9,1.5180220023330997,23,7,1
10,1.4812089837964868,10,13,3
11,1.351612144832728,4,20,9
12,1.3589891321526242,4,19,7
13,1.4791721339541009,5,16,6
14,1.4151983563911767,6,12,8
15,1.5484830353747872,22,6,1
16,1.332198877699692,4,22,9
17,1.3568705944498065,4,19,9
18,1.4749152800811807,5,16,8
19,1.5027339568805504,5,19,6
20,1.527761021615118,7,12,5
21,1.5096013515588191,7,13,6
22,1.564114677744267,6,12,9
23,1.5444404720918254,5,17,6
24,1.4444963279639333,4,22,8
25,1.6934563942256309,6,15,6
26,1.4457035603447368,20,6,1
27,1.4844191302057734,6,18,6
28,1.5025834306458412,5,21,6
29,1.4351992651000676,4,21,10
30,1.3361627670646008,4,20,10
31,1.6304756108569083,27,6,1
