0: [[12, 3, 1, 5, 2], [8, 6, 11, 10, 4, 9], [7, 13]]
1: [[12, 3, 2, 1, 5], [8, 6, 11, 10, 4, 9], [7, 13]]
2: [[12, 3, 2, 1, 5], [8, 6, 11, 10, 4, 9], [7, 13]]
3: [[12, 3, 2, 1, 5], [8, 6, 11, 10, 4, 9], [7, 13]]
4: [[12, 3, 2, 1, 5], [8, 6, 11, 10, 4, 9], [7, 13]]
5: [[12, 3, 2, 1, 5], [8, 6, 11, 10, 4, 9], [7, 13]]
6: [[12, 3, 2, 1, 5], [8, 6, 11, 10, 4, 9], [7, 13]]
7: [[12, 3, 2, 1, 5], [8, 6, 11, 10, 4, 9], [7, 13]]
8: [[12, 3, 2, 1, 5], [8, 6, 11, 10, 4, 9], [7, 13]]
9: [[12, 3, 2, 1, 5], [8, 6, 11, 10, 4, 9], [7, 13]]
10: [[12, 3, 2, 1, 5], [8, 6, 11, 10, 4, 9], [7, 13]]
11: [[12, 3, 2, 1, 5], [8, 6, 11, 10, 4, 9], [7, 13]]
12: [[12, 3, 2, 1, 5], [8, 6, 11, 10, 4, 9], [7, 13]]
13: [[12, 3, 2, 1, 5, 8], [6, 11, 10, 4, 9], [7, 13]]
14: [[12, 3, 2, 1, 5, 8], [6, 11, 10, 4, 9], [7, 13]]
15: [[12, 3, 2, 1, 5, 8], [6, 11, 10, 4, 9], [7, 13]]
16: [[12, 3, 2, 1, 5, 8], [6, 11, 10, 4, 9], [7, 13]]
17: [[12, 3, 2, 1, 5, 8], [6, 11, 10, 4, 9], [7, 13]]
18: [[12, 3, 2, 1, 5, 8], [6, 11, 10, 4, 9], [7, 13]]
19: [[12, 3, 2, 1, 5, 8], [6, 11, 10, 4, 9], [7, 13]]
20: [[12, 3, 2, 1, 5, 8], [6, 11, 10, 4, 9], [7, 13]]
21: [[12, 3, 2, 1, 5, 8], [6, 11, 10, 4, 9], [7, 13]]
22: [[12, 3, 2, 1, 5, 8], [6, 11, 10, 4, 9], [7, 13]]
23: [[12, 3, 2, 1], [5, 8, 6, 11, 10, 4, 9], [7, 13]]
24: [[12, 3, 2, 1], [5, 8, 6, 11, 10, 4, 9], [7, 13]]
25: [[12, 3, 2, 1, 5, 8, 6], [11, 10, 4, 9], [7, 13]]
26: [[12, 3, 2, 1, 5, 8, 6], [11, 10, 4, 9], [7, 13]]
27: [[12, 3, 2, 1, 5, 8, 6], [11, 10, 4, 9], [7, 13]]
