0: [[4], [28, 26, 21, 27], [24, 6, 5, 14], [29, 19, 2, 18, 10], [9, 17, 11], [3, 16, 20, 25], [15, 8, 1], [23, 7], [13, 12, 22]]
1: [[4], [28, 26, 21, 27], [24, 6, 5, 14], [29, 19, 2, 18, 10], [9, 17, 11], [3, 16, 20, 25], [15, 8, 1], [23, 7], [13, 12, 22]]
2: [[4, 12, 19, 1, 2, 8, 7, 3, 5, 14], [11, 6, 9, 10, 15, 13, 17, 16, 18, 22], [21, 20, 23, 26, 27, 24, 25, 28, 29]]
3: [[4, 12, 19, 1, 2, 8, 7, 3, 5, 14], [11, 6, 9, 10, 15, 13, 17, 16, 18, 22], [21, 20, 23, 26, 25, 24, 27, 28, 29]]
4: [[4, 12, 19, 1, 2, 8, 7, 3, 5, 14], [11, 6, 9, 10, 15, 13, 17, 16, 18, 22], [21, 20, 23, 26, 25, 24, 27, 28, 29]]
5: [[4, 12, 19, 1, 2, 8, 7, 3, 5, 14], [11, 6, 9, 10, 15, 13, 17, 16, 18, 22], [21, 20, 23, 26, 25, 24, 27, 28, 29]]
6: [[4, 12, 19, 1, 2, 8, 7, 3, 5, 14], [11, 6, 9, 10, 15, 13, 17, 16, 18, 22], [21, 20, 23, 26, 25, 24, 27, 28, 29]]
7: [[4, 12, 19, 1, 2, 8, 7, 3, 5, 14], [11, 6, 9, 10, 15, 13, 17, 16, 18, 22], [21, 20, 23, 26, 25, 24, 27, 28, 29]]
8: [[4, 12, 19, 1, 2, 8, 7, 3, 5, 14], [11, 6, 9, 10, 15, 13, 17, 16, 18, 22], [21, 20, 23, 26, 25, 24, 27, 28, 29]]
9: [[4, 12, 19, 1, 2, 8, 7, 3, 5, 14], [11, 6, 9, 10, 15, 13, 17, 16, 18, 22], [21, 20, 23, 26, 25, 24, 27, 28, 29]]
10: [[4, 12, 19, 1, 2, 8, 7, 3, 5, 14], [11, 6, 9, 10, 15, 13, 17, 16, 18, 22], [21, 20, 23, 26, 25, 24, 27, 28, 29]]
11: [[4, 12, 19, 1, 2, 8, 7, 3, 5, 14], [11, 6, 9, 10, 15, 13, 17, 16, 18, 22], [21, 20, 23, 26, 25, 24, 27, 28, 29]]
12: [[4, 12, 19, 1, 2, 8, 7, 3, 5, 14], [11, 6, 9, 10, 15, 13, 17, 16, 18, 22], [21, 20, 23, 26, 25, 24, 27, 28, 29]]
13: [[4, 12, 19, 1, 2, 8, 7, 3, 5, 14], [11, 6, 9, 10, 15, 13, 17, 16, 18, 22], [21, 20, 23, 26, 25, 24, 27, 28, 29]]
14: [[4, 12, 19, 1, 2, 8, 7, 3, 5, 14], [11, 6, 9, 10, 15, 13, 17, 16, 18, 22], [21, 20, 23, 26, 25, 24, 27, 28, 29]]
15: [[4, 12, 19, 1, 2, 8, 7, 3, 5, 14], [11, 6, 9, 10, 15, 13, 17, 16, 18, 22], [21, 20, 23, 26, 25, 24, 27, 28, 29]]
16: [[4, 12, 19, 1, 2, 8, 7, 3, 5, 14], [11, 6, 9, 10, 15, 13, 17, 16, 18, 22], [21, 20, 23, 26, 25, 24, 27, 28, 29]]
17: [[4, 12, 19, 1, 2, 8, 7, 3, 5, 14], [11, 6, 9, 10, 15, 13, 17, 16, 18, 22], [21, 20, 23, 26, 25, 24, 27, 28, 29]]
18: [[4, 12, 19, 1, 2, 8, 7, 3, 5, 14], [11, 6, 9, 10, 15, 13, 17, 16, 18, 22], [21, 20, 23, 26, 25, 24, 27, 28, 29]]
19: [[4, 12, 19, 1, 2, 8, 7, 3, 5, 14], [11, 6, 9, 10, 15, 13, 17, 16, 18, 22], [21, 20, 23, 26, 25, 24, 27, 28, 29]]
