0: [[8], [3, 20], [2, 19, 1], [27, 21], [15, 29], [17, 9, 11, 13], [6, 5], [24, 23, 7, 18, 28, 10, 22], [4, 25, 16, 26, 12, 14]]
1: [[8], [3, 20], [2, 19, 1], [27, 21], [15, 29], [17, 9, 11, 13], [6, 5], [24, 23, 7, 18, 28, 10, 22], [4, 25, 16, 26, 12, 14]]
2: [[8], [3, 20], [2, 19, 1], [27, 21], [15, 29], [17, 9, 11, 13], [6, 5], [24, 23, 7, 18, 28, 10, 22], [4, 25, 16, 26, 12, 14]]
3: [[8], [3, 20], [2, 19, 1], [27, 21], [15, 29], [17, 9, 11, 13], [6, 5], [24, 23, 7, 18, 28, 10, 22], [4, 25, 16, 26, 12, 14]]
4: [[8], [3, 20], [2, 19, 1], [27, 21], [15, 29], [17, 9, 11, 13], [6, 5], [24, 23, 7, 18, 28, 10, 22], [4, 25, 16, 26, 12, 14]]
5: [[8], [3, 20], [2, 19, 1], [27, 21], [15, 29], [17, 9, 11, 13], [6, 5], [24, 23, 7, 18, 28, 10, 22], [4, 25, 16, 26, 12, 14]]
6: [[8], [3, 20], [2, 19, 1], [27, 21], [15, 29], [17, 9, 11, 13], [6, 5], [24, 23, 7, 18, 28, 10, 22], [4, 25, 16, 26, 12, 14]]
7: [[8], [3, 20], [2, 19, 1], [27, 21], [15, 29], [17, 9, 11, 13], [6, 5], [24, 23, 7, 18, 28, 10, 22], [4, 25, 16, 26, 12, 14]]
8: [[8], [3, 20], [2, 19, 1], [27, 21], [15, 29], [17, 9, 11, 13], [6, 5], [24, 23, 7, 18, 28, 10, 22], [4, 25, 16, 26, 12, 14]]
9: [[8], [3, 20], [2, 19, 1], [27, 21], [15, 29], [17, 9, 11, 13], [6, 5], [24, 23, 7, 18, 28, 10, 22], [4, 25, 16, 26, 12, 14]]
10: [[8], [3, 20], [2, 19, 1], [27, 21], [15, 29], [17, 9, 11, 13], [6, 5], [24, 23, 7, 18, 28, 10, 22], [4, 25, 16, 26, 12, 14]]
11: [[8], [3, 20], [2, 19, 1], [27, 21], [15, 29], [17, 9, 11, 13], [6, 5], [24, 23, 7, 18, 28, 10, 22], [4, 25, 16, 26, 12, 14]]
12: [[8], [3, 20], [2, 19, 1], [27, 21], [15, 29], [17, 9, 11, 13], [6, 5], [24, 23, 7, 18, 28, 10, 22], [4, 25, 16, 26, 12, 14]]
13: [[8], [3, 20], [2, 19, 1], [27, 21], [15, 29], [17, 9, 11, 13], [6, 5], [24, 23, 7, 18, 28, 10, 22], [4, 25, 16, 26, 12, 14]]
14: [[8], [3, 20], [2, 19, 1], [27, 21], [15, 29], [17, 9, 11, 13], [6, 5], [24, 23, 7, 18, 28, 10, 22], [4, 25, 16, 26, 12, 14]]
15: [[8], [3, 20], [2, 19, 1], [27, 21], [15, 29], [17, 9, 11, 13], [6, 5], [24, 23, 7, 18, 28, 10, 22], [4, 25, 16, 26, 12, 14]]
16: [[8], [3, 20], [2, 19, 1], [27, 21], [15, 29], [17, 9, 11, 13], [6, 5], [24, 23, 7, 18, 28, 10, 22], [4, 25, 16, 26, 12, 14]]
17: [[8], [3, 20], [2, 19, 1], [27, 21], [15, 29], [17, 9, 11, 13], [6, 5], [24, 23, 7, 18, 28, 10, 22], [4, 25, 16, 26, 12, 14]]
18: [[8], [3, 20], [2, 19, 1], [27, 21], [15, 29], [17, 9, 11, 13], [6, 5], [24, 23, 7, 18, 28, 10, 22], [4, 25, 16, 26, 12, 14]]
19: [[8], [3, 20], [2, 19, 1], [27, 21], [15, 29], [17, 9, 11, 13], [6, 5], [24, 23, 7, 18, 28, 10, 22], [4, 25, 16, 26, 12, 14]]
20: [[8], [3, 20], [2, 19, 1], [27, 21], [15, 29], [17, 9, 11, 13], [6, 5], [24, 23, 7, 18, 28, 10, 22], [4, 25, 16, 26, 12, 14]]
21: [[8], [3, 20], [2, 19, 1], [27, 21], [15, 29], [17, 9, 11, 13], [6, 5], [24, 23, 7, 18, 28, 10, 22], [4, 25, 16, 26, 12, 14]]
22: [[8], [3, 20], [2, 19, 1], [27, 21], [15, 29], [17, 9, 11, 13], [6, 5], [24, 23, 7, 18, 28, 10, 22], [4, 25, 16, 26, 12, 14]]
23: [[8], [3, 20], [2, 19, 1], [27, 21], [15, 29], [17, 9, 11, 13], [6, 5], [24, 23, 7, 18, 28, 10, 22], [4, 25, 16, 26, 12, 14]]
24: [[8], [3, 20], [2, 19, 1], [27, 21], [15, 29], [17, 9, 11, 13], [6, 5], [24, 23, 7, 18, 28, 10, 22], [4, 25, 16, 26, 12, 14]]
25: [[8], [3, 20], [2, 19, 1], [27, 21], [15, 29], [17, 9, 11, 13], [6, 5], [24, 23, 7, 18, 28, 10, 22], [4, 25, 16, 26, 12, 14]]
26: [[8], [3, 20], [2, 19, 1], [27, 21], [15, 29], [17, 9, 11, 13], [6, 5], [24, 23, 7, 18, 28, 10, 22], [4, 25, 16, 26, 12, 14]]
27: [[8], [3, 20], [2, 19, 1], [27, 21], [15, 29], [17, 9, 11, 13], [6, 5], [24, 23, 7, 18, 28, 10, 22], [4, 25, 16, 26, 12, 14]]
28: [[8], [3, 20], [2, 19, 1], [27, 21], [15, 29], [17, 9, 11, 13], [6, 5], [24, 23, 7, 18, 28, 10, 22], [4, 25, 16, 26, 12, 14]]
29: [[8], [3, 20], [2, 19, 1], [27, 21], [15, 29], [17, 9, 11, 13], [6, 5], [24, 23, 7, 18, 28, 10, 22], [4, 25, 16, 26, 12, 14]]
30: [[8], [3, 20], [2, 19, 1], [27, 21], [15, 29], [17, 9, 11, 13], [6, 5], [24, 23, 7, 18, 28, 10, 22], [4, 25, 16, 26, 12, 14]]
31: [[8], [3, 20], [2, 19, 1], [27, 21], [15, 29], [17, 9, 11, 13], [6, 5], [24, 23, 7, 18, 28, 10, 22], [4, 25, 16, 26, 12, 14]]
32: [[8], [3, 20], [2, 19, 1], [27, 21], [15, 29], [17, 9, 11, 13], [6, 5], [24, 23, 7, 18, 28, 10, 22], [4, 25, 16, 26, 12, 14]]
33: [[8], [3, 20], [2, 19, 1], [27, 21], [15, 29], [17, 9, 11, 13], [6, 5], [24, 23, 7, 18, 28, 10, 22], [4, 25, 16, 26, 12, 14]]
34: [[8], [3, 20], [2, 19, 1], [27, 21], [15, 29], [17, 9, 11, 13], [6, 5], [24, 23, 7, 18, 28, 10, 22], [4, 25, 16, 26, 12, 14]]
