0: [[16, 15, 11, 9, 8, 20, 1, 13, 2, 6, 12, 5, 7], [14, 19, 10, 3, 17, 4, 18, 22], [21, 24, 23]]
1: [[16, 15, 11, 9, 8, 20, 1, 13, 2, 6, 12, 5, 7], [14, 19, 10, 3, 17, 4, 18, 22], [21, 24, 23]]
2: [[16, 15, 11, 9, 8, 20, 1, 13, 2, 6, 12, 5, 7], [14, 19, 10, 3, 17, 4, 18, 22], [21, 24, 23]]
3: [[16, 15, 11, 9, 8, 20, 1, 13, 2, 6, 12, 5, 7], [14, 19, 10, 3, 17, 4, 18, 22], [21, 24, 23]]
4: [[16, 15, 11, 9, 8, 20, 1, 13, 2, 6, 12, 5, 7], [14, 19, 10, 3, 17, 4, 18, 22], [21, 24, 23]]
5: [[16, 15, 11, 9, 8, 20, 1, 13, 2, 6, 12, 5, 7], [14, 19, 10, 3, 17, 4, 18, 22], [21, 24, 23]]
6: [[16, 15, 11, 9, 8, 20, 1, 13, 2, 6, 12, 5, 7], [14, 19, 10, 3, 17, 4, 18, 22], [21, 24, 23]]
7: [[16, 15, 11, 9, 8, 20, 1, 13, 2, 6, 12, 5, 7], [14, 19, 10, 3, 17, 4, 18, 22], [21, 24, 23]]
8: [[16, 15, 11, 9, 8, 20, 1, 13, 2, 6, 12, 5, 7], [14, 19, 10, 3, 17, 4, 18, 22], [21, 24, 23]]
9: [[16, 15, 11, 9, 8, 20, 1, 13, 2, 6, 12, 5, 7], [14, 19, 10, 3, 17, 4, 18, 22], [21, 24, 23]]
10: [[16, 15, 11, 9, 8, 20, 1, 13, 2, 6, 12, 5, 7], [14, 19, 10, 3, 17, 4, 18, 22], [21, 24, 23]]
11: [[16, 15, 11, 9, 8, 20, 1, 13, 2, 6, 12, 5, 7], [14, 19, 10, 3, 17, 4, 18, 22], [21, 24, 23]]
12: [[16, 15, 11, 9, 8, 20, 1, 13, 2, 6, 12, 5, 7], [14, 19, 10, 3, 17, 4, 18, 22], [21, 24, 23]]
13: [[16, 15, 11, 9, 8, 20, 1, 13, 2, 6, 12, 5, 7], [14, 19, 10, 3, 17, 4, 18, 22], [21, 24, 23]]
14: [[16, 15, 11, 9, 8, 20, 1, 13, 2, 6, 12, 5, 7], [14, 19, 10, 3, 17, 4, 18, 22], [21, 24, 23]]
15: [[16, 15, 11, 9, 8, 20, 1, 13, 2, 6, 12, 5, 7], [14, 19, 10, 3, 17, 4, 18, 22], [21, 24, 23]]
16: [[16, 15, 11, 9, 8, 20, 1, 13, 2, 6, 12, 5, 7], [14, 19, 10, 3, 17, 4, 18, 22], [21, 24, 23]]
17: [[16, 15, 11, 9, 8, 20, 1, 13, 2, 6, 12, 5, 7], [14, 19, 10, 3, 17, 4, 18, 22], [21, 24, 23]]
18: [[16, 15, 11, 9, 8, 20, 1, 13, 2, 6, 12, 5, 7], [14, 19, 10, 3, 17, 4, 18, 22], [21, 24, 23]]
19: [[16, 15, 11, 9, 8, 20, 1, 13, 2, 6, 12, 5, 7], [14, 19, 10, 3, 17, 4, 18, 22], [21, 24, 23]]
20: [[16, 15, 11, 9, 8, 20, 1, 13, 2, 6, 12, 5, 7], [14, 19, 10, 3, 17, 4, 18, 22], [21, 24, 23]]
21: [[16, 15, 11, 9, 8, 20, 1, 13, 2, 6, 12, 5, 7], [14, 19, 10, 3, 17, 4, 18, 22], [21, 24, 23]]
22: [[16, 15, 11, 9, 8, 20, 1, 13, 2, 6, 12, 5, 7], [14, 19, 10, 3, 17, 4, 18, 22], [21, 24, 23]]
23: [[16, 15, 11, 9, 8, 20, 1, 13, 2, 6, 12, 5, 7], [14, 19, 10, 3, 17, 4, 18, 22], [21, 24, 23]]
24: [[16, 15, 11, 9, 8, 20, 1, 13, 2, 6, 12, 5], [7, 14, 19, 10, 3, 17, 4, 18, 22], [21, 24, 23]]
25: [[16, 15, 11, 9, 8, 20, 1, 13, 2, 6, 12, 5], [7, 14, 19, 10, 3, 17, 4, 18, 22], [21, 24, 23]]
26: [[16, 15, 11, 9, 8, 20, 1, 13, 2, 6, 12, 5], [7, 14, 19, 10, 3, 17, 4, 18, 22], [21, 24, 23]]
27: [[16, 15, 11, 9, 8, 20, 1, 13, 2, 6, 12], [5, 7, 14, 19, 10, 3, 17, 4, 18, 22], [21, 24, 23]]
28: [[16, 15, 11, 9, 8, 20, 1, 13, 2, 6, 12, 5, 7, 14], [19, 10, 3, 17, 4, 18, 22], [21, 24, 23]]
29: [[16, 15, 11, 9, 8, 20, 1, 13, 2, 6, 12, 5, 7, 14], [19, 10, 3, 17, 4, 18, 22], [21, 24, 23]]
30: [[16, 15, 11, 9, 8, 20, 1, 13, 2, 6, 12, 5, 7, 14], [19, 10, 3, 17, 4, 18, 22], [21, 24, 23]]
31: [[16, 15, 11, 9, 8, 20, 1, 13, 2, 6, 12, 5, 7, 14], [19, 10, 3, 17, 4, 18, 22], [21, 24, 23]]
32: [[16, 15, 11, 9, 8, 20, 1, 13, 2, 6, 12, 5, 7, 14], [19, 10, 3, 17, 4, 18, 22], [21, 24, 23]]
33: [[16, 15, 11, 9, 8, 20, 1, 13, 2, 6, 12, 5, 7, 14], [19, 10, 3, 17, 4, 18, 22], [21, 24, 23]]
34: [[16, 15, 11, 9, 8, 20, 1, 13, 2, 6, 12, 5, 7], [14, 19, 10, 3, 17, 4, 18], [22, 21, 24, 23]]
35: [[16, 15, 11, 9, 8, 20, 1, 13, 2, 6, 12, 5, 7], [14, 19, 10, 3, 17, 4, 18], [22, 21, 24, 23]]
36: [[16, 15, 11, 9, 8, 20, 1, 13, 2, 6, 12, 5, 7], [14, 19, 10, 3, 17, 4, 18], [22, 21, 24, 23]]
37: [[16, 15, 11, 9, 8, 20, 1, 13, 2, 6, 12, 5, 7], [14, 19, 10, 3, 17, 4, 18], [22, 21, 24, 23]]
38: [[16, 15, 11, 9, 8, 20, 1, 13, 2, 6, 12, 5], [7, 14, 19, 10, 3, 17, 4, 18], [22, 21, 24, 23]]
39: [[16, 15, 11, 9, 8, 20, 1, 13, 2, 6, 12, 5, 7], [14, 19, 10, 3, 17, 4, 18, 22, 21], [24, 23]]
40: [[16, 15, 11, 9, 8, 20, 1, 13, 2, 6, 12, 5, 7], [14, 19, 10, 3, 17, 4, 18, 22, 21], [24, 23]]
41: [[16, 15, 11, 9, 8, 20, 1, 13, 2, 6, 12, 5, 7], [14, 19, 10, 3, 17, 4, 18, 22, 21], [24, 23]]
42: [[16, 15, 11, 9, 8, 20, 1, 13, 2, 6, 12, 5, 7], [14, 19, 10, 3, 17, 4, 18, 22, 21], [24, 23]]
43: [[16, 15, 11, 9, 8, 20, 1, 13, 2, 6, 12, 5, 7], [14, 19, 10, 3, 17, 4, 18, 22, 21], [24, 23]]
44: [[16, 15, 11, 9, 8, 20, 1, 13, 2, 6, 12, 5], [7, 14, 19, 10, 3, 17, 4, 18, 22, 21], [24, 23]]
45: [[16, 15, 11, 9, 8, 20, 1, 13, 2, 6, 12, 5, 7, 14], [19, 10, 3, 17, 4, 18, 22, 21], [24, 23]]
46: [[16, 15, 11, 9, 8, 20, 1, 13, 2, 6, 12, 5, 7, 14], [19, 10, 3, 17, 4, 18, 22, 21], [24, 23]]
47: [[16, 15, 11, 9, 8, 20, 1, 13, 2, 6, 12, 5, 7, 14], [19, 10, 3, 17, 4, 18, 22, 21], [24, 23]]
48: [[16, 15, 11, 9, 8, 20, 1, 13, 2, 6, 12, 5, 7, 14], [19, 10, 3, 17, 4, 18, 22, 21], [24, 23]]
49: [[16, 15, 11, 9, 8, 20, 1, 13, 2, 6, 12, 5], [7, 14, 19, 10, 3, 17, 4], [18, 22, 21, 24, 23]]
