0: [[2, 6, 37, 22, 1, 7], [9, 4, 3, 17, 29], [13, 5, 12, 15, 11], [10, 8, 14, 18, 19], [20, 24, 16, 23, 31], [21, 25, 27, 28, 26], [30, 35, 33, 32, 34, 36]]
1: [[2, 6, 37, 22, 1, 7], [9, 4, 3, 17, 29], [13, 5, 12, 15, 11], [10, 8, 14, 18, 19], [20, 24, 16, 23, 31], [21, 25, 27, 28, 26], [30, 35, 33, 32, 34, 36]]
2: [[2, 6, 37, 22, 1, 7], [9, 4, 3, 17, 29], [13, 5, 12, 15, 11], [10, 8, 14, 18, 19], [20, 24, 16, 23, 31], [21, 25, 27, 28, 26], [30, 35, 33, 32, 34, 36]]
3: [[2, 6, 37, 22, 1, 7], [9, 4, 3, 17, 29], [13, 5, 12, 15, 11], [10, 8, 14, 18, 19], [20, 24, 16, 23, 31], [21, 25, 27, 28, 26], [30, 35, 33, 32, 34, 36]]
4: [[2, 6, 37, 22, 1, 7], [9, 4, 3, 17, 29], [13, 5, 12, 15, 11], [10, 8, 14, 18, 19], [20, 24, 16, 23, 31], [21, 25, 27, 28, 26], [30, 35, 33, 32, 34, 36]]
5: [[2, 6, 37, 22, 1, 7], [9, 4, 3, 17, 29], [13, 5, 12, 15, 11], [10, 8, 14, 18, 19], [20, 24, 16, 23, 31], [21, 25, 27, 28, 26], [30, 35, 33, 32, 34, 36]]
6: [[2, 6, 37, 22, 1, 7], [9, 4, 3, 17, 29], [13, 5, 12, 15, 11], [10, 8, 14, 18, 19], [20, 24, 16, 23, 31], [21, 25, 27, 28, 26], [30, 35, 33, 32, 34, 36]]
7: [[2, 6, 37, 22, 1, 7], [9, 4, 3, 17, 29], [13, 5, 12, 15, 11], [10, 8, 14, 18, 19], [20, 24, 16, 23, 31], [21, 25, 27, 28, 26], [30, 35, 33, 32, 34, 36]]
8: [[2, 6, 37, 22, 1, 7], [9, 4, 3, 17, 29], [13, 5, 12, 15, 11], [10, 8, 14, 18, 19], [20, 24, 16, 23, 31], [21, 25, 27, 28, 26], [30, 35, 33, 32, 34, 36]]
9: [[2, 6, 37, 22, 1, 7], [9, 4, 3, 17, 29], [13, 5, 12, 15, 11], [10, 8, 14, 18, 19], [20, 24, 16, 23, 31], [21, 25, 27, 28, 26], [30, 35, 33, 32, 34, 36]]
10: [[2, 6, 37, 22, 1, 7], [9, 4, 3, 17, 29], [13, 5, 12, 15, 11], [10, 8, 14, 18, 19], [20, 24, 16, 23, 31], [21, 25, 27, 28, 26], [30, 35, 33, 32, 34, 36]]
11: [[2, 6, 37, 22, 1, 7], [9, 4, 3, 17, 29], [13, 5, 12, 15, 11], [10, 8, 14, 18, 19], [20, 24, 16, 23, 31], [21, 25, 27, 28, 26], [30, 35, 33, 32, 34, 36]]
12: [[2, 6, 37, 22, 1, 7], [9, 4, 3, 17, 29], [13, 5, 12, 15, 11], [10, 8, 14, 18, 19], [20, 24, 16, 23, 31], [21, 25, 27, 28, 26], [30, 35, 33, 32, 34, 36]]
13: [[2, 6, 37, 22, 1, 7], [9, 4, 3, 17, 29], [13, 5, 12, 15, 11], [10, 8, 14, 18, 19], [20, 24, 16, 23, 31], [21, 25, 27, 28, 26], [30, 35, 33, 32, 34, 36]]
14: [[2, 6, 37, 22, 1, 7], [9, 4, 3, 17, 29], [13, 5, 12, 15, 11], [10, 8, 14, 18, 19], [20, 24, 16, 23, 31], [21, 25, 27, 28, 26], [30, 35, 33, 32, 34, 36]]
15: [[2, 6, 37, 22, 1, 7], [9, 4, 3, 17, 29], [13, 5, 12, 15, 11], [10, 8, 14, 18, 19], [20, 24, 16, 23, 31], [21, 25, 27, 28, 26], [30, 35, 33, 32, 34, 36]]
16: [[2, 6, 37, 22, 1, 7], [9, 4, 3, 17, 29], [13, 5, 12, 15, 11], [10, 8, 14, 18, 19], [20, 24, 16, 23, 31], [21, 25, 27, 28, 26], [30, 35, 33, 32, 34, 36]]
17: [[2, 6, 37, 22, 1, 7], [9, 4, 3, 17, 29], [13, 5, 12, 15, 11], [10, 8, 14, 18, 19], [20, 24, 16, 23, 31], [21, 25, 27, 28, 26], [30, 35, 33, 32, 34, 36]]
18: [[2, 6, 37, 22, 1, 7], [9, 4, 3, 17, 29], [13, 5, 12, 15, 11], [10, 8, 14, 18, 19], [20, 24, 16, 23, 31], [21, 25, 27, 28, 26], [30, 35, 33, 32, 34, 36]]
19: [[2, 6, 37, 22, 1, 7], [9, 4, 3, 17, 29], [13, 5, 12, 15, 11], [10, 8, 14, 18, 19], [20, 24, 16, 23, 31], [21, 25, 27, 28, 26], [30, 35, 33, 32, 34, 36]]
20: [[2, 6, 37, 22, 1, 7], [9, 4, 3, 17, 29], [13, 5, 12, 15, 11], [10, 8, 14, 18, 19], [20, 24, 16, 23, 31], [21, 25, 27, 28, 26], [30, 35, 33, 32, 34, 36]]
21: [[2, 6, 37, 22, 1, 7], [9, 4, 3, 17, 29], [13, 5, 12, 15, 11], [10, 8, 14, 18, 19], [20, 24, 16, 23, 31], [21, 25, 27, 28, 26], [30, 35, 33, 32, 34, 36]]
22: [[2, 6, 37, 22, 1, 7], [9, 4, 3, 17, 29], [13, 5, 12, 15, 11], [10, 8, 14, 18, 19], [20, 24, 16, 23, 31], [21, 25, 27, 28, 26], [30, 35, 33, 32, 34, 36]]
23: [[2, 6, 37, 22, 1, 7], [9, 4, 3, 17, 29], [13, 5, 12, 15, 11], [10, 8, 14, 18, 19], [20, 24, 16, 23, 31], [21, 25, 27, 28, 26], [30, 35, 33, 32, 34, 36]]
24: [[2, 6, 37, 22, 1, 7], [9, 4, 3, 17, 29], [13, 5, 12, 15, 11], [10, 8, 14, 18, 19], [20, 24, 16, 23, 31], [21, 25, 27, 28, 26], [30, 35, 33, 32, 34, 36]]
25: [[2, 6, 37, 22, 1, 7], [9, 4, 3, 17, 29], [13, 5, 12, 15, 11], [10, 8, 14, 18, 19], [20, 24, 16, 23, 31], [21, 25, 27, 28, 26], [30, 35, 33, 32, 34, 36]]
26: [[2, 6, 37, 22, 1, 7], [9, 4, 3, 17, 29], [13, 5, 12, 15, 11], [10, 8, 14, 18, 19], [20, 24, 16, 23, 31], [21, 25, 27, 28, 26], [30, 35, 33, 32, 34, 36]]
27: [[2, 6, 37, 22, 1, 7], [9, 4, 3, 17, 29], [13, 5, 12, 15, 11], [10, 8, 14, 18, 19], [20, 24, 16, 23, 31], [21, 25, 27, 28, 26], [30, 35, 33, 32, 34, 36]]
28: [[2, 6, 37, 22, 1, 7], [9, 4, 3, 17, 29], [13, 5, 12, 15, 11], [10, 8, 14, 18, 19], [20, 24, 16, 23, 31], [21, 25, 27, 28, 26], [30, 35, 33, 32, 34, 36]]
29: [[2, 6, 37, 22, 1, 7], [9, 4, 3, 17, 29], [13, 5, 12, 15, 11], [10, 8, 14, 18, 19], [20, 24, 16, 23, 31], [21, 25, 27, 28, 26], [30, 35, 33, 32, 34, 36]]
30: [[2, 6, 37, 22, 1, 7], [9, 4, 3, 17, 29], [13, 5, 12, 15, 11], [10, 8, 14, 18, 19], [20, 24, 16, 23, 31], [21, 25, 27, 28, 26], [30, 35, 33, 32, 34, 36]]
31: [[2, 6, 37, 22, 1, 7], [9, 4, 3, 17, 29], [13, 5, 12, 15, 11], [10, 8, 14, 18, 19], [20, 24, 16, 23, 31], [21, 25, 27, 28, 26], [30, 35, 33, 32, 34, 36]]
32: [[2, 6, 37, 22, 1, 7], [9, 4, 3, 17, 29], [13, 5, 12, 15, 11], [10, 8, 14, 18, 19], [20, 24, 16, 23, 31], [21, 25, 27, 28, 26], [30, 35, 33, 32, 34, 36]]
33: [[2, 6, 37, 22, 1, 7], [9, 4, 3, 17, 29], [13, 5, 12, 15, 11], [10, 8, 14, 18, 19], [20, 24, 16, 23, 31], [21, 25, 27, 28, 26], [30, 35, 33, 32, 34, 36]]
34: [[2, 6, 37, 22, 1, 7], [9, 4, 3, 17, 29], [13, 5, 12, 15, 11], [10, 8, 14, 18, 19], [20, 24, 16, 23, 31], [21, 25, 27, 28, 26], [30, 35, 33, 32, 34, 36]]
35: [[2, 6, 37, 22, 1, 7], [9, 4, 3, 17, 29], [13, 5, 12, 15, 11], [10, 8, 14, 18, 19], [20, 24, 16, 23, 31], [21, 25, 27, 28, 26], [30, 35, 33, 32, 34, 36]]
36: [[2, 6, 37, 22, 1, 7], [9, 4, 3, 17, 29], [13, 5, 12, 15, 11], [10, 8, 14, 18, 19], [20, 24, 16, 23, 31], [21, 25, 27, 28, 26], [30, 35, 33, 32, 34, 36]]
37: [[2, 6, 37, 22, 1, 7], [9, 4, 3, 17, 29], [13, 5, 12, 15, 11], [10, 8, 14, 18, 19], [20, 24, 16, 23, 31], [21, 25, 27, 28, 26], [30, 35, 33, 32, 34, 36]]
38: [[2, 6, 37, 22, 1, 7], [9, 4, 3, 17, 29], [13, 5, 12, 15, 11], [10, 8, 14, 18, 19], [20, 24, 16, 23, 31], [21, 25, 27, 28, 26], [30, 35, 33, 32, 34, 36]]
39: [[2, 6, 37, 22, 1, 7], [9, 4, 3, 17, 29], [13, 5, 12, 15, 11], [10, 8, 14, 18, 19], [20, 24, 16, 23, 31], [21, 25, 27, 28, 26], [30, 35, 33, 32, 34, 36]]
40: [[2, 6, 37, 22, 1, 7], [9, 4, 3, 17, 29], [13, 5, 12, 15, 11], [10, 8, 14, 18, 19], [20, 24, 16, 23, 31], [21, 25, 27, 28, 26], [30, 35, 33, 32, 34, 36]]
41: [[2, 6, 37, 22, 1, 7], [9, 4, 3, 17, 29], [13, 5, 12, 15, 11], [10, 8, 14, 18, 19], [20, 24, 16, 23, 31], [21, 25, 27, 28, 26], [30, 35, 33, 32, 34, 36]]
42: [[2, 6, 37, 22, 1, 7], [9, 4, 3, 17, 29], [13, 5, 12, 15, 11], [10, 8, 14, 18, 19], [20, 24, 16, 23, 31], [21, 25, 27, 28, 26], [30, 35, 33, 32, 34, 36]]
43: [[2, 6, 37, 22, 1, 7], [9, 4, 3, 17, 29], [13, 5, 12, 15, 11], [10, 8, 14, 18, 19], [20, 24, 16, 23, 31], [21, 25, 27, 28, 26], [30, 35, 33, 32, 34, 36]]
44: [[2, 6, 37, 22, 1, 7], [9, 4, 3, 17, 29], [13, 5, 12, 15, 11], [10, 8, 14, 18, 19], [20, 24, 16, 23, 31], [21, 25, 27, 28, 26], [30, 35, 33, 32, 34, 36]]
45: [[2, 6, 37, 22, 1, 7], [9, 4, 3, 17, 29], [13, 5, 12, 15, 11], [10, 8, 14, 18, 19], [20, 24, 16, 23, 31], [21, 25, 27, 28, 26], [30, 35, 33, 32, 34, 36]]
