0: [[7, 13], [8, 11], [3, 5], [1, 4, 2, 6, 9, 10, 12]]
1: [[13, 7], [8, 11], [3, 5], [1, 4, 6, 9, 10, 12, 2]]
2: [[13, 7], [8, 11], [3, 5], [1, 4, 6, 9, 10, 12, 2]]
3: [[13, 7], [8, 11], [3, 5], [1, 4, 6, 9, 10, 12, 2]]
4: [[13, 7], [8, 11], [3, 5], [1, 4, 6, 9, 10, 12, 2]]
5: [[13, 7], [8, 11], [3, 5], [1, 4, 6, 9, 10, 12, 2]]
6: [[13, 7], [8, 11], [3, 5], [1, 4, 6, 9, 10, 12, 2]]
7: [[13, 7], [8, 11], [3, 5], [1, 4, 6, 9, 10, 12, 2]]
8: [[13, 7], [8, 11], [3, 5], [1, 4, 6, 9, 10, 12, 2]]
9: [[13, 7], [8, 11], [3, 5], [1, 4, 6, 9, 10, 12, 2]]
10: [[13, 7], [8, 11], [3, 5], [1, 4, 6, 9, 10, 12, 2]]
11: [[13, 7], [8, 11], [3, 5], [1, 4, 6, 9, 10, 12, 2]]
12: [[13, 7], [8, 11], [3, 5], [1, 4, 6, 9, 10, 12, 2]]
13: [[13, 7], [8, 11], [3, 5], [1, 4, 6, 9, 10, 12, 2]]
14: [[13, 7], [8, 11], [3, 5], [1, 4, 6, 9, 10, 12, 2]]
15: [[13, 7], [8, 11], [3, 5], [1, 4, 6, 9, 10, 12, 2]]
16: [[13, 7], [8, 11], [3, 5], [1, 4, 6, 9, 10, 12, 2]]
17: [[13, 7], [8, 11], [3, 5], [1, 4, 6, 9, 10, 12, 2]]
18: [[13, 7], [8, 11], [3, 5], [1, 4, 6, 9, 10, 12, 2]]
19: [[13, 7], [8, 11], [3, 5], [1, 4, 6, 9, 10, 12, 2]]
20: [[13, 7], [8, 11], [3, 5], [1, 4, 6, 9, 10, 12, 2]]
21: [[13, 7], [8, 11], [3, 5], [1, 4, 6, 9, 10, 12, 2]]
22: [[13, 7], [8, 11], [3, 5], [1, 4, 6, 9, 10, 12, 2]]
23: [[13, 7], [8, 11], [3, 5], [1, 4, 6, 9, 10, 12, 2]]
24: [[13, 7], [8, 11], [3, 5], [1, 4, 6, 9, 10, 12, 2]]
25: [[13, 7], [8, 11], [3, 5], [1, 4, 6, 9, 10, 12, 2]]
26: [[13, 7], [8, 11], [3, 5], [1, 4, 6, 9, 10, 12, 2]]
27: [[13, 7], [8, 11], [3, 5], [1, 4, 6, 9, 10, 12, 2]]
