0: [[3, 1], [7, 5, 2, 8, 10], [14, 6, 4], [11, 12, 13, 9], [16, 15], [18, 20, 17, 19]]
1: [[3, 1], [7, 5, 2, 8, 10], [14, 6, 4], [11, 9, 13], [15, 16], [12, 18, 19, 20, 17]]
2: [[3, 1], [7, 5, 2], [8, 10], [14, 6, 4], [11, 12], [13, 9], [16, 19, 15], [17, 18, 20]]
3: [[3, 1], [7, 5, 2], [10, 8], [14, 12, 15], [11, 13, 4, 9], [16, 6], [18, 17, 19, 20]]
4: [[3, 1], [7, 5, 2], [8, 10], [14, 11, 6, 4], [12, 13, 9], [16, 19, 15], [17, 18, 20]]
5: [[3, 1], [7, 5], [2, 10], [8, 14, 6, 4], [11, 13, 9], [16, 12, 15], [18, 19, 20, 17]]
6: [[3, 1], [7, 5], [2, 8, 10], [14, 6, 4], [11, 13, 15, 12, 16, 9, 18, 19, 17, 20]]
7: [[3, 1], [7, 5], [2, 8, 10], [14, 6, 4], [11, 13, 15, 12, 16, 9, 18, 19, 17, 20]]
8: [[3, 1], [7, 5], [2, 8, 10], [14, 6, 4], [11, 13, 15, 12, 16, 18, 19, 17, 20, 9]]
9: [[3, 1], [7, 5], [2, 8, 10], [14, 6, 4], [11, 12, 13, 15, 17, 20, 16, 18, 19, 9]]
10: [[3, 1], [7, 5, 2], [8, 10], [14, 6], [11, 4], [12, 13, 17, 9], [19, 16, 15], [18, 20]]
11: [[3, 1], [7, 5], [2, 8, 10], [14, 6, 4], [11, 12, 15], [9, 18, 13, 16], [19, 17, 20]]
12: [[3, 1], [7, 5], [2, 8, 10], [14, 6, 4], [11, 12, 15], [13, 18, 9], [16, 19, 17, 20]]
13: [[3, 1], [7, 5, 2], [8, 10, 14], [6, 4, 11], [12, 13, 9], [16, 19, 15, 17], [18, 20]]
14: [[3, 1], [7, 5, 2], [8, 10], [14, 6], [4, 13, 11], [12, 9, 16], [15, 18, 19], [17, 20]]
15: [[3, 1, 7], [5, 2, 8], [10, 14, 6, 4], [12, 11], [13, 9, 16], [18, 20, 19, 17, 15]]
16: [[3, 1], [7, 5], [2, 8, 10], [14, 4, 6, 11], [13, 15, 12, 18, 9], [16, 17], [19, 20]]
17: [[3, 1], [7, 5, 2], [8, 10, 14], [13, 6, 4], [12, 9], [11, 16, 17, 18, 19, 20, 15]]
18: [[3, 1], [7, 5, 2], [8, 10, 14, 4, 12, 13, 6, 15, 16, 9], [11, 19, 17, 20, 18]]
19: [[3, 1], [7, 5], [2, 8, 10], [14, 11], [18, 4], [17, 6, 15, 9], [12, 16, 13], [19, 20]]
20: [[3, 1], [7, 5], [2, 8, 11], [14, 6, 4], [9, 13, 15, 12], [16, 17, 18, 20, 10, 19]]
21: [[3, 1, 7, 5], [2, 8], [10, 14, 6, 4], [11, 12, 13], [19, 15, 16, 18, 17, 20, 9]]
22: [[3, 1], [7, 5], [2, 8, 10], [14, 6], [11, 12, 4], [17, 20, 9], [18, 19, 13, 16, 15]]
23: [[3, 1], [7, 5, 2, 8], [10, 14, 6, 4], [11, 12, 13, 17, 9, 18, 15, 20], [16, 19]]
24: [[3, 1], [7, 5, 2, 8], [10, 14, 6, 11], [4, 13], [9, 12], [17, 15, 18], [16, 19, 20]]
25: [[3, 1, 7, 5, 2], [8, 10, 14, 6, 4, 12, 11, 13, 9, 16], [15, 17, 18, 20, 19]]
26: [[3, 1], [7, 5], [2, 8], [10, 14, 6], [4, 11], [13, 15], [9, 16, 12], [18, 17, 19, 20]]
27: [[3, 1], [7, 5], [2, 8, 10], [14, 4, 12], [9, 6, 13, 11, 15, 16, 17, 18, 19, 20]]
28: [[3, 1, 7], [5, 2, 8], [10, 14, 6], [11, 12, 13, 4], [16, 18, 15, 9], [20, 19, 17]]
29: [[3, 1], [7, 5, 2, 8], [10, 14, 4, 6, 11, 12, 13, 9, 16, 17, 20, 19, 18, 15]]
30: [[3, 1], [7, 5], [2, 8, 14, 13, 4], [10, 12, 11, 16, 15, 17, 18, 19, 20, 6, 9]]
31: [[3, 1, 7, 5], [2, 8], [10, 14, 6, 4], [11, 12, 13, 9, 16, 18, 20, 19, 17, 15]]
32: [[3, 1], [7, 5, 2, 8], [12, 14, 6], [4, 11, 13], [10, 9, 16, 15, 18, 20, 19, 17]]
33: [[3, 1], [7, 5, 2], [8, 10, 14], [6, 4, 11], [12, 15, 9], [18, 13], [16, 19, 17, 20]]
34: [[3, 1], [7, 5], [2, 8], [10, 14], [6, 4, 11], [12, 15, 13], [18, 9, 16, 17, 19, 20]]
35: [[3, 1, 7, 5], [2, 8, 10], [14, 6], [4, 11], [12, 13, 15], [17, 9, 18], [16, 19, 20]]
36: [[3, 1, 7], [5, 2], [8, 10, 14], [11, 12], [13, 17, 4], [20, 16, 6, 15], [19, 18, 9]]
37: [[3, 1], [7, 5, 2], [8, 10, 14, 6, 13, 9, 11, 12, 17, 15, 18, 19, 4], [16, 20]]
38: [[3, 1], [7, 5, 2, 8, 10, 14, 6, 4, 11, 12, 13, 9, 16, 17, 20, 19], [18, 15]]
39: [[3, 1, 7, 5], [2, 8, 10, 14, 13, 4, 11, 15, 6, 12, 16, 20, 18], [19, 17, 9]]
40: [[3, 1, 7, 5], [2, 8, 10, 14, 6, 9, 13, 4, 20, 19, 15, 12], [11, 16, 17, 18]]
41: [[3], [1, 7, 5, 2, 8, 10, 14, 6, 11, 9, 12, 13, 15, 17, 19, 16, 20, 18], [4]]
