0: [[10, 5], [1, 7, 2], [3, 8], [13, 4], [12, 11, 9], [14, 16, 6, 15], [19, 18, 17, 20]]
1: [[10, 5, 1, 7, 2], [3, 8], [13, 4, 14], [12, 15], [6, 9, 11, 16], [19, 18, 20, 17]]
2: [[10, 5], [1, 7, 2], [3, 8], [13, 4, 12], [11, 9, 6], [16, 14, 15], [18, 19, 17, 20]]
3: [[10, 5], [1, 7, 2], [3, 8], [13, 12, 11, 4], [14, 6, 15, 9], [17, 16, 18, 19, 20]]
4: [[10, 5], [1, 7, 2], [3, 8], [13, 4, 14, 6], [9, 15, 18, 12, 19, 11, 17, 16, 20]]
5: [[10, 5], [1, 7, 2], [3, 8], [13, 4, 6], [9, 14, 11], [18, 12, 17], [15, 16, 19, 20]]
6: [[10, 5], [1, 7, 2], [3, 8], [13, 4], [9, 12, 11], [19, 17, 15, 16], [14, 18, 20, 6]]
7: [[10, 5], [1, 7, 2], [3, 8], [13, 4, 6, 9], [14, 11, 18, 12, 17, 15, 16, 19, 20]]
8: [[10, 5], [1, 7], [2, 3, 8], [13, 14, 6, 4], [11, 9], [12, 16, 17, 15], [18, 19, 20]]
9: [[10, 5], [1, 7, 2], [3, 8], [13, 12, 9], [4, 11], [18, 6, 14, 15], [17, 16, 19, 20]]
10: [[10, 5, 1], [7, 2], [3, 8], [13, 12], [20, 4], [11, 18, 9], [14, 16, 6, 15], [17, 19]]
11: [[10, 5], [1, 7, 2], [3, 8], [13, 12, 9], [4, 11], [15, 6, 14], [16, 19, 17, 18], [20]]
12: [[10, 5], [1, 7, 2], [3, 8], [13, 12, 11, 6, 4], [15, 9, 20, 14, 16], [18, 19, 17]]
13: [[10, 5], [1, 7, 2, 3, 8], [13, 12, 4, 6], [11, 9, 14, 15], [17, 19, 18, 16, 20]]
14: [[10, 5, 1, 7, 2], [3, 6, 4, 9], [8, 11, 14], [13, 12, 15], [16, 19, 18, 17, 20]]
15: [[10, 5], [1, 7, 2], [3, 8], [13, 12], [11, 14, 6], [20], [16, 18, 17, 19, 4, 15, 9]]
16: [[10, 5], [1, 7, 2], [3, 8], [13, 12], [4, 14, 11], [6, 16, 9, 15, 19, 18, 20], [17]]
17: [[10, 5, 1, 7, 2, 3, 8, 13, 6], [11, 4, 9, 14], [15, 20, 12, 17, 16, 19, 18]]
18: [[10, 5], [1, 7, 2], [3, 8, 13], [14, 6], [4, 9, 11, 18], [12, 15, 19, 16, 20, 17]]
19: [[10, 5], [1, 7, 2], [3, 8], [12, 9], [13, 4, 17], [11, 6, 14], [15, 18], [16, 19, 20]]
20: [[10, 5], [1, 7, 2], [3, 8], [13, 12, 6], [4, 15, 11, 9], [14, 16, 17, 18, 19, 20]]
21: [[10, 5, 1, 7], [2, 3, 8], [13, 11, 16, 4], [14, 12, 19, 6, 15, 9], [17, 18, 20]]
22: [[10, 5, 1, 7], [2, 3, 8, 4], [13, 12, 9, 11, 6, 14, 15, 19, 16, 18, 17, 20]]
23: [[10, 5, 1, 7], [2, 3, 8, 13, 12, 4, 9], [11, 18, 6, 14, 15, 17, 16, 19, 20]]
24: [[10, 5], [1, 7], [2, 3, 8], [13, 12], [11, 4, 9], [19], [14, 6], [18, 16, 17, 20, 15]]
25: [[10, 5, 1, 7], [2, 3, 8, 13, 4, 14, 12, 9, 11, 6, 16, 15, 19], [18, 17, 20]]
26: [[10, 5], [1, 7, 2], [3, 8], [13, 12, 11, 14], [4, 20, 16], [6, 17], [19, 9, 15, 18]]
27: [[10, 5, 1], [7, 2, 6], [3, 8, 13], [14, 11, 18, 4, 9], [12, 17], [16, 19, 20, 15]]
28: [[10, 5], [1, 2, 7], [3, 8, 13], [12, 11, 4], [9, 15], [6, 14, 17], [18, 16, 19, 20]]
29: [[10, 5, 1, 2], [7], [3], [8, 13], [14, 11, 6, 4], [20, 12, 17, 9], [15, 16, 19, 18]]
30: [[10, 5], [1, 7, 2], [3, 8], [13, 6, 4], [11], [9, 15, 19, 12], [14, 18], [16, 17, 20]]
31: [[10, 5, 1, 7], [2, 3, 8, 13, 12, 4, 16], [17, 15, 6, 11, 14, 9, 19, 20, 18]]
32: [[10, 5], [1, 7], [2, 3, 6], [8, 13, 4], [14, 12, 15], [11, 17, 9], [18, 19, 16, 20]]
33: [[10, 5], [1, 7], [2, 3, 8], [13, 12, 4, 6], [15, 9, 11, 14, 16, 17, 18, 19, 20]]
34: [[10, 5, 1, 7], [2, 3, 8, 13], [12, 11, 20, 4, 6, 14, 17], [9, 15, 18, 16, 19]]
35: [[10, 5, 1, 7], [2, 3, 8, 13, 4], [14, 11], [20, 12, 15, 9], [16, 19, 6], [18, 17]]
36: [[10, 5, 1], [7, 2, 6], [3, 8, 13, 15, 20, 14, 11, 4, 9], [12, 16, 17, 18], [19]]
37: [[10, 5], [1, 7], [2, 3], [8, 13, 12, 11], [6, 4, 9, 14], [17, 15], [16, 19, 18, 20]]
38: [[10, 5], [1, 7], [2, 3, 6], [8, 13, 12], [14, 20, 17, 4], [11], [18, 16, 19, 15, 9]]
39: [[10, 5], [1, 6, 3], [15], [8, 13, 12, 11, 14, 2, 7], [4, 16, 9, 19, 17, 18, 20]]
40: [[10, 5], [1, 7], [2, 3, 4], [8, 13, 12, 14], [15, 6, 9], [11, 16, 18], [19, 20, 17]]
41: [[10, 5, 1], [6, 3, 2], [4, 12, 7, 11, 14, 8, 13, 18, 15, 9, 17, 16, 19, 20]]
