0: [[21, 26], [7, 15, 10], [25, 5], [2, 16, 1, 17, 6, 13, 9, 19, 18, 22], [4, 8, 12, 11], [3, 20], [27, 29, 23, 14], [28, 24]]
1: [[21, 26], [7, 15, 10], [25, 5], [2, 16, 1, 17, 6], [13, 9, 19, 18], [22, 4, 8, 12, 11, 3], [20, 27, 29, 23, 14], [28, 24]]
2: [[21, 26], [7, 15, 10], [25, 5], [2, 16, 1], [17, 6], [13, 9], [19, 18, 22], [4, 8, 11, 12, 3], [27, 29], [23, 28], [24, 20, 14]]
3: [[21, 26], [7, 15, 10], [25, 5], [2, 16, 1, 17, 6, 13, 9, 19, 18, 22], [4, 8], [12, 11, 3, 20, 27, 29], [23, 14, 28, 24]]
4: [[21, 26], [7, 15, 10], [25, 5], [2, 16, 1, 17, 6, 13, 9], [19, 18, 22, 4], [8, 12], [11, 3, 20], [27, 29, 23, 14, 28, 24]]
5: [[21, 26], [7, 15, 10], [25, 5], [2, 16, 1], [17, 6, 13], [9, 19, 18], [22, 4], [8, 12], [11, 3, 20], [27, 29, 23, 14, 28, 24]]
6: [[21, 26], [7, 15, 10], [25, 5], [2, 16], [1, 17, 6, 13, 9, 19, 22, 18, 4, 11, 8, 3, 20, 12, 27], [29, 23, 14, 28, 24]]
7: [[21, 26], [7, 15, 10], [25, 5], [2, 16, 1, 17, 6, 13, 9, 19, 18, 22, 4, 8], [12, 11, 3, 27, 29, 23, 28, 24, 20, 14]]
8: [[21, 26], [7, 15, 10], [25, 5], [2, 16], [1, 17, 6], [13, 9], [19, 18, 22, 4], [8, 12, 11], [3, 20, 27], [29, 23, 14, 28, 24]]
9: [[21, 26], [7, 15, 10], [25, 5], [2, 16], [1, 17, 6], [13, 11, 18, 9], [4, 8, 19], [3, 12, 22, 20], [27, 29, 23, 28, 24, 14]]
10: [[21, 26], [7, 15, 10], [25, 5], [2, 16, 1], [17, 6], [13, 9], [19, 18, 22, 4, 8, 12], [11, 3, 20, 27, 29, 23, 14, 28, 24]]
11: [[21, 26], [7, 15, 10], [25, 5], [2, 16, 1], [17, 6, 13], [9, 19, 18], [22, 4], [8, 11], [3, 20], [12, 27, 29], [23, 14], [28, 24]]
12: [[21, 26], [7, 15, 10], [25, 5], [2, 16, 1], [17, 6], [13, 9, 19], [18, 22, 4, 8, 12], [11, 3, 20, 27, 29, 23, 14, 28, 24]]
13: [[21, 26], [7, 15, 10], [25, 5], [2, 16], [1, 17, 6], [13, 9, 19], [18, 22, 4, 8], [12, 11, 3], [20, 27], [29, 23, 14, 28, 24]]
14: [[21, 26], [7, 15, 10], [25, 5], [2, 16, 1], [17, 6], [13, 9], [19, 18, 22], [4, 8], [12, 11], [3, 20, 27, 29, 23, 14, 28, 24]]
15: [[21, 26], [7, 15, 10], [25, 5], [2, 16], [1, 17, 6], [13, 9, 19, 18], [22, 4, 8], [12, 11], [3, 20, 27, 29, 23, 14, 28, 24]]
16: [[21, 26], [7, 15, 10], [25, 5], [2, 16, 1], [17, 6], [13, 9], [22, 19, 18, 4, 8, 12, 11, 3, 20, 27, 29, 23, 14, 28, 24]]
17: [[21, 26], [7, 15, 10], [25, 5], [2, 16, 1], [17, 6, 13, 9, 22, 19, 18, 4, 8, 11, 12, 3, 27, 29, 20, 23, 14, 28, 24]]
18: [[21, 26], [7, 15], [10, 25, 5], [2, 16], [1, 17, 6], [13, 9, 19], [18, 22], [4, 8, 12], [11, 3, 20], [27, 29], [23, 14], [28, 24]]
19: [[21, 26], [7, 15, 10], [25, 5], [2, 16], [1, 17, 6], [13, 9, 19], [18, 22, 4], [8, 12, 11, 3, 20, 27, 29, 23, 14, 24, 28]]
20: [[21, 26], [7, 15, 10], [25, 5], [2, 16, 1], [17, 6], [13, 9, 19, 18], [22, 4, 8], [12, 11, 3], [20, 27], [29, 23], [28, 24, 14]]
21: [[21, 26], [7, 15], [10, 25, 5, 2, 16, 1, 17, 6, 13, 9], [19, 18, 22], [4, 8, 12, 11, 3], [20, 27, 29, 23, 14, 28, 24]]
22: [[21, 26], [7, 15, 10], [25, 5], [2, 16, 1], [17, 6, 13], [9, 19, 18], [22, 4], [8, 12], [11, 3, 20, 27, 29, 23], [14, 24, 28]]
23: [[21, 26], [7, 15], [10, 25, 5, 2, 16, 1, 17, 6, 13, 9], [19, 18, 22, 4, 8, 12, 11, 3, 20, 27, 29, 23, 14], [28, 24]]
24: [[21, 26], [7, 15, 10], [25, 5, 2, 16], [1, 17], [6, 13, 9, 19, 18, 22, 4, 8, 12, 11], [3, 20], [27, 29, 23, 14, 28, 24]]
25: [[21, 26], [7, 15], [25, 5, 10], [2, 16, 1], [17, 6, 13], [9, 19, 18, 22], [4, 8], [11, 3, 20, 27, 29, 23, 24, 28, 12, 14]]
26: [[21, 26], [7, 15, 10], [25, 5, 2, 16], [1, 17], [6, 13, 9], [19, 18, 22], [4, 8, 12], [11, 3], [20, 27], [29, 23, 14], [28, 24]]
27: [[21, 26, 7], [15, 10], [25, 5], [2, 16, 1, 17, 6, 13, 9, 19, 18, 22, 4, 8, 12, 11, 3], [20, 27, 29, 23, 14, 28, 24]]
28: [[21, 26, 7, 15, 10], [25, 5], [2, 16, 1], [17, 6, 13, 9], [19, 18, 22, 4, 8, 12, 11, 3, 20, 27, 29, 23, 14, 28, 24]]
29: [[21, 26], [7, 15], [10, 25, 5], [2, 16], [1, 17, 6], [13, 9], [19, 22, 18], [4, 12, 8], [11, 3], [20, 27, 29, 23, 28], [24, 14]]
30: [[21, 26], [7, 15, 10, 25, 5, 2, 16, 1, 17, 6, 13, 9, 19, 18], [22, 4, 8, 11, 3, 20, 12, 27, 29, 23, 14, 24, 28]]
31: [[21, 26], [7, 15, 10, 25, 5, 2, 16, 1, 17, 6], [13, 9, 19, 18], [22, 4], [8, 12, 11, 3], [20, 27], [29, 23, 14, 28, 24]]
32: [[21, 26], [7, 15], [10, 25, 5, 2, 16, 1, 17, 6, 13, 9, 19, 18, 22, 4, 8, 12, 11, 3], [27, 29, 23, 28, 24, 20, 14]]
33: [[21, 26], [7, 15, 10], [25, 5, 2, 16], [1, 17], [6, 13], [9, 19, 18, 22, 4, 8, 12], [11, 3], [20, 27, 29, 23, 14, 28, 24]]
34: [[21, 26, 7], [15, 10], [25, 5], [2, 16], [1, 17], [6, 13], [9, 19, 18, 22], [4, 8, 11], [3, 20, 27], [29, 23, 28, 24], [12, 14]]
35: [[21, 26], [7, 15], [10, 25, 5], [2, 16, 1, 17, 6, 13], [9, 19, 18, 22, 4, 8, 12, 11, 3, 20, 27, 29, 23, 14, 28, 24]]
36: [[21, 26], [7, 15], [10, 25, 5], [2, 16], [1, 17, 6], [13, 9, 19], [18, 22], [4, 8], [12, 11, 3, 20], [27, 29, 23], [14, 28, 24]]
37: [[21, 26], [7, 15], [10, 25, 5], [2, 16], [1, 17, 6], [13, 9, 19], [18, 22], [4, 8], [12, 11, 3, 20], [27, 29, 23], [14, 28, 24]]
38: [[21, 26], [7, 15, 10], [25, 5, 2], [16, 1, 17], [6, 13, 9], [19, 18, 22, 4], [8, 11, 3], [20, 12, 27], [29, 23, 14], [28, 24]]
39: [[21, 26], [7, 15, 10], [25, 5, 2, 16], [1, 17], [6, 13, 9, 19, 18, 22], [4, 8, 12, 11, 3, 20, 27, 29, 23, 14, 28, 24]]
40: [[21, 26], [7, 15], [10, 25, 5], [2, 16, 1], [17, 6, 13], [9, 19], [18, 22], [4, 8, 12], [11, 3, 20, 27, 29, 23], [14, 28, 24]]
41: [[21, 26], [7, 15, 10], [25, 5, 2, 16, 1, 17, 6, 13, 11, 18, 9, 4, 8, 19], [3, 12, 22, 20, 27, 29, 23, 28, 24, 14]]
42: [[21, 26], [7, 15, 10, 25], [5, 2, 16, 1], [17, 6], [13, 9], [19, 18, 22, 4], [8, 12], [11, 3, 20], [27, 29, 23, 14, 28, 24]]
43: [[21, 26], [7, 15, 10], [25, 5, 2], [16, 1], [17, 6, 13], [9, 19, 18, 22, 4, 8], [12, 11, 3, 20, 27, 29, 23, 14, 28, 24]]
44: [[21, 26], [7, 15], [10, 25, 5, 2, 16, 1, 17, 6, 13, 9, 19, 18, 22, 4, 8, 12, 11, 3, 20, 27, 29, 23, 14, 28, 24]]
45: [[21, 26], [7, 15, 10], [25, 5, 2], [16, 1, 17], [6, 13, 9, 19, 18, 22, 4, 8, 12, 11, 3, 20, 27, 29, 23, 14, 28, 24]]
46: [[21, 26], [7, 15, 10], [25, 5, 2], [16, 1], [17, 6, 13], [9, 19, 18], [22, 4, 8], [12, 11], [3, 20], [27, 29, 23], [14, 28, 24]]
47: [[21, 26], [7, 15], [10, 25, 5, 2, 16, 1, 17], [6, 13], [9, 19, 18, 22, 4, 8, 12, 11, 3, 20, 27, 29, 23, 14, 28, 24]]
48: [[21, 26], [7, 15, 10], [25, 5, 2, 16], [1, 17, 6, 13, 11, 18], [9, 4, 8, 19, 3, 12, 22, 20, 27, 29, 23, 28, 24, 14]]
49: [[21, 26, 7], [15, 10, 25, 5], [2, 16], [1, 17, 6], [13, 9, 19], [18, 22], [4, 8, 12], [11, 3], [20, 27, 29], [23, 14], [28, 24]]
50: [[21, 26], [7, 15], [10, 25, 5, 2], [16, 1, 17], [6, 13, 9], [19, 18, 22], [4, 8], [12, 11, 3], [20, 27], [29, 23], [14, 24, 28]]
51: [[21, 26], [7, 15], [10, 25, 5], [2, 16], [1, 17], [6, 13, 11], [18, 9, 4, 8], [19, 3, 12], [22, 20, 27, 29], [23, 28, 24, 14]]
52: [[21, 26], [7, 15, 10, 25], [5, 2], [16, 1, 17, 6, 13, 9, 19, 18, 22, 4, 8, 12, 11, 3, 20, 27, 29, 23, 14, 28, 24]]
53: [[21, 26], [7, 15, 10, 25], [5, 2], [16, 1, 17], [6, 13, 9, 19, 18, 22, 4, 8, 12, 11, 3, 20, 27, 29, 23, 14, 28, 24]]
54: [[21, 26], [7, 15, 10, 25], [5, 2], [16, 1], [17, 6, 13], [9, 19, 18, 22, 4, 8, 12, 11, 3, 20, 27, 29, 23, 14, 28, 24]]
55: [[21, 26], [7, 15, 10], [25, 5, 2], [16, 1], [17, 6, 13], [9, 19], [18, 22, 4], [8, 12], [11, 3], [20, 27, 29, 23], [14, 28, 24]]
56: [[21, 26, 7], [15, 10, 25], [5, 2], [16, 1, 17, 6], [13, 9, 19], [18, 22], [4, 8, 12, 11], [3, 20], [27, 29, 23], [14, 28, 24]]
57: [[21, 26], [7, 15], [10, 25], [5, 2], [16, 1], [17, 6], [13, 9], [19, 18, 22, 4], [8, 11, 3, 20], [27, 29, 23], [28, 24, 12, 14]]
58: [[21, 26, 7], [15, 10], [25, 5, 2], [16, 1, 17], [6, 13, 9], [19, 18], [4, 12, 11], [8, 3], [20, 27, 29], [23, 22], [14, 24, 28]]
59: [[21, 26, 7], [15, 10, 25], [5, 2], [16, 1, 17], [6, 13], [9, 19], [18, 22], [4, 8], [12, 11], [3, 20], [27, 23], [28, 24, 29, 14]]
