0: [[21, 3, 20, 5, 6, 25, 10], [1, 9], [15, 8, 7, 11], [4, 12], [13, 23, 17, 22], [19, 16, 2, 18], [27, 26], [24, 28], [14, 29]]
1: [[21, 3, 20, 5, 6, 25, 10], [1, 9], [15, 8, 7, 11], [4, 12], [13, 23, 17, 22], [19, 16, 2, 18], [27, 26], [24, 28], [29, 14]]
2: [[21, 3, 20, 5, 6, 25, 10], [1, 9], [15, 8, 7, 11], [4, 12], [13, 23, 17, 22], [19, 16, 2, 18], [27, 26], [24, 28], [29, 14]]
3: [[21, 3, 20, 5, 6, 25, 10], [1, 9], [15, 8, 7, 11], [4, 12], [13, 23, 17, 22], [19, 16, 2, 18], [27, 26], [24, 28], [29, 14]]
4: [[21, 3, 20, 5, 6, 25, 10], [1, 9], [15, 8, 7, 11], [4, 12], [13, 23, 17, 22], [19, 16, 2, 18], [27, 26], [24, 28], [29, 14]]
5: [[21, 3, 20, 5, 6, 25, 10], [1, 9], [15, 8, 7, 11], [4, 12], [13, 23, 17, 22], [19, 16, 2, 18], [27, 26], [24, 28], [29, 14]]
6: [[21, 3, 20, 5, 6, 25, 10], [1, 9], [15, 8, 7, 11], [4, 12], [13, 23, 17, 22], [19, 16, 2, 18], [27, 26], [24, 28], [29, 14]]
7: [[21, 3, 20, 5, 6, 25, 10], [1, 9], [15, 8, 7, 11], [4, 12], [13, 23, 17, 22], [19, 16, 2, 18], [27, 26], [24, 28], [14, 29]]
8: [[21, 3, 20, 5, 6, 25, 10], [1, 9], [15, 8, 7, 11], [4, 12], [13, 23, 17, 22], [19, 16, 2, 18], [27, 26], [24, 28], [14, 29]]
9: [[21, 3, 20, 5, 6, 25, 10], [1, 9], [15, 8, 7, 11], [4, 12], [13, 23, 17, 22], [19, 16, 2, 18], [27, 26], [24, 28], [14, 29]]
10: [[21, 3, 20, 5, 6, 25, 10], [1, 9], [15, 8, 7, 11], [4, 12], [13, 23, 17, 22], [19, 16, 2, 18], [27, 26], [24, 28], [14, 29]]
11: [[21, 3, 20, 5, 6, 25, 10], [1, 9], [15, 8, 7, 11], [4, 12], [13, 23, 17, 22], [19, 16, 2, 18], [27, 26], [24, 28], [14, 29]]
12: [[21, 3, 20, 5, 6, 25, 10], [1, 9], [15, 8, 7, 11], [4, 12], [13, 23, 17, 22], [19, 16, 2, 18], [27, 26], [24, 28], [14, 29]]
13: [[21, 3, 20, 5, 6, 25, 10], [1, 9], [15, 8, 7, 11], [4, 12], [13, 23, 17, 22], [19, 16, 2, 18], [27, 26], [24, 28], [14, 29]]
14: [[21, 3, 20, 5, 6, 25, 10], [1, 9], [15, 8, 7, 11], [4, 12], [13, 23, 17, 22], [19, 16, 2, 18], [27, 26], [24, 28], [14, 29]]
15: [[21, 3, 20, 5, 6, 25, 10], [1, 9], [15, 8, 7, 11], [4, 12], [13, 23, 17, 22], [19, 16, 2, 18], [27, 26], [24, 28], [14, 29]]
16: [[21, 3, 20, 5, 6, 25, 10], [1, 9], [15, 8, 7, 11], [4, 12], [13, 23, 17, 22], [19, 16, 2, 18], [27, 26], [24, 28], [14, 29]]
17: [[21, 3, 20, 5, 6, 25, 10], [1, 9], [15, 8, 7, 11], [4, 12], [13, 23, 17, 22], [19, 16, 2, 18], [27, 26], [24, 28], [14, 29]]
18: [[21, 3, 20, 5, 6, 25, 10], [1, 9], [15, 8, 7, 11], [4, 12], [13, 23, 17, 22], [19, 16, 2, 18], [27, 26], [24, 28], [14, 29]]
19: [[21, 3, 20, 5, 6, 25, 10], [1, 9], [15, 8, 7, 11], [4, 12], [13, 23, 17, 22], [19, 16, 2, 18], [27, 26], [24, 28], [14, 29]]
20: [[21, 3, 20, 5, 6, 25, 10], [1, 9], [15, 8, 7, 11], [4, 12], [13, 23, 17, 22], [19, 16, 2, 18], [27, 26], [24, 28], [14, 29]]
21: [[21, 3, 20, 5, 6, 25, 10], [1, 9], [15, 8, 7, 11], [4, 12], [13, 23, 17, 22], [19, 16, 2, 18], [27, 26], [24, 28], [14, 29]]
22: [[21, 3, 20, 5, 6, 25, 10], [1, 9], [15, 8, 7, 11], [4, 12], [13, 23, 17, 22], [19, 16, 2, 18], [27, 26], [24, 28], [14, 29]]
23: [[21, 3, 20, 5, 6, 25, 10], [1, 9], [15, 8, 7, 11], [4, 12], [13, 23, 17, 22], [19, 16, 2, 18], [27, 26], [24, 28], [14, 29]]
24: [[21, 3, 20, 5, 6, 25, 10], [1, 9], [15, 8, 7, 11], [4, 12], [13, 23, 17, 22], [19, 16, 2, 18], [27, 26], [24, 28], [14, 29]]
25: [[21, 3, 20, 5, 6, 25, 10], [1, 9], [15, 8, 7, 11], [4, 12], [13, 23, 17, 22], [19, 16, 2, 18], [27, 26], [24, 28], [14, 29]]
26: [[21, 3, 20, 5, 6, 25, 10], [1, 9], [15, 8, 7, 11], [4, 12], [13, 23, 17, 22], [19, 16, 2, 18], [27, 26], [24, 28], [14, 29]]
27: [[21, 3, 20, 5, 6, 25, 10], [1, 9], [15, 8, 7, 11], [4, 12], [13, 23, 17, 22], [19, 16, 2, 18], [27, 26], [24, 28], [14, 29]]
28: [[21, 3, 20, 5, 6, 25, 10], [1, 9], [15, 8, 7, 11], [4, 12], [13, 23, 17, 22], [19, 16, 2, 18], [27, 26], [24, 28], [14, 29]]
29: [[21, 3, 20, 5, 6, 25, 10], [1, 9], [15, 8, 7, 11], [4, 12], [13, 23, 17, 22], [19, 16, 2, 18], [27, 26], [24, 28], [14, 29]]
30: [[21, 3, 20, 5, 6, 25, 10], [1, 9], [15, 8, 7, 11], [4, 12], [13, 23, 17, 22], [19, 16, 2, 18], [27, 26], [24, 28], [14, 29]]
31: [[21, 3, 20, 5, 6, 25, 10], [1, 9], [15, 8, 7, 11], [4, 12], [13, 23, 17, 22], [19, 16, 2, 18], [27, 26], [24, 28], [14, 29]]
32: [[21, 3, 20, 5, 6, 25, 10], [1, 9], [15, 8, 7, 11], [4, 12], [13, 23, 17, 22], [19, 16, 2, 18], [27, 26], [24, 28], [14, 29]]
33: [[21, 3, 20, 5, 6, 25, 10], [1, 9], [15, 8, 7, 11], [4, 12], [13, 23, 17, 22], [19, 16, 2, 18], [27, 26], [24, 28], [14, 29]]
34: [[21, 3, 20, 5, 6, 25, 10], [1, 9], [15, 8, 7, 11], [4, 12], [13, 23, 17, 22], [19, 16, 2, 18], [27, 26], [24, 28], [14, 29]]
35: [[21, 3, 20, 5, 6, 25, 10], [1, 9], [15, 8, 7, 11], [4, 12], [13, 23, 17, 22], [19, 16, 2, 18], [27, 26], [24, 28], [14, 29]]
36: [[21, 3, 20, 5, 6, 25, 10], [1, 9], [15, 8, 7, 11], [4, 12], [13, 23, 17, 22], [19, 16, 2, 18], [27, 26], [24, 28], [14, 29]]
37: [[21, 3, 20, 5, 6, 25, 10], [1, 9], [15, 8, 7, 11], [4, 12], [13, 23, 17, 22], [19, 16, 2, 18], [27, 26], [24, 28], [14, 29]]
38: [[21, 3, 20, 5, 6, 25, 10], [1, 9], [15, 8, 7, 11], [4, 12], [13, 23, 17, 22], [19, 16, 2, 18], [27, 26], [24, 28], [14, 29]]
39: [[21, 3, 20, 5, 6, 25, 10], [1, 9], [15, 8, 7, 11], [4, 12], [13, 23, 17, 22], [19, 16, 2, 18], [27, 26], [24, 28], [14, 29]]
40: [[21, 3, 20, 5, 6, 25, 10], [1, 9], [15, 8, 7, 11], [4, 12], [13, 23, 17, 22], [19, 16, 2, 18], [27, 26], [24, 28], [14, 29]]
41: [[21, 3, 20, 5, 6, 25, 10], [1, 9], [15, 8, 7, 11], [4, 12], [13, 23, 17, 22], [19, 16, 2, 18], [27, 26], [24, 28], [14, 29]]
42: [[21, 3, 20, 5, 6, 25, 10], [1, 9], [15, 8, 7, 11], [4, 12], [13, 23, 17, 22], [19, 16, 2, 18], [27, 26], [24, 28], [14, 29]]
43: [[21, 3, 20, 5, 6, 25, 10], [1, 9], [15, 8, 7, 11], [4, 12], [13, 23, 17, 22], [19, 16, 2, 18], [27, 26], [24, 28], [14, 29]]
