0: [[24, 8, 4], [11, 17, 2, 7, 1, 6, 9, 13, 18, 3, 15, 16, 22, 19, 10, 12, 14], [20, 25, 5], [27, 26, 21], [23, 28, 29]]
1: [[24, 8, 4], [11, 17, 2], [7, 1, 6, 9, 13, 18, 3, 15, 16, 22, 19, 10, 12, 14], [20, 25, 5], [27, 26, 21], [23, 28, 29]]
2: [[24, 8, 4], [11, 17, 2, 7], [1, 6, 9], [13, 18, 3, 15, 16, 19, 10, 12, 22, 14], [20, 25, 5], [27, 26, 21], [23, 28, 29]]
3: [[24, 8, 4, 11, 17, 2, 7, 1, 6, 9, 13, 18, 3, 15, 16, 22, 19], [10, 12, 14], [20, 25, 5], [27, 26, 21], [23, 28, 29]]
4: [[24, 8, 4], [11, 17, 2], [7, 1, 6], [9, 13], [18, 3, 15], [16, 22, 19], [10, 12, 14], [20, 25, 5], [27, 26, 21], [23, 28, 29]]
5: [[24, 8, 4], [11, 17, 2, 7, 1, 3, 9, 13, 5, 10, 6, 12], [23, 14, 15], [20, 16, 28], [19, 18, 22], [26, 21, 27, 29, 25]]
6: [[24, 8, 4, 10], [19, 2, 7, 1, 6], [5, 9], [11, 3, 12, 13], [22, 26, 18, 21, 14], [15, 16, 17], [20, 27, 25], [23, 28, 29]]
7: [[24, 8, 4, 12], [19, 2, 7, 1], [6, 10, 5, 3], [11, 14, 9, 15], [13, 17, 16, 18], [23, 20, 21, 22], [26, 28, 29, 27, 25]]
8: [[24, 8, 4], [10, 19, 2, 7, 1, 6, 9], [13, 5, 3, 11, 12, 23, 25, 14, 15, 16, 20, 17, 22, 26, 18], [21, 27, 29, 28]]
9: [[24, 8, 4, 12], [19, 2, 7, 1], [3, 10, 6], [5, 11, 14, 9, 13], [15, 25, 20, 17, 16], [18, 21, 23, 27, 22, 28, 26, 29]]
10: [[24, 8, 4, 12], [25, 16, 7], [1, 5, 6], [13, 9, 2], [15, 10, 22, 20], [14, 3, 11], [17, 18, 19], [29, 26, 21], [23, 27, 28]]
11: [[24, 8, 4, 12], [19, 2, 7, 1], [6, 9, 3, 10, 11, 5, 13, 29, 15, 14, 20, 17, 23, 16, 21, 18, 26, 27, 22, 25, 28]]
12: [[24, 8, 4, 12], [19, 2, 7], [1, 3, 5, 6, 10], [11, 9], [13, 15, 14, 16, 20], [18, 23, 17, 25], [21, 27, 22, 26, 29, 28]]
13: [[24, 8, 4, 12], [19, 2, 7, 1], [6, 10, 5, 3, 9, 14], [15, 11, 17, 16], [20, 23, 21, 22, 26, 27], [18, 25, 28, 29], [13]]
14: [[24, 8, 4, 12], [19, 2, 7, 1, 6, 9], [13, 5, 3, 14, 11, 10, 15, 26, 16, 18, 28, 17, 22, 23, 21, 20, 29, 25, 27]]
15: [[24, 8, 4, 12], [19, 2, 7, 1], [3, 10, 5, 6, 9, 14], [15, 11, 16, 17], [20, 22, 21, 23, 26, 27], [18, 25, 28, 29], [13]]
16: [[24, 8, 4, 12], [19, 2, 7, 1], [3, 10, 5, 6, 9, 14], [15, 11, 16, 17], [20, 22, 21, 23, 26, 27], [18, 25, 28, 29], [13]]
17: [[24, 8, 4, 12], [19, 2, 7, 1], [3, 10, 5, 16, 9], [15, 6, 11, 14, 17, 20, 22, 21, 18, 26, 27, 23, 25, 28, 29, 13]]
18: [[24, 8, 4, 12], [19, 2, 7, 1], [5, 13, 9, 6, 3, 10, 11, 14, 15], [25, 18, 16, 23, 17, 22, 20, 21, 28, 29, 26, 27]]
19: [[24, 8, 4, 12], [19, 2, 7, 1], [6, 9, 3, 5], [11, 14, 10, 13, 15, 17, 22, 18, 20, 16, 21, 26], [29, 23, 25, 28, 27]]
20: [[24, 8, 4, 12], [19, 2, 7, 1, 6, 9], [5, 13, 3, 22, 11], [10, 15, 26, 16, 14, 29, 20], [17, 23, 18, 28, 25, 21, 27]]
21: [[24, 8, 4, 12], [19, 2, 7, 1, 6, 10, 9, 5], [3, 11, 14, 13], [15, 25, 21], [16, 20, 18, 22, 23], [17, 26, 27, 28, 29]]
22: [[24, 8, 4, 12], [19, 2, 7, 1, 6, 9], [14, 5, 11, 3, 10], [13, 15, 17, 21, 16, 20, 18, 22, 26, 23], [25, 29, 27, 28]]
23: [[24, 8, 4, 12], [19, 2, 7, 1, 6], [9, 13, 5, 3, 14], [11, 10, 25, 26, 15, 22, 18, 17, 23, 16, 20, 29, 21, 28, 27]]
24: [[24, 8, 4, 12], [19, 2, 7, 1], [6, 9, 13], [5, 3, 14, 11], [10, 29, 26, 16, 18], [28, 17, 15, 23], [21, 20, 22, 25, 27]]
25: [[24, 8, 4], [12, 19, 2, 7, 1, 6, 9], [3, 5, 11, 22, 10, 13, 29, 14, 17, 16, 23, 20, 18, 25, 15, 26, 21, 27, 28]]
26: [[24, 8, 4, 12], [19, 2, 7, 1, 6, 9, 3], [13, 5, 10, 11], [29, 15, 14, 21, 16, 20, 17, 23, 22, 18, 26, 25, 27, 28]]
27: [[24, 8, 4, 12], [19, 2, 7, 1, 6], [9, 5], [21, 3, 14, 11], [10, 13, 25, 16], [18, 15, 17, 22, 23], [26, 20, 29, 28, 27]]
28: [[24, 8, 4, 12], [19, 2, 7], [1, 6, 5, 3], [13, 11, 9], [14, 10, 15, 17, 16, 21], [20, 22, 18, 29], [27], [25, 26, 28, 23]]
29: [[24, 8, 4, 12], [19, 2, 7, 1], [6, 3, 9], [5, 11, 14, 10], [22, 17, 13, 18], [21, 15, 16], [20, 26], [25, 29, 23, 28], [27]]
30: [[24, 8, 4, 12], [19, 2, 7, 1, 6, 9, 5, 11], [3, 10, 13, 15, 21, 14], [17, 16, 20, 22, 23], [18, 27, 25, 28, 26, 29]]
31: [[24, 8, 4, 12], [19, 2, 7, 1], [6, 5, 3, 9], [11, 14, 10, 15], [13, 17, 16, 20], [22, 18, 21, 23], [25, 26, 27, 28], [29]]
32: [[24, 8, 4, 12], [19, 2, 7, 1], [6, 10, 13], [3, 5, 14, 11], [22, 9, 18, 15], [16, 17, 21, 25, 23, 26], [20, 29, 28, 27]]
