0: [[35, 7, 2], [1, 3, 4], [8, 5, 14, 30, 11, 9, 22, 15, 13, 12, 16, 18, 10], [21, 6, 17], [19, 24, 20, 23, 31, 27, 26, 25, 28, 32, 50], [37, 36, 43, 45], [29, 41, 40, 38, 44, 33, 39, 47, 48, 58, 42], [34, 46, 51, 55, 53, 52, 56, 54, 59], [49, 60, 57]]
1: [[35, 7, 2, 1, 3], [4, 8, 21, 13, 6, 12, 15, 30, 5, 10, 9, 28, 31, 22, 18, 16, 24, 11, 19, 14, 17, 20, 23, 27, 25, 26, 29, 50, 36, 32, 55, 40, 33, 34, 45, 38, 39, 37, 42, 44, 43, 53, 46, 41, 59, 54, 56, 48, 52, 47, 51], [49, 58, 60, 57]]
2: [[35, 7, 2], [1, 3, 4], [8, 21, 13, 5, 23, 6, 28, 11, 9, 25, 10, 12, 14, 31, 20, 24], [15, 17, 18, 16, 19, 26, 22, 27, 56, 29, 50, 33, 39, 58, 44, 32, 30, 34, 47, 37, 42, 36, 38, 40, 45, 46, 41, 43], [49, 48, 55, 51, 52, 54, 53, 59, 57, 60]]
3: [[35, 7, 2], [1, 3, 4], [8, 21, 13, 6], [5, 9, 14, 10, 27, 11, 24, 26, 12, 15], [17, 16, 23, 18, 20, 19, 22, 31, 25, 30, 29, 28, 50, 37, 54, 58, 34, 33, 41, 40, 38, 42, 36, 32, 45, 43, 47, 44, 52, 46, 53, 48, 39, 49, 51, 57, 55, 56, 59, 60]]
4: [[35, 7, 2], [1, 3, 4, 8, 5, 13, 6, 10, 12, 11], [17, 15, 18, 14, 27, 24, 19, 16, 9, 26, 20, 22, 29, 23, 25, 21, 30, 28, 31, 50, 36, 32, 34, 45, 37, 41, 40, 39, 33, 38, 42, 43, 47, 44, 60, 56, 46, 51, 54, 53, 48], [55, 49, 58, 57, 52, 59]]
5: [[35, 7, 2], [1, 3, 4, 8, 5, 12, 21, 14, 10, 23, 6, 9, 13, 30, 15, 11, 16, 18, 17, 19, 24, 22, 20, 25, 26, 28, 27, 29, 32, 50, 33, 37, 46, 31, 36, 45, 38, 34, 44, 42], [47, 39, 40, 59, 41, 43, 54, 51, 48, 53], [49, 58, 52, 55, 56, 60, 57]]
6: [[35, 7, 2], [1, 3, 4, 8, 20, 13, 5, 6, 11, 14, 10, 9, 15, 26, 25, 17, 23, 21, 16, 31, 19, 24, 27, 18, 28, 22, 30, 60, 45, 50, 37, 42, 29, 12, 32, 33, 34, 39, 36, 46, 38, 40, 41, 43, 44, 51, 47], [49, 53, 55, 54, 52, 57, 48, 59, 56, 58]]
7: [[35, 7, 2], [1, 3, 4, 8, 21, 14, 15, 5, 6, 18, 9, 12, 13, 10, 11, 24, 31, 16, 17, 19, 25, 20, 22, 23, 26, 27, 29, 28, 30, 50, 33, 32, 38, 36, 37, 39, 42, 43, 56, 40, 45, 46, 44, 41], [52, 47, 34, 49, 53, 55, 57, 54, 59, 60, 51, 48, 58]]
8: [[35, 7, 2], [1, 3, 4], [8, 21, 14, 13, 31, 11, 18, 15, 6, 5, 9, 16, 26], [10, 12, 20, 19, 25, 17, 22, 23, 24, 30, 27, 29, 28, 50, 37, 36, 38, 33, 32, 39], [42, 43, 52, 40, 41, 45, 44, 57, 47, 46, 34, 49, 55, 53, 56, 51, 54, 58, 59, 48, 60]]
9: [[35, 7, 2], [1, 3, 4], [8, 21, 13, 6, 9, 5, 14, 10, 12], [28, 29, 22, 15], [19, 16, 26], [11, 18, 17, 20, 23, 25, 24, 56, 27, 30, 50, 37, 31, 54, 34, 38, 32, 43, 36, 39, 40, 33, 44, 42, 53, 45, 41, 47, 46], [49, 48, 55, 51, 52, 60, 59, 58, 57]]
10: [[35, 7, 2], [1, 3, 4], [8, 21, 13, 6, 9, 5, 14, 10, 12], [28, 29, 22, 15], [19, 16, 26], [11, 18, 17, 20, 23, 25, 24, 56, 27, 30, 50, 37, 31, 54, 34, 38, 32, 43, 36, 39, 40, 33, 44, 42, 53, 45, 41, 47, 46], [49, 48, 55, 51, 52, 60, 59, 58, 57]]
11: [[35, 7, 2], [1, 3, 4, 8, 21, 13, 6, 14, 5, 26, 9, 11], [15, 12, 25, 10, 23, 18, 17, 16, 22], [28, 27, 20, 19, 29, 24, 31, 30, 50], [37, 32, 36, 39, 33, 40, 41, 34, 59], [38, 46, 42, 47, 53, 44, 48, 43, 55, 52, 51, 45, 49, 54, 56, 58, 57, 60]]
12: [[35, 7, 2, 1], [3, 4, 8], [21, 12, 5, 6, 11, 26, 15, 9, 28, 10, 29, 13, 14, 16, 23, 30, 18, 17], [22, 19, 24, 31, 20, 25, 27, 48], [37, 43, 36, 32, 42, 33, 34], [38, 39, 57, 41, 44, 40, 45, 47, 56, 46, 54, 52, 50, 53, 51, 58, 55, 49, 59, 60]]
13: [[35, 7, 2], [1, 3, 4, 8, 17, 12, 30, 6, 9], [11, 14, 5], [10, 28, 29], [21, 26, 22, 13, 15, 23], [27, 16, 18], [20, 24, 19, 25, 31, 32, 33], [36, 39, 46, 37], [40, 34, 44, 38], [47, 41, 45], [43, 42, 52, 54, 48], [56, 49, 57, 50, 58, 53, 59, 55, 51, 60]]
14: [[35, 7, 2], [1, 3, 4, 8, 5, 13, 22, 21, 6], [9, 27, 11, 15, 14, 26, 12, 10], [17, 23, 16, 18], [20, 19], [24, 28, 29], [30, 25, 31, 50, 37, 32, 42, 45, 33, 41], [39, 34, 40, 38, 36, 43, 47, 48, 44, 52, 46, 55, 54, 49, 51, 53, 60, 58, 56, 59, 57]]
15: [[35, 7, 2], [1, 3, 4], [8, 14, 23, 5, 9, 30, 18], [11], [31, 28, 13, 15, 12, 16, 17, 6, 10, 21], [20, 19, 22, 26, 24, 27, 25, 29, 50], [37, 36, 42, 33, 54, 41, 32, 34, 38], [43, 39, 40], [44, 45, 46, 49, 59, 56, 47], [53, 48, 51], [52, 55, 58, 57, 60]]
16: [[35, 7, 2], [1, 3, 4], [8, 21, 13, 14, 30, 5, 26, 6, 9], [10, 28, 12, 17, 15, 18, 11, 29], [27, 22, 16, 25, 19, 23, 20, 24, 31], [50, 40, 39, 36, 32, 37, 34, 33, 46, 45, 38, 41, 47, 43, 44, 60, 59, 42, 52, 57, 55, 51, 48, 53, 49, 54, 56, 58]]
17: [[35, 7, 2, 1, 3, 4, 8, 21, 13], [14, 6, 5, 10, 15, 9, 11, 25, 12, 22, 17, 18, 16, 19, 29, 28, 20, 23, 24, 26, 27, 31, 30, 32, 41, 37, 34, 36, 33, 38, 40, 42, 43, 39, 44, 47, 46, 45, 48, 58, 56, 51], [49, 50, 54, 52, 53, 55, 57, 59, 60]]
18: [[35, 7, 2], [9, 3, 4], [8, 1, 12, 13, 5, 6, 30, 10, 25, 21], [11, 28, 24, 19, 18, 16, 15, 17, 14, 20, 22, 23, 26, 31, 27, 29, 50, 40, 37, 43, 46, 55, 36, 32, 39, 38], [48, 34, 33, 47, 45, 42, 44, 41, 51, 57, 53, 52, 54, 49, 56, 59, 58, 60]]
19: [[35, 7, 2], [1, 3, 4, 8, 21, 15, 6, 9, 5, 26, 14, 10, 11, 30, 27, 18, 31, 25, 17, 23, 16, 22, 12, 13, 20, 28, 19, 24, 29, 50, 36, 32, 38, 45, 33, 37, 44, 34, 39, 40], [41, 42, 46, 47, 43, 48, 59, 51, 52, 49, 53, 54, 56, 55, 57, 58, 60]]
20: [[35, 7, 2], [9, 3, 4], [8, 21, 12, 13, 6, 1, 18, 11, 25, 5], [26, 14, 10, 19, 22, 17, 15, 16, 29, 20, 27, 31, 30, 23, 24, 28, 48, 32, 37, 43, 46, 51, 33, 40, 34, 38], [56, 36, 39, 47, 41, 42, 44, 45, 50, 57, 55, 52, 54, 49, 53, 59, 58, 60]]
21: [[35, 7, 2], [1, 3, 4, 8, 15, 9, 13, 10, 5, 18, 21, 6], [12, 19, 26, 11, 22, 14, 17, 23], [16, 24, 30, 20, 29, 25, 27, 28, 31, 48, 33, 37, 41, 38, 32, 34, 36, 39, 42, 40, 44, 47, 43, 46, 45, 50, 54, 57, 58, 52], [53, 56, 49], [51, 59, 55, 60]]
22: [[35, 7, 2, 1, 3, 4, 8, 21, 13, 6], [5, 9, 31], [10, 14, 28, 11, 12, 24, 15, 18, 16, 17, 23], [19, 26, 25, 20], [22, 27, 29, 56, 48, 33, 39, 36, 40, 30, 34, 32], [46, 47, 37, 42, 45], [38, 43, 41, 54, 44, 50, 60, 49, 51, 55, 52, 57, 53, 59, 58]]
23: [[35, 7, 2], [1, 3, 4], [8, 21, 15, 30, 5, 9, 22, 6, 11], [29, 24, 26, 10, 12, 13, 17, 14, 27, 20, 16, 18, 31, 19, 25, 23, 33, 50, 36, 28, 41, 45, 34, 32, 40, 38, 37, 42, 39, 43, 44, 51, 46, 58, 47, 49, 55, 53, 52, 57], [54, 56, 48, 60, 59]]
24: [[35, 7, 2], [1, 3, 4], [8, 21, 14, 5, 27, 6, 22, 15, 9, 13, 11, 20, 26], [10, 12, 30, 23, 17, 31, 18, 19, 16, 24, 25, 29, 28, 50, 37, 36, 38, 41, 49, 32], [33, 43, 48, 40, 44, 34, 39, 56, 42, 45, 51, 46, 47, 54, 60, 59, 52, 58, 53, 55, 57]]
25: [[35, 7, 2], [1, 3, 4], [8, 21, 14, 5, 12, 9, 30, 13, 11, 10, 6, 19, 24, 15, 31, 27, 18, 16, 28, 23, 17, 29, 20, 22, 25, 26, 50, 32, 37, 33, 36, 44, 41, 39, 34, 42, 38, 46, 40, 57, 58, 43, 45, 47, 49, 54, 52, 48, 51, 53, 55, 56, 59, 60]]
26: [[35, 7, 2], [1, 3, 4, 8, 21, 13, 5, 6, 9, 26, 10, 11], [29, 30, 16, 15, 31, 12, 14, 17, 20], [18, 19, 22, 23, 24, 27, 25, 28, 48], [33, 32, 41, 36, 38, 34, 45, 37, 42, 47], [39, 40, 43], [60, 46, 49, 51, 50, 55], [53, 44], [52, 57, 56, 58, 54, 59]]
27: [[35, 7, 2], [1, 3, 4, 8, 21, 13, 5], [10, 9, 6], [12, 11, 30, 24, 14], [28, 29, 18, 15, 23, 17, 16, 27, 25, 19, 22, 20, 26, 49, 48, 45, 37, 31, 56, 36, 32, 40, 33, 43, 38, 34, 41, 39, 57, 46, 44, 47, 42, 51, 55, 59, 58, 53, 52, 50, 54, 60]]
28: [[35, 7, 2], [1, 3, 4, 8, 16, 14, 5, 11, 9, 15, 10], [6, 12, 28, 19], [13, 21, 20, 27, 25, 17, 23, 18, 22, 26, 24], [29, 30, 31, 56, 37, 36, 47, 46, 32], [42, 41, 38, 34], [44, 43, 45, 48, 39, 40, 33, 53, 54], [58, 50, 51, 57, 49, 52, 55, 59, 60]]
29: [[35, 7, 2], [1, 3, 4], [8, 21, 12, 5, 31, 6, 24, 11, 9], [10, 13, 28, 20, 29, 22, 14, 25, 19, 15, 18, 16, 27, 17, 23, 26, 30, 50, 33, 36, 34, 60, 32, 48, 38, 45, 37, 46, 39, 42, 40, 44, 41, 47, 43, 49, 51, 55, 53, 54, 56, 52, 58, 57, 59]]
