0: [[21, 26, 27], [20, 7, 2, 19], [4, 6, 11, 3, 5, 8, 10, 12], [1, 13, 15, 9, 16, 18, 17, 29, 14], [25, 24, 28], [23, 22]]
1: [[21, 26, 27], [20, 7, 2, 19], [4, 6, 11, 3, 5, 8, 10, 12], [1, 13, 15, 9, 16, 18, 17, 29, 14], [25, 24, 28], [23, 22]]
2: [[21, 26, 27], [20, 7, 2, 19], [4, 6, 11, 3, 5, 8, 10, 12], [1, 13, 15, 9, 16, 18, 17, 29, 14], [25, 24, 28], [23, 22]]
3: [[21, 26, 27], [20, 7, 2, 19], [4, 6, 11, 3, 5, 8, 10, 12], [1, 13, 15, 9, 16, 18, 17, 29, 14], [25, 24, 28], [23, 22]]
4: [[21, 26, 27], [20, 7, 2, 19], [4, 6, 11, 3, 5, 8, 10, 12], [1, 13, 15, 9, 16, 18, 17, 29, 14], [25, 24, 28], [23, 22]]
5: [[21, 26, 27], [20, 7, 2, 19], [4, 6, 11, 3, 5, 8, 10, 12], [1, 13, 15, 9, 16, 18, 17, 29, 14], [25, 24, 28], [23, 22]]
6: [[21, 26, 27], [20, 7, 2, 19], [4, 6, 11, 3, 5, 8, 10, 12], [1, 13, 15, 9, 16, 18, 17, 29, 14], [25, 24, 28], [23, 22]]
7: [[21, 26, 27], [20, 7, 2, 19], [4, 6, 11, 3, 5, 8, 10, 12], [1, 13, 15, 9, 16, 18, 17, 29, 14], [25, 24, 28], [23, 22]]
8: [[21, 26, 27], [20, 7, 2, 19], [4, 6, 11, 3, 5, 8, 10, 12], [1, 13, 15, 9, 16, 18, 17, 29, 14], [25, 24, 28], [23, 22]]
9: [[21, 26, 27], [20, 7, 2, 19], [4, 6, 11, 3, 5, 8, 10, 12], [1, 13, 15, 9, 16, 18, 17, 29, 14], [25, 24, 28], [23, 22]]
10: [[21, 26, 27], [20, 7, 2, 19], [4, 6, 11, 3, 5, 8, 10, 12], [1, 13, 15, 9, 16, 18, 17, 29, 14], [25, 24, 28], [23, 22]]
11: [[21, 26, 27], [20, 7, 2, 19], [4, 6, 11, 3, 5, 8, 10, 12], [1, 13, 15, 9, 16, 18, 17, 29, 14], [25, 24, 28], [23, 22]]
12: [[21, 26, 27], [20, 7, 2, 19], [4, 6, 11, 3, 5, 8, 10, 12], [1, 13, 15, 9, 16, 18, 17, 29, 14], [25, 24, 28], [23, 22]]
13: [[21, 26, 27], [20, 7, 2, 19], [4, 6, 11, 3, 5, 8, 10, 12], [1, 13, 15, 9, 16, 18, 17, 29, 14], [25, 24, 28], [23, 22]]
14: [[21, 26, 27], [20, 7, 2, 19], [4, 6, 11, 3, 5, 8, 10, 12], [1, 13, 15, 9, 16, 18, 17, 29, 14], [25, 24, 28], [23, 22]]
15: [[21, 26, 27], [20, 7, 2, 19], [4, 6, 11, 3, 5, 8, 10, 12], [1, 13, 15, 9, 16, 18, 17, 29, 14], [25, 24, 28], [23, 22]]
16: [[21, 26, 27], [20, 7, 2, 19], [4, 6, 11, 3, 5, 8, 10, 12], [1, 13, 15, 9, 16, 18, 17, 29, 14], [25, 24, 28], [23, 22]]
17: [[21, 26, 27], [20, 7, 2, 19], [4, 6, 11, 3, 5, 8, 10, 12], [1, 13, 15, 9, 16, 18, 17, 29, 14], [25, 24, 28], [23, 22]]
18: [[21, 26, 27], [20, 7, 2, 19], [4, 6, 11, 3, 5, 8, 10, 12], [1, 13, 15, 9, 16, 18, 17, 29, 14], [25, 24, 28], [23, 22]]
19: [[21, 26, 27], [20, 7, 2, 19], [4, 6, 11, 3, 5, 8, 10, 12], [1, 13, 15, 9, 16, 18, 17, 29, 14], [25, 24, 28], [23, 22]]
20: [[21, 26, 27], [20, 7, 2, 19], [4, 6, 11, 3, 5, 8, 10, 12], [1, 13, 15, 9, 16, 18, 17, 29, 14], [25, 24, 28], [23, 22]]
21: [[21, 26, 27], [20, 7, 2, 19], [4, 6, 11, 3, 5, 8, 10, 12], [1, 13, 15, 9, 16, 18, 17, 29, 14], [25, 24, 28], [23, 22]]
22: [[21, 26, 27], [20, 7, 2, 19], [4, 6, 11, 3, 5, 8, 10, 12], [1, 13, 15, 9, 16, 18, 17, 29, 14], [25, 24, 28], [23, 22]]
23: [[21, 26, 27], [20, 7, 2, 19], [4, 6, 11, 3, 5, 8, 10, 12], [1, 13, 15, 9, 16, 18, 17, 29, 14], [25, 24, 28], [23, 22]]
24: [[21, 26, 27], [20, 7, 2, 19], [4, 6, 11, 3, 5, 8, 10, 12], [1, 13, 15, 9, 16, 18, 17, 29, 14], [25, 24, 28], [23, 22]]
25: [[21, 26, 27], [20, 7, 2, 19], [4, 6, 11, 3, 5, 8, 10, 12], [1, 13, 15, 9, 16, 18, 17, 29, 14], [25, 24, 28], [23, 22]]
