0: [[11, 7, 6], [2, 3], [4, 22, 5], [8, 9, 1, 13, 20], [12, 14, 10, 19], [17, 15, 16, 18], [21, 23, 24]]
1: [[11, 1, 2, 3, 6], [4, 22, 5], [8, 9, 20], [12, 14, 10, 13, 19, 7], [17, 15, 16, 18], [21, 23, 24]]
2: [[11, 1, 2, 3, 6], [4, 22], [5, 8, 9, 20], [12, 14, 10, 13, 19, 7], [17, 15, 16, 18], [21, 23, 24]]
3: [[11, 7, 6], [1, 2], [3, 4, 22, 5], [8, 9, 12, 20], [14, 10, 13, 19, 17], [15, 16, 18], [21, 23, 24]]
4: [[11, 7, 6], [1, 2, 3], [4, 22], [5, 8, 20], [9, 12, 14, 10, 13], [19, 17, 15, 16, 18], [21, 23, 24]]
5: [[11, 1, 2, 7, 6], [3, 4, 22, 5], [8, 9], [12, 14, 10, 13, 20], [19, 17, 15, 16, 18], [21, 23, 24]]
6: [[11, 1, 2, 7, 6], [3, 4, 22, 5], [8, 9], [12, 14, 10, 13, 20], [19, 17, 15, 16, 18], [21, 23, 24]]
7: [[11, 1, 2, 7, 6], [3, 4, 22, 5], [8, 9], [12, 14, 10, 13, 20], [19, 17, 15, 16, 18], [21, 23, 24]]
8: [[11, 1, 7, 6], [2, 3, 4, 22, 5], [8, 9, 20], [12, 14, 10, 13, 19], [17, 15, 16, 18], [21, 23, 24]]
9: [[11, 1, 7, 6], [2, 3, 4, 22, 5], [8, 9, 20], [12, 14, 10, 13, 19], [17, 15, 16, 18], [21, 23, 24]]
10: [[11, 1, 2, 3], [4, 22], [5, 8, 20], [9, 12, 14, 10, 13, 7, 6], [19, 17, 15, 16, 18], [21, 23, 24]]
11: [[11, 1, 2, 3], [4, 22], [5, 8, 20], [9, 12, 14, 10, 13, 7, 6], [19, 17, 15, 16, 18], [21, 23, 24]]
12: [[11, 1, 7, 6], [2, 3], [4, 22], [5, 8, 9], [12, 14, 10, 13, 20], [19, 17, 15, 16, 18], [21, 23, 24]]
13: [[11, 1, 2, 3, 6], [4, 22, 5, 8, 9], [12, 14, 10, 13, 7], [19, 17, 20], [15, 16, 18], [21, 23, 24]]
14: [[11, 7, 6], [1, 2], [3, 4, 22, 5], [8, 9, 12, 14], [10, 13, 20], [19, 17, 15, 16, 18], [21, 23, 24]]
15: [[11, 7, 6], [1, 2], [3, 4, 22, 5], [8, 9, 12, 14], [10, 13, 20], [19, 17, 15, 16, 18], [21, 23, 24]]
16: [[11, 7, 6], [1, 2, 3, 4], [22, 5], [8, 9], [12, 14, 10, 13, 20], [19, 17, 15, 16, 18], [21, 23, 24]]
17: [[11, 7, 6], [1, 2, 3, 4], [22, 5], [8, 9], [12, 14, 10, 13, 20], [19, 17, 15, 16, 18], [21, 23, 24]]
18: [[11, 6], [1, 2, 3, 4, 22], [5, 8, 9, 12, 20], [14, 10, 7], [13, 19], [17, 15, 16, 18], [21, 23, 24]]
19: [[11, 7, 6], [1, 2, 3], [4, 22, 5, 8], [9, 12, 14, 10, 13, 20], [19, 17, 15, 16, 18], [21, 23, 24]]
20: [[11, 6], [1, 2, 3, 4, 22], [5, 8, 9, 12, 20], [14, 10, 7], [13, 19], [17, 15, 16, 18], [21, 23, 24]]
21: [[11, 1, 2], [3, 4, 22, 5, 6], [8, 9, 12, 14, 7], [10, 13, 20], [19, 17, 15, 16, 18], [21, 23, 24]]
22: [[11, 1, 7, 6], [2, 3, 4, 22], [5, 8, 9, 12, 20], [14, 10], [13, 19, 17, 15], [16, 18], [21, 23, 24]]
23: [[11, 1, 7], [2, 3, 4, 6], [22, 5], [8, 9, 20], [12, 14, 10, 13, 19], [17, 15, 16, 18], [21, 23, 24]]
24: [[11, 7, 6], [1, 2, 3, 4, 22, 5], [8, 9], [12, 14], [10, 13, 19, 20], [17, 15, 16, 18], [21, 23, 24]]
25: [[11, 1, 6], [2, 3, 4, 22], [5, 8, 9, 12, 20], [14, 10, 7], [13, 19], [17, 15, 16, 18], [21, 23, 24]]
26: [[11, 1, 6], [2, 3, 4, 22], [5, 8, 9, 12, 20], [14, 10, 7], [13, 19], [17, 15, 16, 18], [21, 23, 24]]
27: [[11, 1, 2, 3, 4, 6], [22, 5, 8, 9, 12, 20], [14, 10, 7], [13, 19], [17, 15, 16, 18], [21, 23, 24]]
28: [[11, 7, 6], [1, 2, 3, 4], [22, 5, 8, 9], [12, 14], [10, 13, 19, 17, 20], [15, 16, 18], [21, 23, 24]]
29: [[11, 1, 2, 7], [3, 4, 6], [22, 5, 8], [9, 12, 14, 10, 13, 20], [19, 17, 15, 16, 18], [21, 23, 24]]
30: [[11, 1, 6], [2, 3], [4, 22, 5], [8, 9, 12, 7, 20], [14, 10, 13, 19], [17, 15, 16, 18], [21, 23, 24]]
31: [[11, 7, 6], [1, 2, 3, 4], [22, 5], [8, 9, 12, 20], [14, 10, 13, 19, 17], [15, 16, 18], [21, 23, 24]]
32: [[11, 1, 2], [3, 4, 22, 5, 8, 6], [9, 12, 14, 10, 7, 20], [13, 19], [17, 15, 16, 18], [21, 23, 24]]
33: [[11, 7], [1, 2, 3, 4], [22, 5, 8], [9, 12, 14, 6], [10, 13, 20], [19, 17, 15, 16, 18], [21, 23, 24]]
34: [[11, 7], [1, 2, 3, 4], [22, 5, 8], [9, 12, 14, 6], [10, 13, 20], [19, 17, 15, 16, 18], [21, 23, 24]]
35: [[20, 1, 2, 6], [3, 4, 22], [5, 8, 9, 12, 14, 10, 7, 11], [13, 19], [17, 15, 16, 18], [21, 23, 24]]
36: [[7, 6, 20, 11], [1, 2, 3], [4, 22, 5, 8, 9, 12], [14, 10], [13, 19], [17, 15, 16, 18], [21, 23, 24]]
37: [[11, 6], [1, 2, 3, 4], [22, 5, 8, 9, 12, 20], [14, 10, 13, 19, 7], [17, 15, 16, 18], [21, 23, 24]]
38: [[11, 1, 2, 6], [3, 4], [22, 5, 8, 9, 12, 20], [14, 10, 13, 19, 7], [17, 15, 16, 18], [21, 23, 24]]
39: [[11, 1, 7, 6], [2, 3, 4, 22], [5, 8], [9, 12, 20], [14, 10, 13, 19], [17, 15, 16, 18], [21, 23, 24]]
40: [[11, 1, 7, 6], [2, 3], [4, 22, 5, 8, 9], [12, 14, 10, 13, 20], [19, 17, 15, 16, 18], [21, 23, 24]]
