0: [[1, 5, 3], [12, 13, 7], [10, 4], [2, 6, 8, 9, 11]]
1: [[1, 5, 3], [12, 13, 7], [10, 4], [6, 8, 9, 11, 2]]
2: [[1, 5, 3], [12, 13, 7], [10, 4], [6, 8, 9, 11, 2]]
3: [[1, 5, 3], [12, 13, 7], [10, 4], [6, 8, 9, 11, 2]]
4: [[1, 5, 3], [12, 13, 7], [10, 4], [6, 8, 9, 11, 2]]
5: [[1, 5, 3], [12, 13, 7], [10, 4], [6, 8, 9, 11, 2]]
6: [[1, 5, 3], [12, 13, 7], [10, 4], [6, 8, 9, 11, 2]]
7: [[1, 5, 3], [12, 13, 7], [10, 4], [6, 8, 9, 11, 2]]
8: [[1, 5, 3], [12, 13, 7], [10, 2, 4], [6, 8, 9, 11]]
9: [[1, 5, 3], [12, 13, 7], [10, 2, 4], [6, 8, 9, 11]]
10: [[1, 5, 3], [12, 13, 7], [10, 2, 4], [6, 8, 9, 11]]
11: [[1, 5, 3], [12, 13, 7], [10], [4, 6, 8, 9, 11, 2]]
12: [[1, 5, 3], [12, 13, 7], [10], [4, 6, 8, 9, 11, 2]]
13: [[1, 5, 3], [12, 13, 7], [10], [4, 6, 8, 9, 11, 2]]
14: [[1, 5, 12, 3], [13, 7], [10, 4], [6, 8, 9, 11, 2]]
15: [[1, 5, 3], [12, 13, 10, 7], [4, 2], [6, 8, 9, 11]]
16: [[1, 5, 3], [12, 13, 7, 10], [2, 4], [6, 8, 9, 11]]
17: [[1, 5, 3], [12, 13, 10, 7], [4, 2], [6, 8, 9, 11]]
18: [[1, 5, 3], [12], [13, 7, 10, 2, 4], [6, 8, 9, 11]]
19: [[5], [12, 13, 7, 3], [10, 4, 1], [2, 6, 8, 9, 11]]
20: [[5], [12, 13, 7, 3], [10, 4, 1], [2, 6, 8, 9, 11]]
21: [[1, 5, 3, 12, 13, 7], [10, 4], [6, 2], [8, 9, 11]]
22: [[1, 5, 12, 13, 3, 7], [10], [4, 2], [6, 8, 9, 11]]
23: [[1, 5, 3], [12, 13], [7, 10], [2, 6, 8, 9, 11, 4]]
24: [[5], [12], [13, 7, 10, 4, 1, 3], [2, 6, 8, 9, 11]]
25: [[5], [12, 13], [7, 10, 4, 1, 3], [2, 6, 8, 9, 11]]
26: [[5], [12, 13], [7, 10, 4, 1, 3], [2, 6, 8, 9, 11]]
27: [[5], [12, 13], [7, 10, 4, 1, 3], [2, 6, 8, 9, 11]]
