0: [[4, 17, 23], [9, 7, 1, 22], [6, 5], [15, 8, 2, 13, 10], [3, 11, 18, 14], [24, 28], [16, 19, 12], [20, 25, 29], [21, 26, 27]]
1: [[4, 17, 23, 9, 22], [7, 1, 6], [3, 5, 14], [11, 15], [8, 2, 13, 12], [24, 16], [18, 19, 20, 10], [27, 26, 21], [28, 25, 29]]
2: [[4, 17, 23], [9, 7, 1, 22, 6, 3, 10, 8, 2, 13, 15, 5, 11, 14, 12, 18, 19, 21, 16, 20, 28, 25, 24], [29, 26, 27]]
3: [[4, 17, 23], [9, 7], [1, 22], [3, 2, 15], [10, 5], [6, 8, 14], [11, 13, 12], [24, 18], [16, 19, 20], [28, 25, 29], [21, 27, 26]]
4: [[4, 17, 23, 9, 7, 1, 22], [2, 3, 13, 10, 6, 5, 15, 8, 11, 12, 14, 18, 19, 20, 16, 21, 24], [25, 26, 27], [28, 29]]
5: [[4, 17, 23, 22], [8, 2], [1, 5, 6, 11], [9, 3, 7, 13, 15, 10, 12, 14], [18, 19], [21, 16, 27, 26], [25, 28, 20, 24, 29]]
6: [[4, 17, 23, 9, 7, 1], [22, 3, 2], [6, 10, 5, 11, 8, 15], [16, 28, 12, 13], [20, 19, 29, 14, 25, 18, 21, 24], [26, 27]]
7: [[4, 17, 23], [9, 7, 1, 22, 6, 3, 2, 12, 5, 13, 10, 11, 15, 14, 8, 16, 19, 29, 18, 20, 28], [27, 24, 21, 25, 26]]
8: [[4, 17, 23, 9, 7, 1], [22], [3, 5], [6, 8, 2, 10], [11, 15, 14, 12, 24, 18], [20, 13, 16, 19, 29, 25], [21, 27, 28, 26]]
9: [[4, 17, 23, 9, 7], [3, 22, 1], [5, 6], [2, 15, 8, 10, 14, 11, 13, 16, 20, 12, 24, 21, 25, 19, 18, 26, 27], [28, 29]]
10: [[4, 17, 23, 9], [7, 1, 22], [6, 2, 5, 15, 3, 11], [13, 8, 10], [12, 24, 14, 18, 26, 29, 16], [19, 25, 20], [27, 21, 28]]
11: [[4, 17, 23], [9, 7, 1, 22], [5, 6], [3, 10, 2, 8, 11], [15], [12, 13, 24, 21], [20, 18, 19, 14, 16, 25, 26, 27, 29, 28]]
12: [[4, 17, 23, 9, 12, 1], [6, 3, 5, 11], [7, 2, 15, 8, 14, 28, 27, 18, 10, 16, 20, 24, 13, 21, 26, 19, 29], [22, 25]]
13: [[4, 17, 23, 9, 7, 1], [22], [6, 2], [14, 11, 3, 15, 5, 8, 10, 12, 13, 16, 18], [19, 24, 28], [25, 27], [20, 21, 26, 29]]
14: [[4, 17, 23, 9, 7, 1], [22], [6, 5], [11, 10, 3, 13, 2, 8], [14, 15, 24, 12, 18, 26, 19, 27, 16, 25], [21, 28, 20, 29]]
15: [[4, 17, 23, 9, 7], [1, 22, 6, 5, 3, 8], [2, 11, 10, 12, 15, 24, 13, 14, 28, 16, 19, 18, 21, 25, 29, 20, 26, 27]]
16: [[4, 17, 23, 9, 7, 1, 22], [6, 8, 2], [10, 5, 13, 11, 12], [15, 14], [24, 3, 18, 25, 16, 20], [19, 28, 27, 21, 26, 29]]
17: [[4, 17, 23], [9, 7, 1], [22, 3, 5, 10], [8, 11], [13, 2], [6, 15, 14, 12], [18, 16], [19, 24, 28], [20, 21, 25], [29, 26, 27]]
18: [[4, 17, 23, 9, 7, 1], [22, 3, 5, 12, 2, 11, 13, 10, 6, 15, 14, 28], [8, 24, 16, 27, 18, 20, 21, 19, 29, 26, 25]]
19: [[4, 17, 23, 9, 7, 22], [1], [2, 5, 11, 8, 10], [6, 13], [15], [3, 16, 20, 12, 14], [24, 18, 26], [25, 27, 21], [19, 28, 29]]
20: [[4, 17, 23, 12, 6], [1, 3, 7], [2, 5, 10, 8, 9, 14, 11, 13, 15, 16, 18, 19, 21, 20, 22, 29, 25, 28], [26, 24, 27]]
21: [[4, 17, 23, 9], [7, 1, 22], [6, 2, 14, 15, 3, 11], [12, 8, 10, 5, 13, 16, 18, 19, 21, 24, 29], [25, 20, 27], [26, 28]]
22: [[4, 17, 23, 9, 5, 3, 22], [1, 6, 7, 15, 2, 10], [8, 12, 13, 11, 16, 18, 19, 20, 24, 21, 25, 26, 14], [29, 27, 28]]
23: [[4, 17, 23, 9, 7, 1], [22, 6, 5, 3, 15, 2, 29, 13, 10], [8, 27, 25, 18, 11, 24, 12, 14, 26, 16, 19, 20, 28, 21]]
24: [[4, 17, 23], [9, 5], [1, 3, 2, 7, 6, 11, 8, 13, 15, 20, 16, 21, 19, 22, 10, 12, 14], [28, 29, 18, 24, 27, 26, 25]]
25: [[4, 17, 23, 9], [7, 1, 22], [5, 2, 14, 6], [3, 15, 8, 12, 11, 13, 29, 21, 16, 19, 18, 20, 10, 25, 24, 26, 27, 28]]
26: [[4, 17], [23, 9, 7, 22, 3, 1, 6, 11, 2, 5, 13, 10, 14, 12, 15, 8, 24, 16, 19, 20, 18, 28, 25, 27, 21, 26], [29]]
27: [[4], [17, 23, 9], [7, 1, 22], [6, 2, 14, 5, 3], [13, 12, 10, 8, 11], [29], [15, 16, 19, 18, 24, 20], [25, 21, 26], [28, 27]]
28: [[4, 17], [23, 9, 7, 1, 22, 2, 5, 3, 8, 6, 13, 10, 15, 11, 14, 12, 24, 28, 16, 18, 20, 21, 25, 29, 19, 26], [27]]
29: [[4, 17, 23, 9, 7, 1], [6, 2, 3, 5, 10, 8, 14], [12, 15, 11, 13, 19, 16, 18, 20, 22, 28, 26, 25, 29, 21, 24, 27]]
30: [[4, 17, 23, 9, 7], [1, 22, 3], [5, 2, 6, 11, 8, 12, 10, 26, 20, 13, 14, 15, 24], [21, 25, 19, 18, 16, 28, 27, 29]]
31: [[4, 17, 23, 9, 7, 5, 22], [2, 3, 14], [10, 1, 13, 8, 11, 15, 6, 12, 16, 20, 26, 21, 18, 19, 25, 27, 24, 28, 29]]
32: [[4, 17, 23], [9, 7, 1], [22, 6, 2, 14], [5, 3], [15, 11, 10], [13, 8, 16], [24, 12, 18], [19, 20, 27, 21, 29, 26, 25, 28]]
33: [[4, 17, 23], [9, 7], [1, 22, 6, 3], [11, 10, 2, 15, 5, 12, 8, 14, 13, 18, 19, 27, 16, 20, 28, 24, 21, 29], [25, 26]]
34: [[4, 17, 23], [9, 7, 1], [22, 6, 3], [15, 2, 8, 5, 12, 14, 13, 10, 11, 16, 18, 26, 20, 19, 21, 24], [25, 29, 27, 28]]
