0: [[60], [55, 37, 25], [4, 28, 23, 24, 45, 12], [27, 11], [8, 38, 44, 18], [47, 20, 19, 26, 31], [39], [32, 17], [14, 42], [54, 52, 16, 29], [36, 50], [15, 22, 6, 10], [53], [3, 33, 30, 34, 51], [43, 49], [1, 58], [41, 5], [40, 13, 7, 21], [35, 46, 2], [57, 9, 48], [56, 59]]
1: [[60], [55, 37, 25], [4, 28, 23, 24, 45, 12], [27, 11], [8, 38, 44, 18], [47, 20, 19, 26, 31], [39], [32, 17], [14, 42], [54, 52, 16, 29], [36, 50], [15, 22, 6, 10], [53], [3, 33, 30, 34, 51], [43, 49], [1, 58], [41, 5], [40, 13, 7, 21], [35, 46, 2], [57, 9, 48], [56, 59]]
2: [[27, 14, 35, 21, 5, 39, 6, 25, 1, 2, 3, 4, 11, 7, 13, 8, 31, 17, 30, 19], [12, 10, 18, 16, 15, 20, 22, 23, 24, 26, 28, 29, 9, 33, 36, 40, 42, 32, 38, 37], [34, 45, 43, 41, 46, 44, 47, 50, 53, 51, 49, 54, 48, 52, 55, 56, 59, 57, 58, 60]]
3: [[27, 14, 35, 21, 5, 39, 6, 25, 1, 2, 3, 4, 11, 7, 13, 8, 31, 17, 30, 19], [12, 10, 18, 16, 15, 20, 22, 23, 24, 26, 28, 29, 9, 33, 36, 40, 42, 32, 38, 37], [34, 45, 43, 41, 46, 44, 47, 50, 53, 51, 49, 54, 48, 52, 55, 57, 59, 56, 58, 60]]
4: [[27, 14, 35, 21, 5, 39, 6, 25, 1, 2, 3, 4, 11, 7, 13, 8, 31, 17, 30, 19], [12, 10, 18, 16, 15, 20, 22, 23, 24, 26, 28, 29, 9, 33, 36, 40, 42, 32, 38, 37], [34, 45, 43, 41, 46, 44, 47, 50, 53, 51, 49, 54, 56, 52, 55, 48, 59, 57, 58, 60]]
5: [[27, 14, 35, 21, 5, 39, 6, 25, 1, 2, 3, 4, 11, 7, 13, 8, 31, 17, 30, 19], [12, 10, 18, 16, 15, 20, 22, 23, 24, 26, 28, 29, 9, 33, 36, 40, 42, 32, 38, 37], [34, 45, 43, 41, 46, 44, 47, 50, 53, 51, 49, 54, 56, 52, 55, 48, 59, 57, 58, 60]]
6: [[27, 14, 35, 21, 5, 39, 6, 25, 1, 2, 3, 4, 11, 7, 13, 8, 31, 17, 30, 19], [12, 10, 18, 16, 15, 20, 22, 23, 24, 26, 28, 29, 9, 33, 36, 40, 42, 32, 38, 37], [34, 45, 43, 41, 46, 44, 47, 50, 53, 51, 49, 54, 56, 52, 55, 48, 59, 57, 58, 60]]
7: [[27, 14, 35, 21, 5, 39, 6, 25, 1, 2, 3, 4, 11, 7, 13, 8, 31, 17, 30, 19], [12, 10, 18, 16, 15, 20, 22, 23, 24, 26, 28, 29, 9, 33, 36, 40, 42, 32, 38, 37], [34, 45, 43, 41, 46, 44, 47, 50, 53, 51, 49, 54, 56, 52, 55, 48, 59, 57, 58, 60]]
8: [[27, 14, 35, 21, 5, 39, 6, 25, 1, 2, 3, 4, 11, 7, 13, 8, 31, 17, 30, 19], [12, 10, 18, 16, 15, 20, 22, 23, 24, 26, 28, 29, 9, 33, 36, 40, 42, 32, 38, 37], [34, 45, 43, 41, 46, 44, 47, 50, 53, 51, 49, 54, 48, 52, 55, 58, 59, 57, 56, 60]]
9: [[27, 14, 35, 21, 5, 39, 6, 25, 1, 2, 3, 4, 11, 7, 13, 8, 31, 17, 30, 19], [12, 10, 18, 16, 15, 20, 22, 23, 24, 26, 28, 29, 9, 33, 36, 40, 42, 32, 38, 37], [34, 45, 43, 41, 46, 44, 47, 50, 53, 51, 49, 54, 56, 52, 55, 48, 59, 57, 58, 60]]
10: [[27, 14, 35, 21, 5, 39, 6, 25, 1, 2, 3, 4, 11, 7, 13, 8, 31, 17, 30, 19], [12, 10, 18, 16, 15, 20, 22, 23, 24, 26, 28, 29, 9, 33, 36, 40, 42, 32, 38, 37], [34, 45, 43, 41, 46, 44, 47, 50, 53, 51, 49, 54, 56, 52, 55, 48, 59, 57, 58, 60]]
