0: [[5, 6], [2, 1, 19], [24, 7], [11, 3], [4, 9, 13, 8, 15, 28, 18, 16, 17, 10, 12, 14], [23, 22], [29, 20, 25], [21, 27, 26]]
1: [[5, 6], [2, 1, 19], [24, 7], [11, 3], [4, 9, 13, 8, 15, 28, 18, 16, 17, 10, 12, 14], [23, 22], [29, 20, 25], [21, 27, 26]]
2: [[5, 6], [2, 1, 19], [24, 7], [11, 3], [4, 9, 13, 8, 15, 28, 18, 16, 17, 10, 12, 14], [23, 22], [29, 20, 25], [21, 27, 26]]
3: [[5, 6], [2, 1, 19], [24, 7], [11, 3], [4, 9], [13, 8, 15, 26], [10, 22], [12, 14, 17, 16], [18, 23, 20, 25, 28], [21, 27], [29]]
4: [[5, 6], [2, 1, 19, 24, 7], [11, 3, 4, 9, 13, 8, 14, 12, 10, 15, 17, 20, 16, 21, 18, 22, 25], [28, 27, 23, 26, 29]]
5: [[5, 6], [2, 1, 19], [24, 7], [11, 3, 4], [9, 13, 8, 14], [12, 10, 15, 17], [18, 16, 20], [23, 22], [25, 21, 27, 26, 28, 29]]
6: [[5, 6], [2, 1, 19], [24, 7], [11, 3, 4, 9, 13, 8, 15, 17, 18, 16, 21, 10, 12, 14], [20, 22, 23, 25, 27, 29, 26, 28]]
7: [[5, 6], [2, 1, 19, 24, 7], [11, 3, 4, 9, 13, 8, 14, 12, 10, 15, 20, 16, 17, 18, 22, 29], [23, 21, 25], [26, 27, 28]]
8: [[5, 6], [2, 1, 19], [24, 7, 11, 3, 4, 9, 13, 8, 12, 10, 14, 15, 16, 23, 18, 21], [22, 20, 29, 17, 25], [26, 27, 28]]
9: [[5, 6], [2, 1, 19], [24, 7], [11, 3, 4], [9, 13, 8, 15, 12, 10, 17], [20, 14, 22, 18, 21, 16, 27, 23, 25, 28, 26], [29]]
10: [[5, 6], [2, 1, 19], [24, 7], [11, 3, 4], [9, 13], [8, 12], [14, 15, 10, 20], [16, 18, 23], [22, 17], [25, 28, 21, 26, 27, 29]]
11: [[5, 6], [2, 1, 19], [24, 7], [11, 3, 4], [9, 13], [8, 14], [10, 12, 15], [16, 17, 18], [20, 21, 25], [23, 28, 22, 26, 27, 29]]
12: [[5, 6], [2, 1, 19], [24, 7], [11, 3, 4, 9, 13, 8, 14], [10, 12, 15, 16], [18, 17, 22, 23, 21, 29, 20, 25, 26, 27, 28]]
13: [[5, 6], [2, 1, 19], [24, 7], [11, 3], [4, 9], [13, 8, 10, 26, 12, 22, 20, 14, 15, 17, 16, 23], [29, 18, 21, 25, 27, 28]]
14: [[5, 6], [2, 1, 19, 24, 7], [11, 3], [4, 9], [13, 8, 15, 28, 10], [12, 14, 16, 20, 17, 23, 22, 18, 25, 21, 27, 26, 29]]
15: [[5, 6], [2, 1, 19], [24, 7, 11], [3, 4], [9, 13], [8, 14, 10], [12, 15], [28, 17, 16], [21, 18, 25], [23, 20, 22], [26, 27, 29]]
16: [[5, 6], [2, 1, 19, 24, 7], [11, 3], [4, 9, 13, 8, 14], [12, 10, 21, 15, 17, 16, 20, 23, 22], [18, 29, 27, 25, 26, 28]]
17: [[5, 6], [2, 1, 19, 24, 7], [11, 3, 4, 9, 13, 8, 14, 12, 10, 21, 15, 17, 20, 16, 23, 22, 18, 25, 27, 29, 26, 28]]
18: [[5, 6], [2, 1, 19], [24, 7], [11, 3, 4, 9, 13], [8, 14, 10, 12, 15, 17, 25, 20, 21, 18, 22, 23, 16, 26, 27, 28, 29]]
19: [[5, 6], [2, 1, 19], [24, 7], [11, 3, 4, 9, 13], [8, 10, 14, 12, 15, 16, 17, 20, 22, 27, 18, 23, 25, 21, 28, 29, 26]]
20: [[5, 6], [2, 1, 19], [24, 7], [11, 3], [4, 9], [13, 8, 12], [10, 22, 14, 28], [17, 16, 15, 18, 21, 29, 20, 25, 23, 27, 26]]
21: [[5, 6], [2, 1, 19, 24, 7, 11, 3], [4, 9, 13, 8], [14, 10, 12, 15, 16, 17, 21, 20, 22, 18, 29], [23, 26, 25, 27, 28]]
22: [[5, 6, 2], [1, 19], [24, 7], [11, 3, 4, 9, 13, 8, 15, 18, 23, 17, 10, 12, 14], [21, 29, 25, 26, 20], [16, 22], [27, 28]]
23: [[5, 6], [2, 1, 19], [24, 7], [11, 3, 4, 9, 13, 8], [15, 12, 10, 21, 23, 14], [28, 17, 18], [22, 16, 25, 20, 26, 27, 29]]
24: [[5, 6], [2, 1, 19], [24, 7, 11], [3, 4, 9, 13, 8, 14, 26, 10, 27, 16, 12, 28, 15, 23, 22, 29, 17, 25, 18, 20, 21]]
25: [[5, 6], [2, 1, 19], [24, 7], [11, 3], [4, 9, 13], [8, 14, 10, 12, 15], [20, 18, 21, 22, 23, 16, 28, 27, 17, 26, 29, 25]]
26: [[5, 6], [2, 1], [19, 24, 7, 11, 3, 4, 9, 13, 8, 10, 12, 18, 14], [15, 21, 20, 16, 29], [17, 22], [23, 25, 26, 27, 28]]
27: [[5, 6], [2, 1, 19, 24, 7], [11, 3, 4, 9], [13, 8, 14], [12, 10, 16, 15, 25, 20, 17, 22, 18, 27, 21, 23, 28, 26, 29]]
28: [[5, 6], [2, 1], [19, 24, 7, 11, 3, 4, 9, 13, 8, 10, 14, 12, 15], [18, 21, 17, 22, 16], [29, 20], [23, 25], [26, 27, 28]]
29: [[5, 6], [2, 1, 19], [24, 7], [11, 3, 4, 9, 13, 8, 14], [10, 12], [15, 17, 28, 20, 18], [23, 22, 29, 16, 25, 21, 27, 26]]
30: [[5, 6], [2, 1, 19, 24, 7], [11, 3, 4], [9, 13], [8, 14, 12], [10, 28, 15], [17, 20, 16, 22, 18], [21, 25], [27, 23, 26, 29]]
31: [[5, 6], [2, 1, 19, 24], [7, 11, 3], [4, 9, 13, 8, 15, 12, 10, 23, 20, 22, 29, 14, 16, 17, 26, 21, 18, 27, 25, 28]]
32: [[5, 6], [2, 1, 19], [24, 7], [11, 3, 4], [9, 13, 8], [14, 10, 12, 15, 28, 17], [16, 21, 18], [25, 23, 20, 22, 26, 27, 29]]
33: [[5, 6], [2, 1, 19], [24, 7, 11, 3, 4, 9, 13, 8, 14], [10, 12, 15], [17, 28, 16, 20, 22, 18, 29, 21], [25, 27, 23, 26]]
34: [[5, 6], [2, 1, 19, 24, 7, 11, 3], [4, 9, 13, 8, 15, 12, 10, 14], [16, 17, 22, 28, 20], [23, 25, 18, 26, 29, 21, 27]]
35: [[5, 6], [2, 1, 19], [24, 7], [11, 3, 4, 9], [13, 8, 12], [14, 15], [10, 16, 20, 17, 21, 22], [18, 28, 25, 23, 27], [26, 29]]
36: [[5, 6, 2], [1, 19], [24, 7], [11, 3, 4, 9, 13, 8, 14, 12, 10, 15, 18, 16, 20, 25, 21, 22, 23, 17, 27, 26, 29, 28]]
37: [[5, 6], [2, 1, 19, 24], [7, 11], [3, 4, 9], [13, 8, 12, 15], [26, 10, 14], [22, 17], [16, 18, 21, 23, 28], [27, 29], [20, 25]]
38: [[5, 6], [2, 1, 19, 24, 7, 11, 3, 4, 9, 13, 8], [14, 12, 10, 22, 29, 15, 16, 17, 18, 21, 20, 23, 27, 28], [26, 25]]
39: [[5, 6], [2, 1, 19], [24, 7], [11, 3], [4, 9, 13], [8, 14], [10, 12, 15, 16, 20], [18, 23, 21, 17], [25, 22, 27, 26, 29, 28]]
40: [[5, 6], [2, 1], [19, 24, 7], [11, 3, 4], [9, 13], [8, 10, 14, 22, 12, 20, 15], [16, 18, 17, 23, 21, 28, 25, 26, 27, 29]]
41: [[5, 6], [2, 1, 19], [24, 7], [11, 3, 4], [9, 13], [8, 14, 10], [12, 15], [20, 18], [17, 16, 22], [21, 23], [29, 25, 26, 28, 27]]
42: [[5, 6], [2, 1], [19, 24, 7], [11, 3, 4, 9, 13], [8, 14, 10, 12, 15, 17, 20, 16, 22, 21], [18, 23, 29, 27, 25, 26, 28]]
43: [[5, 6], [2, 1, 19, 24, 7, 11, 3, 4, 9, 13, 8, 14, 28, 10, 12, 17, 16, 26, 15, 23, 20, 21], [25, 18, 29, 27, 22]]
44: [[5, 6], [2, 1], [19, 24], [7, 11], [3, 4, 9], [13, 8, 14], [10, 12], [15, 18, 20], [17, 16], [23, 21, 28], [25, 22, 29], [26, 27]]
45: [[5, 6, 2, 1], [19, 24, 7], [11, 3, 4, 9, 13, 8, 14, 10, 20, 12, 15, 17, 18, 16, 22, 21, 23, 25, 27, 26, 28, 29]]
46: [[5, 6], [2, 1, 19], [24, 7], [11, 3], [4, 9], [13, 8, 15], [12, 10, 14], [17, 16, 27], [22, 21], [18, 28, 20, 25], [23, 29, 26]]
47: [[5, 6, 2], [1, 19, 24, 7, 11, 3, 4, 9, 13, 8, 10, 12, 22, 14, 15, 23, 20, 18, 25, 21, 16, 29, 17, 26], [27, 28]]
48: [[5, 6], [2, 1], [19, 24, 7, 11, 3], [4, 9, 13], [8, 10], [12, 20], [15, 14, 21, 17, 16], [18, 27, 22, 23, 28, 26], [25, 29]]
49: [[5, 6, 2, 1, 19, 24, 7, 11], [3, 4, 9, 13, 8, 14, 10, 12, 15, 16, 20, 21, 22, 18], [17, 25, 29, 27, 23, 26, 28]]
50: [[5, 6], [2, 1, 19], [24, 7], [11, 3, 4], [9, 13], [8, 14], [10, 12, 15], [28, 17], [20, 16, 18], [21, 22, 23, 25, 26], [27, 29]]
51: [[5, 6], [2, 1, 19], [24, 7, 11], [3, 4, 9, 13, 8, 14], [26, 10], [15, 12, 16, 18], [21, 17, 22, 28, 20], [25, 23, 27, 29]]
52: [[5, 6], [2, 1], [19, 24, 7], [11, 3], [4, 9, 13, 8], [15, 12, 10, 17, 21, 14], [28, 16, 20], [18, 27, 25, 22], [26, 23, 29]]
53: [[5], [6, 2, 1, 19, 24, 7, 11, 3, 4, 9, 13, 8, 15, 10, 12, 14, 28, 16, 17, 20, 27, 22, 21, 18, 23, 25, 26], [29]]
54: [[5, 6, 2], [1, 19, 24, 7, 11, 3], [4, 9, 13], [8, 10, 14, 28, 12, 15, 21, 16, 17, 18, 25, 23, 20, 22, 26, 27, 29]]
55: [[5, 6], [2, 1, 19], [24, 7, 11, 3, 4], [9, 13, 8], [14, 10, 12], [15, 23, 18], [21, 22], [25, 17, 20], [16, 26, 28, 27, 29]]
56: [[5, 6], [2, 1], [19, 24, 7], [11, 3], [4, 9, 13], [8, 14], [12, 15, 29, 18], [10, 16, 21, 22, 23], [20, 28, 27, 17], [26, 25]]
57: [[5, 6, 2], [1, 19], [24, 7, 11], [3, 4, 9], [13, 8], [14, 10], [12, 15, 16, 18, 20, 21, 22], [17, 26, 28, 27, 23], [25, 29]]
58: [[5, 6, 2, 1, 19, 24, 7, 11, 3, 4, 9], [13, 8, 14, 12, 10, 21, 17], [16, 22, 18, 15, 20, 23, 25, 26, 29, 27, 28]]
59: [[5, 6, 2], [1, 19, 24, 7], [11, 3, 4], [9, 13], [8, 14, 10], [12, 20], [15, 26, 16, 18], [17, 23, 25, 21], [27, 22, 28, 29]]
