0: [[25, 3, 69, 5, 1], [36, 2, 22, 15, 4], [6, 7, 10, 9, 8], [23, 12, 13, 28, 14], [24, 29, 50, 19, 18], [11, 17, 16, 21, 20, 59], [26, 27, 31, 30, 51], [34, 33, 37, 39, 47], [35, 44, 40, 32, 46], [54, 42, 38, 43, 41, 60], [49, 56, 45, 53, 63], [48, 52, 55, 61, 57], [58, 62, 64, 75, 65], [78, 71, 68, 67, 76], [72, 70, 66, 73, 74, 77], [79, 82, 80, 85, 83], [81, 86, 84, 87, 88]]
1: [[25, 3, 69, 5, 1], [36, 2, 22, 15, 4], [6, 7, 10, 9, 8], [23, 12, 13, 28, 14], [24, 29, 50, 19, 18], [11, 17, 16, 21, 20, 59], [26, 27, 31, 30, 51], [34, 33, 37, 39, 47], [35, 44, 40, 32, 46], [54, 42, 38, 43, 41, 60], [49, 56, 45, 53, 63], [48, 52, 55, 61, 57], [58, 62, 64, 75, 65], [78, 71, 68, 67, 76], [72, 70, 66, 73, 74, 77], [79, 82, 80, 85, 83], [81, 86, 84, 87, 88]]
2: [[25, 3, 69, 5, 1], [36, 2, 22, 15, 4], [6, 7, 10, 9, 8], [23, 12, 13, 28, 14], [24, 29, 50, 19, 18], [11, 17, 16, 21, 20, 59], [26, 27, 31, 30, 51], [34, 33, 37, 39, 47], [35, 44, 40, 32, 46], [54, 42, 38, 43, 41, 60], [49, 56, 45, 53, 63], [48, 52, 55, 61, 57], [58, 62, 64, 75, 65], [78, 71, 68, 67, 76], [72, 70, 66, 73, 74, 77], [79, 82, 80, 85, 83], [81, 86, 84, 87, 88]]
3: [[25, 3, 69, 5, 1], [36, 2, 22, 15, 4], [6, 7, 10, 9, 8], [23, 12, 13, 28, 14], [24, 29, 50, 19, 18], [11, 17, 16, 21, 20, 59], [26, 27, 31, 30, 51], [34, 33, 37, 39, 47], [35, 44, 40, 32, 46], [54, 42, 38, 43, 41, 60], [49, 56, 45, 53, 63], [48, 52, 55, 61, 57], [58, 62, 64, 75, 65], [78, 71, 68, 67, 76], [72, 70, 66, 73, 74, 77], [79, 82, 80, 85, 83], [81, 86, 84, 87, 88]]
4: [[25, 3, 69, 5, 1], [36, 2, 22, 15, 4], [6, 7, 10, 9, 8], [23, 12, 13, 28, 14], [24, 29, 50, 19, 18], [11, 17, 16, 21, 20, 59], [26, 27, 31, 30, 51], [34, 33, 37, 39, 47], [35, 44, 40, 32, 46], [54, 42, 38, 43, 41, 60], [49, 56, 45, 53, 63], [48, 52, 55, 61, 57], [58, 62, 64, 75, 65], [78, 71, 68, 67, 76], [72, 70, 66, 73, 74, 77], [79, 82, 80, 85, 83], [81, 86, 84, 87, 88]]
5: [[25, 3, 69, 5, 1], [36, 2, 22, 15, 4], [6, 7, 10, 9, 8], [23, 12, 13, 28, 14], [24, 29, 50, 19, 18], [11, 17, 16, 21, 20, 59], [26, 27, 31, 30, 51], [34, 33, 37, 39, 47], [35, 44, 40, 32, 46], [54, 42, 38, 43, 41, 60], [49, 56, 45, 53, 63], [48, 52, 55, 61, 57], [58, 62, 64, 75, 65], [78, 71, 68, 67, 76], [72, 70, 66, 73, 74, 77], [79, 82, 80, 85, 83], [81, 86, 84, 87, 88]]
6: [[25, 3, 69, 5, 1], [36, 2, 22, 15, 4], [6, 7, 10, 9, 8], [23, 12, 13, 28, 14], [24, 29, 50, 19, 18], [11, 17, 16, 21, 20, 59], [26, 27, 31, 30, 51], [34, 33, 37, 39, 47], [35, 44, 40, 32, 46], [54, 42, 38, 43, 41, 60], [49, 56, 45, 53, 63], [48, 52, 55, 61, 57], [58, 62, 64, 75, 65], [78, 71, 68, 67, 76], [72, 70, 66, 73, 74, 77], [79, 82, 80, 85, 83], [81, 86, 84, 87, 88]]
7: [[25, 3, 69, 5, 1], [36, 2, 22, 15, 4], [6, 7, 10, 9, 8], [23, 12, 13, 28, 14], [24, 29, 50, 19, 18], [11, 17, 16, 21, 20, 59], [26, 27, 31, 30, 51], [34, 33, 37, 39, 47], [35, 44, 40, 32, 46], [54, 42, 38, 43, 41, 60], [49, 56, 45, 53, 63], [48, 52, 55, 61, 57], [58, 62, 64, 75, 65], [78, 71, 68, 67, 76], [72, 70, 66, 73, 74, 77], [79, 82, 80, 85, 83], [81, 86, 84, 87, 88]]
8: [[25, 3, 69, 5, 1], [36, 2, 22, 15, 4], [6, 7, 10, 9, 8], [23, 12, 13, 28, 14], [24, 29, 50, 19, 18], [11, 17, 16, 21, 20, 59], [26, 27, 31, 30, 51], [34, 33, 37, 39, 47], [35, 44, 40, 32, 46], [54, 42, 38, 43, 41, 60], [49, 56, 45, 53, 63], [48, 52, 55, 61, 57], [58, 62, 64, 75, 65], [78, 71, 68, 67, 76], [72, 70, 66, 73, 74, 77], [79, 82, 80, 85, 83], [81, 86, 84, 87, 88]]
9: [[25, 3, 69, 5, 1], [36, 2, 22, 15, 4], [6, 7, 10, 9, 8], [23, 12, 13, 28, 14], [24, 29, 50, 19, 18], [11, 17, 16, 21, 20, 59], [26, 27, 31, 30, 51], [34, 33, 37, 39, 47], [35, 44, 40, 32, 46], [54, 42, 38, 43, 41, 60], [49, 56, 45, 53, 63], [48, 52, 55, 61, 57], [58, 62, 64, 75, 65], [78, 71, 68, 67, 76], [72, 70, 66, 73, 74, 77], [79, 82, 80, 85, 83], [81, 86, 84, 87, 88]]
10: [[25, 3, 69, 5, 1], [36, 2, 22, 15, 4], [6, 7, 10, 9, 8], [23, 12, 13, 28, 14], [24, 29, 50, 19, 18], [11, 17, 16, 21, 20, 59], [26, 27, 31, 30, 51], [34, 33, 37, 39, 47], [35, 44, 40, 32, 46], [54, 42, 38, 43, 41, 60], [49, 56, 45, 53, 63], [48, 52, 55, 61, 57], [58, 62, 64, 75, 65], [78, 71, 68, 67, 76], [72, 70, 66, 73, 74, 77], [79, 82, 80, 85, 83], [81, 86, 84, 87, 88]]
11: [[25, 3, 69, 5, 1], [36, 2, 22, 15, 4], [6, 7, 10, 9, 8], [23, 12, 13, 28, 14], [24, 29, 50, 19, 18], [11, 17, 16, 21, 20, 59], [26, 27, 31, 30, 51], [34, 33, 37, 39, 47], [35, 44, 40, 32, 46], [54, 42, 38, 43, 41, 60], [49, 56, 45, 53, 63], [48, 52, 55, 61, 57], [58, 62, 64, 75, 65], [78, 71, 68, 67, 76], [72, 70, 66, 73, 74, 77], [79, 82, 80, 85, 83], [81, 86, 84, 87, 88]]
12: [[25, 3, 69, 5, 1], [36, 2, 22, 15, 4], [6, 7, 10, 9, 8], [23, 12, 13, 28, 14], [24, 29, 50, 19, 18], [11, 17, 16, 21, 20, 59], [26, 27, 31, 30, 51], [34, 33, 37, 39, 47], [35, 44, 40, 32, 46], [54, 42, 38, 43, 41, 60], [49, 56, 45, 53, 63], [48, 52, 55, 61, 57], [58, 62, 64, 75, 65], [78, 71, 68, 67, 76], [72, 70, 66, 73, 74, 77], [79, 82, 80, 85, 83], [81, 86, 84, 87, 88]]
13: [[25, 3, 69, 5, 1], [36, 2, 22, 15, 4], [6, 7, 10, 9, 8], [23, 12, 13, 28, 14], [24, 29, 50, 19, 18], [11, 17, 16, 21, 20, 59], [26, 27, 31, 30, 51], [34, 33, 37, 39, 47], [35, 44, 40, 32, 46], [54, 42, 38, 43, 41, 60], [49, 56, 45, 53, 63], [48, 52, 55, 61, 57], [58, 62, 64, 75, 65], [78, 71, 68, 67, 76], [72, 70, 66, 73, 74, 77], [79, 82, 80, 85, 83], [81, 86, 84, 87, 88]]
