0: [[9, 2, 1], [7, 6, 5, 3, 16, 4], [10, 14, 13], [8, 15, 11, 12, 22, 17, 18, 20, 19], [21, 23, 24]]
1: [[2], [7, 6, 5], [3, 16, 10, 4], [13, 14, 8, 15], [11, 12], [22, 17, 18, 9], [20, 19, 1], [21, 23, 24]]
2: [[2], [7, 6, 5, 9], [3, 16, 10, 13, 1, 4], [14, 8, 15], [11, 12, 22, 17, 18, 20, 19], [21, 23, 24]]
3: [[2], [7], [6, 5, 9], [3, 16, 10, 4], [13, 14, 8, 15], [11, 12], [22, 17, 18], [20, 19, 1], [21, 23, 24]]
4: [[2], [7, 6, 5], [3, 16, 10, 4], [13, 14, 8], [15, 11, 12], [22, 17, 18, 9], [20, 19, 1], [21, 23, 24]]
5: [[2], [7], [6, 5, 3, 16, 4], [10, 13, 14], [8, 15, 11], [12, 22, 17, 9], [18, 20, 19, 1], [21, 23, 24]]
6: [[2], [7], [6, 5, 9], [3, 16], [10, 13, 14], [8, 15, 11], [12, 22, 17, 4], [18, 20, 19, 1], [21, 23, 24]]
7: [[2], [7, 1], [6, 5, 9], [3, 16], [10, 13, 14, 8], [15, 11, 12, 4], [22, 17, 18, 20, 19], [21, 23, 24]]
8: [[2], [7, 6, 9], [5, 3, 16, 4], [10, 13, 14], [8, 15, 11], [12, 22, 17], [18, 20, 19, 1], [21, 23, 24]]
9: [[2], [7, 6, 9], [5, 3, 16, 10], [13, 14], [8, 15, 11], [12, 22, 4], [17, 18, 20, 19, 1], [21, 23, 24]]
10: [[2], [7, 6, 5, 3], [16, 10, 13, 1], [14, 8, 9], [15, 11, 12, 22, 4], [17, 18, 20, 19], [21, 23, 24]]
11: [[2], [7], [6, 5, 3, 4], [16, 10], [13, 14, 8], [15, 11, 12], [22, 17, 18, 9], [20, 19, 1], [21, 23, 24]]
12: [[2], [7, 6, 5], [3, 16], [10, 13, 14], [8, 15], [11, 12, 22, 4], [17, 18, 9], [20, 19, 21, 1], [23, 24]]
13: [[9, 2, 1], [4, 7], [6, 5, 3], [16, 10], [13, 14], [8, 15, 11, 12, 22], [17, 18, 20, 19], [21, 23, 24]]
14: [[9, 2, 1], [4, 7, 6, 5, 3, 16], [10, 13, 14], [8, 15, 11, 12, 22], [17, 18, 20], [19, 21, 23, 24]]
15: [[2], [7, 6], [5, 3, 16, 4], [10, 13, 14], [8, 15], [11, 12], [22, 17, 18, 9], [20, 19, 21, 1], [23, 24]]
16: [[2], [7, 6, 5], [3, 16, 10, 4], [13, 14, 8, 15], [11, 12], [22, 17, 18, 20, 9, 1], [19, 21], [23, 24]]
17: [[2], [7, 6, 5], [3, 16, 10], [13, 14], [8, 15], [11, 12, 22, 4], [17, 18, 9], [20, 19, 21, 1], [23, 24]]
18: [[2], [7, 6, 5, 3, 4], [16, 10], [13, 14], [8, 15, 11], [12, 22, 17, 9], [18, 20, 19, 1], [21, 23, 24]]
19: [[2], [7, 6], [5, 3, 4], [16, 10, 13, 1], [14, 8], [15, 11, 12], [22, 17, 9], [18, 20, 19], [21, 23, 24]]
20: [[2], [7], [6, 5, 3, 4], [16, 10], [13, 14, 8, 9], [15, 11], [12, 22, 17], [18, 20, 19, 1], [21, 23, 24]]
21: [[2], [7, 6, 5, 4], [3, 16], [10, 13, 1], [14, 8, 15], [11, 12], [22, 17, 18, 20, 9], [19, 21, 23, 24]]
22: [[2], [7], [6, 5, 3, 4], [16, 10, 13, 1], [14, 8, 9], [15, 11], [12, 22, 17], [18, 20, 19], [21, 23, 24]]
23: [[2], [7, 1, 4], [6, 5, 9], [3, 16], [10, 13, 14], [8, 15], [11, 12], [22, 17, 18, 20], [19, 21, 23, 24]]
24: [[2], [7], [6, 5, 3, 4], [16, 10, 13], [14, 8, 15], [11, 12, 22], [17, 18, 9], [20, 19, 21, 1], [23, 24]]
25: [[2], [7, 6, 5, 9], [3, 16, 10, 4], [13, 14], [8, 15, 11], [12, 22, 17], [18, 20, 19, 21, 1], [23, 24]]
26: [[2], [7], [6, 5, 9], [3, 16], [10, 13, 14, 8], [15, 11], [12, 22, 17, 4], [18, 20, 19, 21, 1], [23, 24]]
27: [[2, 1], [7, 6], [5, 3, 16], [10, 13, 14], [8, 15, 11], [12, 22, 4], [17, 18, 9], [20, 19, 21, 23, 24]]
28: [[2], [7, 6, 9], [5, 3, 16, 4], [10, 13, 1], [14, 8, 15, 11], [12, 22, 17], [18, 20], [19, 21], [23, 24]]
29: [[2], [6, 9], [5, 3, 4], [16, 10], [13, 14, 8], [15, 11, 7], [12, 22], [17, 18], [20, 19, 21, 1], [23, 24]]
30: [[2, 1], [7, 6], [5, 3, 16, 4], [10, 13, 14, 8], [15, 11, 12], [22, 17, 18, 9], [20, 19, 21, 23, 24]]
31: [[2], [7], [6, 5, 3, 4], [16, 10, 13], [14, 8], [15, 11, 12], [22, 17, 18, 9], [20, 19, 21, 1], [23, 24]]
32: [[2], [7, 6, 9], [5, 3, 16, 10, 4], [13, 14], [8, 15, 11], [12, 22, 17, 1], [18, 20], [19, 21], [23, 24]]
33: [[9, 2, 1], [6, 5, 4], [3, 16, 10], [13, 14, 7], [8, 15, 11, 12, 22, 17, 18, 20, 19, 21, 23, 24]]
34: [[2, 1], [7, 6, 9], [5, 3, 16, 4], [10, 13, 14, 8], [15, 11, 12], [22, 17, 18, 20, 19, 21, 23, 24]]
35: [[2, 1], [7], [6, 5, 9], [3, 16, 10, 13, 14, 4], [8, 15, 11], [12, 22, 17, 18, 20, 19, 21, 23, 24]]
36: [[2, 1], [7], [6, 5, 3, 16, 10, 4], [13, 14, 8, 15, 9], [11, 12, 22], [17, 18, 20, 19, 21, 23, 24]]
37: [[2], [7], [6, 5, 3], [16, 10, 1], [13, 14, 8], [15, 11], [12, 22, 4], [17, 18, 20, 9], [19, 21, 23, 24]]
