0: [[22, 2, 35, 7, 1], [11, 3, 5, 20, 12], [4, 6, 9, 10], [8, 15, 14, 29, 13, 19], [24, 17, 18], [16, 23, 21, 27], [25, 28, 26], [30, 31, 33, 32, 34], [37, 36]]
1: [[22, 2, 35, 7, 1], [11, 3, 5, 20, 12], [4, 6, 9, 10], [8, 15, 14, 29, 13, 19], [24, 17, 18], [16, 23, 21, 27], [25, 28, 26], [30, 31, 33, 32, 34], [37, 36]]
2: [[22, 2, 35, 7, 1], [11, 3, 5, 20, 12], [4, 6, 9, 10], [8, 15, 14, 29, 13, 19], [24, 17, 18], [16, 23, 21, 27], [25, 28, 26], [30, 31, 33, 32, 34], [37, 36]]
3: [[22, 2, 35, 7, 1], [11, 3, 5, 20, 12], [4, 6, 9, 10], [8, 15, 14, 29, 13, 19], [24, 17, 18], [16, 23, 21, 27], [25, 28, 26], [30, 31, 33, 32, 34], [37, 36]]
4: [[22, 2, 35, 7, 1], [11, 3, 5, 20, 12], [4, 6, 9, 10, 8, 15], [14, 29, 13, 19], [24, 17, 18], [16, 23, 21, 27], [25, 28, 26], [30, 31, 33, 32, 34], [37, 36]]
5: [[22, 2, 35, 7, 1], [11, 3, 5, 20, 12], [4, 6, 9, 10], [8, 15, 14, 29, 13, 19], [24, 17, 18], [16, 23, 21, 27], [25, 28], [26, 30, 31], [33, 32, 34, 37, 36]]
6: [[22, 2, 35], [7, 1], [11, 3], [5, 20, 12], [4, 6, 9], [10, 8, 15, 14], [29, 13], [19, 24, 17, 18], [16, 23, 21], [27, 25, 28, 26], [30, 31, 33, 32], [34, 37, 36]]
7: [[22, 2, 35], [7, 1, 11, 3], [5, 20, 12], [4, 6, 9, 10], [8, 15, 14, 29], [13, 19, 24], [17, 18, 16, 23], [21, 27, 25, 28, 26], [30, 31, 33, 32], [34, 37, 36]]
8: [[22, 2, 35], [7, 1, 11, 3, 5], [20, 12, 4, 6], [9, 10, 8], [15, 14, 29, 13], [19, 24, 17], [18, 16, 23, 21, 27], [25, 28, 26], [30, 31, 33, 32, 34], [37, 36]]
9: [[22, 2], [35, 7, 1], [11, 3, 5], [20, 12], [4, 6, 9], [10, 8, 15], [14, 29, 13], [19, 24, 17], [18, 16], [23, 21, 27], [25, 28, 26], [30, 31, 33, 32], [34, 37, 36]]
10: [[22, 2], [35, 7], [1, 11], [3, 5, 20], [12, 4, 6], [9, 10], [8, 15, 14], [29, 13, 19], [24, 17, 18], [16, 23, 21], [27, 25, 28, 26], [30, 31, 33, 32], [34, 37, 36]]
11: [[22, 2], [35, 7, 1], [11, 3, 5], [20, 12], [4, 6, 9], [10, 8], [15, 14, 29], [13, 19], [24, 17, 18, 16], [23, 21, 27], [25, 28, 26], [30, 31, 33, 32], [34, 37, 36]]
12: [[22, 2], [35, 7, 1], [11, 3], [5, 20, 12, 4], [6, 9, 10], [8, 15, 14], [29, 13, 19], [24, 17, 18], [16, 23], [21, 27, 25], [28, 26], [30, 31, 33, 32, 34, 37, 36]]
13: [[22, 2], [35, 7], [1, 11, 3], [5, 20, 12], [4, 6, 9], [10, 8, 15], [14, 29, 13, 19], [24, 17, 18], [16, 23, 21], [27, 25, 28, 26], [30, 31, 33], [32, 34, 37, 36]]
14: [[22, 2, 35, 7, 1], [11, 3, 5, 20, 12], [4, 6, 9, 10], [8, 15, 14], [29, 13, 19, 24], [17, 18, 16], [23, 21, 27, 25, 28], [26, 30, 31, 33, 32], [34, 37, 36]]
15: [[22, 2], [35, 7, 1], [11, 3, 5], [20, 12], [4, 6, 9], [10, 8, 15], [14, 29, 13], [19, 24, 17], [18, 16, 23], [21, 27], [25, 28, 26], [30, 31, 33], [32, 34, 37, 36]]
16: [[22, 2, 35, 7, 1], [11, 3, 5, 20, 12], [4, 6, 9, 10], [8, 15, 14, 29, 13, 19], [24, 17, 18], [16, 23, 21, 27], [25, 28, 26, 30, 31, 33, 32, 34, 37, 36]]
17: [[22, 2, 35], [7, 1, 11, 3], [5, 20, 12, 4, 6], [9, 10, 8, 15], [14, 29, 13, 19, 24], [17, 18, 16, 23], [21, 27, 25, 28, 26], [30, 31, 33, 32, 34, 37, 36]]
18: [[22, 2, 35], [7, 1], [11, 3, 5], [20, 12, 4], [6, 9, 10], [8, 15, 14], [29, 13, 19], [24, 17, 18], [16, 23, 21], [27, 25, 28], [26, 30, 31, 33], [32, 34, 37, 36]]
19: [[22, 2, 35], [7, 1, 11], [3, 5, 20], [12, 4], [6, 9, 10, 8], [15, 14, 29], [13, 19], [24, 17, 18, 16], [23, 21, 27], [25, 28, 26], [30, 31, 33, 32], [34, 37, 36]]
20: [[22, 2, 35, 7, 1], [11, 3, 5, 20, 12], [4, 6, 9, 10], [8, 15, 14], [29, 13, 19, 24, 17], [18, 16], [23, 21, 27, 25, 28, 26, 30, 31, 33, 32, 34, 37, 36]]
21: [[22, 2, 35, 7, 1], [11, 3, 5, 20, 12], [4, 6, 9, 10], [8, 15, 14, 29, 13, 19], [24, 17, 18, 16], [23, 21, 27, 25], [28, 26, 30], [31, 33, 32, 34, 37, 36]]
22: [[22, 2, 35, 7, 1], [11, 3, 5, 20, 12], [4, 6, 9, 10], [8, 15, 14, 29, 13, 19], [24, 17, 18, 16], [23, 21, 27], [25, 28, 26, 30, 31, 33, 32, 34, 37, 36]]
