0: [[38, 5, 7], [2, 43, 12, 22], [3, 4, 1], [6, 9, 8], [24, 30, 11], [27, 15, 14], [18, 21, 16, 17], [50, 51, 19], [20, 25, 26, 13, 23], [60, 61, 48], [37, 49], [28, 35, 29], [33, 42], [36, 40, 47, 34, 31], [44, 32, 39, 10], [53, 41, 52], [56, 45, 57, 55], [59, 54, 46, 58, 63, 62, 68, 66], [64, 67, 69, 65, 70, 76, 78], [71, 74, 72, 73, 75, 77], [79, 81, 86, 82], [83, 84, 80, 87, 85, 88]]
1: [[38, 5, 7], [2, 12, 22], [1, 3, 4, 6, 9, 8, 15, 14, 20, 16, 27, 11, 24, 17], [19, 50, 28], [31, 18, 21], [30, 25, 60, 56, 63, 26], [46, 39, 32, 35, 29, 34, 36, 40, 37, 44, 33, 10], [49, 45, 42], [48, 41, 52, 43, 53, 13, 23], [51, 54, 59, 55, 61, 57, 58, 62, 47, 66], [64, 70, 65, 67], [71, 69, 76], [78, 68, 73], [74, 77, 72], [79, 75, 84, 80, 86, 82, 85, 83, 81, 87, 88]]
2: [[38, 5, 7], [2, 12, 22], [1, 3, 4], [6, 8], [17, 25, 9], [30, 21, 24, 14, 11, 15, 18, 16, 20, 29, 19, 26, 53, 27, 28, 31, 37, 32, 54, 62, 33, 34, 57], [36, 39, 40, 41, 44], [35, 46, 42, 45], [47, 61, 51, 49], [48, 50, 43, 60, 55, 13, 23], [52, 56, 58, 63, 59, 73, 64, 66, 65, 67, 68, 76, 71, 69, 77, 10], [70, 75, 78, 72, 74, 79, 80, 84, 85, 81], [83, 82, 86, 87, 88]]
3: [[38, 5, 7], [2, 12, 22, 1], [3, 4], [6, 14, 8, 9, 15, 11], [13, 19, 16], [26, 17, 18], [24, 10, 20, 23, 25, 28], [30, 27, 32, 29, 33], [31, 60, 21, 36, 51], [34, 39, 35, 43, 42], [40, 56, 47, 48, 44], [57, 37, 41], [46, 45, 53], [49, 55, 54, 58], [50, 59, 61, 52], [62, 63, 68], [66, 65, 64], [72, 69, 71], [75, 67, 70], [74, 76, 73, 77, 78], [79, 81, 86, 80, 85, 82], [84, 87, 83, 88]]
4: [[38, 5, 7], [2, 12, 22], [1, 3, 4], [10, 6, 8, 9], [41, 13, 29, 14, 30], [18, 15, 49, 17, 11, 16, 21, 24], [19, 20, 45], [23, 48, 27, 57, 25, 44, 60, 26, 35, 33, 37, 28, 36], [39, 34, 31, 42, 40, 46, 47, 51, 62, 54, 32, 43, 55, 50, 59, 58, 52, 53, 63], [56, 61, 72, 66, 67, 64, 71, 68, 70, 73, 65, 69, 76, 75, 78, 74, 79, 77, 82, 81, 85, 80, 83, 87, 86, 84, 88]]
5: [[38, 5, 7], [2, 12, 22], [1, 3, 4], [10, 6, 8, 27], [9, 11, 13, 15, 14], [26, 18, 48, 19, 25, 16, 54, 20], [17, 21, 28, 23, 59, 31, 60, 24, 53, 29, 57], [42, 33, 36, 30, 34, 32, 43, 35], [39, 44, 37], [47, 40, 45, 49, 41, 62, 56, 46, 52, 61, 50], [63, 51, 55, 58, 72, 66, 70, 68, 65, 67, 75, 77, 64, 69, 71, 74, 78, 73, 76, 79, 86, 81, 82], [80, 83, 87, 85, 84, 88]]
6: [[38, 5, 7], [2, 1, 12, 13, 22], [3, 4, 6], [8, 28, 42, 39, 10], [27, 15, 9, 11, 14, 16, 21, 20, 19, 17, 57, 18, 24, 25, 23], [31, 26, 59], [29, 55], [34, 48, 49, 30, 33], [36, 61, 32], [35, 37, 40, 47, 54, 41, 46, 43, 44, 50, 45, 52, 51, 62], [53, 58, 56], [63, 60, 74], [66, 64, 68], [70, 67, 76, 65], [71, 69], [79, 72, 78, 75], [73, 77, 82], [80, 85, 87], [84, 81, 83, 86, 88]]
7: [[38, 5, 7], [2, 12, 22], [1, 3, 4], [10, 9, 6, 24, 13, 8, 11, 15, 14, 28, 16, 18, 21, 29, 17, 59, 47, 20, 23, 48], [25, 31, 27, 56, 60, 26, 37, 39, 49, 32, 19, 36, 30, 35, 44, 33, 42, 46, 43, 34, 40, 61, 53, 45, 50, 51, 52, 55, 41, 63, 54, 57, 58, 62, 68, 66, 64, 69, 65, 67, 71, 70, 75, 72, 77, 79, 78, 74, 73, 81, 82, 80, 86, 84, 88, 76, 83, 87], [85]]
8: [[38, 5, 7], [2, 12, 22], [1, 3, 4], [10, 6, 9], [25, 8, 24, 11], [13, 15, 14, 19, 16], [61, 30, 17, 48, 21, 20, 18, 60], [23, 27, 26, 28, 31, 29, 33, 34, 53, 35, 42], [41, 37, 36, 43, 32, 39, 44, 40], [47, 51, 46], [49, 45, 58, 52, 50, 54, 62, 55, 56, 59, 57, 63, 65, 64, 66, 69, 67, 68, 76, 77, 72, 71, 73, 70, 78, 75, 74, 79, 82, 86, 85, 80, 81], [83, 87, 84, 88]]
9: [[38, 5, 7], [2, 12, 22, 1], [3, 4, 10, 9], [8, 18, 6, 29, 24, 30, 14, 27, 11, 17, 25, 16, 13, 36, 15, 19, 26, 20, 21, 23, 28, 62, 31, 40, 32, 43, 60, 33, 39, 41, 37, 35, 42, 57, 58, 34, 44, 46, 45], [47, 49, 51, 53, 54], [48, 50, 61, 52, 56, 63, 55, 59, 73, 66, 64, 65, 70, 67, 68, 71, 76, 74, 75, 77, 69, 72, 78, 82, 79, 80, 83, 85, 81, 84, 86, 87, 88]]
10: [[38, 5, 7], [2, 12, 22, 1], [6, 4, 3, 9, 8], [14, 25, 16, 15], [13, 10, 19, 11, 18, 17, 30, 23, 20, 53, 21, 24, 26, 27, 29, 57, 60, 31, 50, 45, 41, 42, 33, 36, 34, 46, 32, 47, 35, 44, 28], [39, 52, 37, 58, 40, 55, 51, 54, 43, 48, 56, 59, 49, 63, 61, 62, 68, 64, 66, 65, 81, 70, 69, 78, 71, 75, 72, 67, 73, 79, 76, 77, 80, 84, 85, 82, 74, 83, 86, 87, 88]]
