0: [[2], [22, 4, 5], [6, 3, 13], [14, 7, 10, 11], [12, 8, 15, 18, 16], [19, 20, 17, 1, 9], [23, 21, 24]]
1: [[2], [22, 5, 4], [13, 6, 3], [14, 7, 10, 11], [12, 8, 15, 18, 16], [19, 20, 17, 9, 1], [23, 21, 24]]
2: [[2], [22, 5, 4], [13, 6, 3], [14, 7, 10, 11], [12, 8, 15, 18, 16], [19, 20, 17, 9, 1], [23, 21, 24]]
3: [[2], [22, 5, 4], [13, 6, 3], [14, 7, 10, 11], [12, 8, 15, 18, 16], [19, 20, 17, 9, 1], [23, 21, 24]]
4: [[2], [22, 5, 4], [13, 6, 3], [14, 7, 10, 11], [12, 8, 15, 18, 16], [19, 20, 17, 9, 1], [23, 21, 24]]
5: [[2], [22, 5, 4], [13, 6, 3], [14, 7, 10, 11], [12, 8, 15, 18, 16], [19, 20, 17, 9, 1], [23, 21, 24]]
6: [[2], [22, 5, 4], [13, 6, 3], [14, 7, 10, 11], [12, 8, 15, 18, 16], [19, 20, 17, 9, 1], [23, 21, 24]]
7: [[2], [22, 5, 4], [13, 6, 3], [14, 7, 10, 11], [12, 8, 15, 18, 16], [19, 20, 17, 9, 1], [23, 21, 24]]
8: [[2], [22, 5, 4], [13, 6, 3], [14, 7, 10, 11], [12, 8, 15, 18, 16], [19, 20, 17, 9, 1], [23, 21, 24]]
9: [[2], [22, 5, 4], [13, 6, 3], [14, 7, 10, 11], [12, 8, 15, 18, 16], [19, 20, 17, 9, 1], [23, 21, 24]]
10: [[2], [22, 5, 4], [13, 6, 3], [14, 7, 10, 11], [12, 8, 15, 18, 16], [19, 20, 17, 9, 1], [23, 21, 24]]
11: [[2], [22, 5, 4], [13, 6, 3], [14, 7, 10, 11], [12, 8, 15, 18, 16], [19, 20, 17, 9, 1], [23, 21, 24]]
12: [[2], [22, 5, 4], [13, 6, 3], [14, 7, 10, 11], [12, 8, 15, 18, 16], [19, 20, 17, 9, 1], [23, 21, 24]]
13: [[2], [22, 5, 4], [13, 6, 3], [14, 7, 10, 11], [12, 8, 15, 18, 16], [19, 20, 17, 9, 1], [23, 21, 24]]
14: [[2], [22, 5, 4], [13, 6, 3], [14, 7, 10, 11], [12, 8, 15, 18, 16], [19, 20, 17, 9, 1], [23, 21, 24]]
15: [[2], [22, 5, 4], [13, 6, 3], [14, 7, 10, 11], [12, 8, 15, 18, 16], [19, 20, 17, 9, 1], [23, 21, 24]]
